group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.2,0.0023000000000000004,0.25,0.0,short
1,0.33599999999999997,0.018929999999999992,0.48,0.0,short
2,0.248,0.0013199999999999998,0.39,0.0,short
3,0.252,0.0027199999999999993,0.34,0.0,short
4,0.146,0.00253,0.16,0.0,short
5,0.124,0.0015800000000000002,0.16,0.0,short
6,0.122,0.0009699999999999998,0.12,0.0,short
7,0.32999999999999996,0.007750000000000002,0.45,0.0,short
8,0.31599999999999995,0.009980000000000003,0.34,0.0,short
9,0.298,0.009469999999999998,0.38,0.0,short
0,0.44399999999999995,0.02413,0.49000000000000005,0.0,medium
1,0.782,0.003420000000000002,0.78,0.0,medium
2,0.76,0.003050000000000001,0.67,0.0,medium
3,0.696,0.0008799999999999991,0.6,0.0,medium
4,0.292,0.0029199999999999994,0.38,0.0,medium
5,0.28200000000000003,0.00046999999999999944,0.38,0.0,medium
6,0.254,0.0006800000000000009,0.33,0.0,medium
7,0.476,0.05112999999999998,0.73,0.0,medium
8,0.694,0.007379999999999997,0.6,0.0,medium
9,0.6679999999999999,0.00487,0.65,0.0,medium
0,0.738,0.0011200000000000027,0.65,0.0,long
1,0.746,0.007329999999999998,0.8800000000000001,0.0,long
2,0.806,0.003679999999999996,0.79,0.0,long
3,0.788,0.0003699999999999991,0.74,0.0,long
4,0.6806,0.0033868000000000014,0.56,0.0,long
5,0.4984,0.029762800000000002,0.56,0.0,long
6,0.5174,0.012203799999999997,0.52,0.0,long
7,0.7736000000000001,0.0005448000000000015,0.85,0.0,long
8,0.7166,0.002047799999999997,0.74,0.0,long
9,0.7382,0.001201200000000002,0.78,0.0,long
