correct,response,range_category,trial
0.25,0.32,short,0
0.48,0.45,short,1
0.39,0.21,short,2
0.34,0.31,short,3
0.16,0.09,short,4
0.16,0.14,short,5
0.12,0.1,short,6
0.45,0.45,short,7
0.34,0.28,short,8
0.38,0.32,short,9
0.25,0.33,short,10
0.48,0.45,short,11
0.39,0.25,short,12
0.34,0.27,short,13
0.16,0.08,short,14
0.16,0.13,short,15
0.12,0.12,short,16
0.45,0.49,short,17
0.34,0.32,short,18
0.38,0.32,short,19
0.25,0.34,short,20
0.48,0.39,short,21
0.39,0.22,short,22
0.34,0.27,short,23
0.16,0.12,short,24
0.16,0.18,short,25
0.12,0.14,short,26
0.45,0.45,short,27
0.34,0.32,short,28
0.38,0.32,short,29
0.25,0.33,short,30
0.48,0.44,short,31
0.39,0.25,short,32
0.34,0.39,short,33
0.16,0.07,short,34
0.16,0.12,short,35
0.12,0.15,short,36
0.45,0.54,short,37
0.34,0.37,short,38
0.38,0.38,short,39
0.25,0.37,short,40
0.48,0.5,short,41
0.39,0.23,short,42
0.34,0.37,short,43
0.16,0.07,short,44
0.16,0.14,short,45
0.12,0.11,short,46
0.45,0.45,short,47
0.34,0.31,short,48
0.38,0.29,short,49
0.49,0.63,medium,0
0.78,0.56,medium,1
0.67,0.38,medium,2
0.6,0.45,medium,3
0.38,0.22,medium,4
0.38,0.27,medium,5
0.33,0.27,medium,6
0.73,0.43,medium,7
0.6,0.39,medium,8
0.65,0.47,medium,9
0.49,0.65,medium,10
0.78,0.6,medium,11
0.67,0.45,medium,12
0.6,0.45,medium,13
0.38,0.25,medium,14
0.38,0.35,medium,15
0.33,0.22,medium,16
0.73,0.53,medium,17
0.6,0.55,medium,18
0.65,0.52,medium,19
0.49,0.73,medium,20
0.78,0.53,medium,21
0.67,0.44,medium,22
0.6,0.4,medium,23
0.38,0.2,medium,24
0.38,0.32,medium,25
0.33,0.23,medium,26
0.73,0.47,medium,27
0.6,0.5,medium,28
0.65,0.58,medium,29
0.49,0.65,medium,30
0.78,0.5,medium,31
0.67,0.4,medium,32
0.6,0.4,medium,33
0.38,0.2,medium,34
0.38,0.25,medium,35
0.33,0.2,medium,36
0.73,0.4,medium,37
0.6,0.5,medium,38
0.65,0.5,medium,39
0.49,0.67,medium,40
0.78,0.6,medium,41
0.67,0.45,medium,42
0.6,0.4,medium,43
0.38,0.2,medium,44
0.38,0.3,medium,45
0.33,0.25,medium,46
0.73,0.5,medium,47
0.6,0.6,medium,48
0.65,0.55,medium,49
0.65,0.7,long,0
0.88,0.8,long,1
0.79,0.75,long,2
0.74,0.6,long,3
0.56,0.45,long,4
0.56,0.55,long,5
0.52,0.36,long,6
0.85,0.75,long,7
0.74,0.55,long,8
0.78,0.65,long,9
0.65,0.6,long,10
0.88,0.7,long,11
0.79,0.65,long,12
0.74,0.72,long,13
0.56,0.43,long,14
0.56,0.52,long,15
0.52,0.4,long,16
0.85,0.75,long,17
0.74,0.55,long,18
0.78,0.65,long,19
0.65,0.62,long,20
0.88,0.7,long,21
0.79,0.7,long,22
0.74,0.68,long,23
0.56,0.45,long,24
0.56,0.4,long,25
0.52,0.33,long,26
0.85,0.71,long,27
0.74,0.55,long,28
0.78,0.63,long,29
0.65,0.6,long,30
0.88,0.7,long,31
0.79,0.75,long,32
0.74,0.65,long,33
0.56,0.4,long,34
0.56,0.45,long,35
0.52,0.35,long,36
0.85,0.65,long,37
0.74,0.5,long,38
0.78,0.6,long,39
0.65,0.62,long,40
0.88,0.73,long,41
0.79,0.78,long,42
0.74,0.67,long,43
0.56,0.45,long,44
0.56,0.36,long,45
0.52,0.34,long,46
0.85,0.68,long,47
0.74,0.57,long,48
0.78,0.63,long,49
