group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.32199999999999995,0.01372,0.25,0.0,short
1,0.5599999999999999,0.006750000000000005,0.48,0.0,short
2,0.5599999999999999,0.004249999999999999,0.39,0.0,short
3,0.45,0.0125,0.34,0.0,short
4,0.282,0.01762,0.16,0.0,short
5,0.272,0.01767,0.16,0.0,short
6,0.246,0.020479999999999995,0.12,0.0,short
7,0.628,0.0056700000000000006,0.45,0.0,short
8,0.538,0.003719999999999999,0.34,0.0,short
9,0.528,0.00392,0.38,0.0,short
0,0.6,0.008749999999999997,0.49000000000000005,0.0,medium
1,0.8320000000000001,0.0029199999999999986,0.78,0.0,medium
2,0.634,0.011529999999999997,0.67,0.0,medium
3,0.626,0.013279999999999997,0.6,0.0,medium
4,0.46799999999999997,0.029169999999999988,0.38,0.0,medium
5,0.48,0.0012000000000000001,0.38,0.0,medium
6,0.422,0.0031700000000000005,0.33,0.0,medium
7,0.8240000000000001,0.00188,0.73,0.0,medium
8,0.6699999999999999,0.0092,0.6,0.0,medium
9,0.7220000000000001,0.015770000000000006,0.65,0.0,medium
0,0.666,0.014029999999999996,0.65,0.0,long
1,0.8859999999999999,0.004679999999999997,0.8800000000000001,0.0,long
2,0.8019999999999999,0.003269999999999998,0.79,0.0,long
3,0.76,0.0017000000000000008,0.74,0.0,long
4,0.646,0.021829999999999995,0.56,0.0,long
5,0.626,0.01862999999999999,0.56,0.0,long
6,0.616,0.018529999999999998,0.52,0.0,long
7,0.916,0.002779999999999999,0.85,0.0,long
8,0.75,0.0197,0.74,0.0,long
9,0.8560000000000001,0.0006800000000000024,0.78,0.0,long
