group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.272,0.005670000000000003,0.25,0.0,short
1,0.51,0.0029999999999999983,0.48,0.0,short
2,0.45999999999999996,0.017950000000000004,0.39,0.0,short
3,0.45,0.021400000000000002,0.34,0.0,short
4,0.126,0.0009299999999999998,0.16,0.0,short
5,0.15,4.999999999999994e-05,0.16,0.0,short
6,0.11399999999999999,7.999999999999993e-05,0.12,0.0,short
7,0.496,0.0034800000000000044,0.45,0.0,short
8,0.348,0.000870000000000001,0.34,0.0,short
9,0.36,0.0017500000000000029,0.38,0.0,short
0,0.54,0.010499999999999999,0.49000000000000005,0.0,medium
1,0.758,0.00017000000000000042,0.78,0.0,medium
2,0.642,0.0003200000000000003,0.67,0.0,medium
3,0.656,0.0006799999999999994,0.6,0.0,medium
4,0.43200000000000005,0.015920000000000004,0.38,0.0,medium
5,0.32999999999999996,0.0004499999999999996,0.38,0.0,medium
6,0.27,0.0004500000000000003,0.33,0.0,medium
7,0.71,0.0005000000000000016,0.73,0.0,medium
8,0.642,0.00011999999999999994,0.6,0.0,medium
9,0.672,0.00046999999999999906,0.65,0.0,medium
0,0.666,0.00047999999999999725,0.65,0.0,long
1,0.828,0.0006699999999999992,0.8800000000000001,0.0,long
2,0.6839999999999999,0.0037300000000000015,0.79,0.0,long
3,0.728,0.0006700000000000016,0.74,0.0,long
4,0.56,0.004750000000000007,0.56,0.0,long
5,0.6060000000000001,0.0011800000000000003,0.56,0.0,long
6,0.536,0.0009800000000000024,0.52,0.0,long
7,0.826,0.000529999999999998,0.85,0.0,long
8,0.732,0.0008200000000000001,0.74,0.0,long
9,0.78,0.0005500000000000005,0.78,0.0,long
