group,response_mean,response_var,correct_mean,correct_var,range_category
0,3.518,0.04006999999999995,2.8284,0.0,short
1,5.85,0.4406000000000002,5.0,0.0,short
2,3.5100000000000002,4.09835,4.2426,0.0,short
3,4.244,0.7726799999999999,3.6056,0.0,short
4,2.6340000000000003,0.6317799999999999,2.2361,0.0,short
5,3.7439999999999998,8.741280000000001,2.2361,0.0,short
6,2.0260000000000002,0.12938000000000008,1.4142,0.0,short
7,5.651999999999999,0.3432200000000002,5.0,0.0,short
8,4.244,0.7726799999999999,3.6056,0.0,short
9,4.404,0.2496799999999999,4.2426,0.0,short
0,5.02042,0.5463233820000005,5.0,0.0,medium
1,6.813640000000001,0.197074248,7.0710999999999995,0.0,medium
2,6.286620000000001,0.0651586220000001,6.4031,0.0,medium
3,5.32962,0.5016669720000001,5.6569,0.0,medium
4,3.61042,2.2717538819999996,4.2426,0.0,medium
5,3.6891999999999996,0.22771320000000006,4.2426,0.0,medium
6,3.6903999999999995,0.22702079999999994,3.6056,0.0,medium
7,6.46164,0.018997447999999917,7.0710999999999995,0.0,medium
8,5.137,0.25604499999999997,5.6569,0.0,medium
9,6.17262,0.09782532200000002,6.4031,0.0,medium
0,5.970000000000001,0.48679999999999946,7.0710999999999995,0.0,long
1,8.336,0.3484799999999998,9.2195,0.0,long
2,7.312,0.32751999999999987,8.4853,0.0,long
3,7.122,1.0554199999999996,7.8102,0.0,long
4,5.47262,0.48371032200000064,5.6569,0.0,long
5,5.324,0.7148800000000005,5.6569,0.0,long
6,5.402624847486569,0.6836809466508988,5.6569,0.0,long
7,7.41804,0.3752592079999998,8.4853,0.0,long
8,7.40404,0.9440706079999996,7.8102,0.0,long
9,7.418049935181331,0.37526894894531565,8.4853,0.0,long
