group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.22599999999999998,0.0011799999999999998,0.25,0.0,short
1,0.43,0.042699999999999995,0.48,0.0,short
2,0.386,0.02528,0.39,0.0,short
3,0.312,0.009919999999999995,0.34,0.0,short
4,0.23000000000000004,0.0033000000000000004,0.16,0.0,short
5,0.21800000000000003,0.002519999999999999,0.16,0.0,short
6,0.196,0.0014299999999999994,0.12,0.0,short
7,0.256,0.00023000000000000036,0.45,0.0,short
8,0.272,0.00036999999999999983,0.34,0.0,short
9,0.29,0.0011500000000000006,0.38,0.0,short
0,0.34199999999999997,0.03577,0.49000000000000005,0.0,medium
1,0.754,0.0058300000000000044,0.78,0.0,medium
2,0.73,0.00245,0.67,0.0,medium
3,0.6799999999999999,0.004500000000000001,0.6,0.0,medium
4,0.278,0.002519999999999998,0.38,0.0,medium
5,0.27,0.0037500000000000003,0.38,0.0,medium
6,0.29,0.0011499999999999991,0.33,0.0,medium
7,0.7060000000000001,0.0035300000000000023,0.73,0.0,medium
8,0.654,0.008530000000000001,0.6,0.0,medium
9,0.638,0.004669999999999997,0.65,0.0,medium
0,0.67,0.006949999999999997,0.65,0.0,long
1,0.842,0.007370000000000012,0.8800000000000001,0.0,long
2,0.8300000000000001,0.004949999999999998,0.79,0.0,long
3,0.774,0.0011799999999999988,0.74,0.0,long
4,0.616,0.005880000000000002,0.56,0.0,long
5,0.61,0.004699999999999996,0.56,0.0,long
6,0.558,0.0022699999999999986,0.52,0.0,long
7,0.782,0.00207,0.85,0.0,long
8,0.764,0.0004300000000000013,0.74,0.0,long
9,0.782,0.0013700000000000003,0.78,0.0,long
