start,end,text,file
36.32,36.69,Okay,ES2008d.A.words.xml
36.69,37.4,um,ES2008d.A.words.xml
37.4,37.4,",",ES2008d.A.words.xml
38.56,38.91,welcome,ES2008d.A.words.xml
38.91,39.41,to,ES2008d.A.words.xml
39.41,39.55,our,ES2008d.A.words.xml
39.55,40.06,detailed,ES2008d.A.words.xml
40.06,40.57,design,ES2008d.A.words.xml
40.57,42.0,meeting,ES2008d.A.words.xml
42.0,42.0,.,ES2008d.A.words.xml
42.0,42.19,I'm,ES2008d.A.words.xml
42.19,42.37,pretty,ES2008d.A.words.xml
42.37,43.01,excited,ES2008d.A.words.xml
43.01,43.01,.,ES2008d.A.words.xml
43.49,43.82,Let's,ES2008d.A.words.xml
43.82,44.15,start,ES2008d.A.words.xml
44.15,45.71,it's,ES2008d.A.words.xml
45.71,46.32,approximately,ES2008d.A.words.xml
46.32,46.84,fifteen,ES2008d.A.words.xml
46.84,47.16,forty,ES2008d.A.words.xml
47.16,47.24,or,ES2008d.A.words.xml
47.24,47.57,something,ES2008d.A.words.xml
47.57,47.75,like,ES2008d.A.words.xml
47.75,48.14,that,ES2008d.A.words.xml
48.14,48.14,.,ES2008d.A.words.xml
52.36,53.44,Okay,ES2008d.A.words.xml
53.44,54.27,um,ES2008d.A.words.xml
54.27,54.39,the,ES2008d.A.words.xml
54.39,54.87,agenda,ES2008d.A.words.xml
54.87,55.06,we're,ES2008d.A.words.xml
55.06,55.28,gonna,ES2008d.A.words.xml
55.28,55.6,do,ES2008d.A.words.xml
55.6,55.91,an,ES2008d.A.words.xml
55.91,56.4,opening,ES2008d.A.words.xml
56.4,56.55,and,ES2008d.A.words.xml
56.55,57.67,then,ES2008d.A.words.xml
57.67,58.09,um,ES2008d.A.words.xml
58.09,58.56,I'll,ES2008d.A.words.xml
58.56,58.75,talk,ES2008d.A.words.xml
58.75,58.9,about,ES2008d.A.words.xml
58.9,58.96,the,ES2008d.A.words.xml
58.96,59.21,minutes,ES2008d.A.words.xml
59.21,59.33,from,ES2008d.A.words.xml
59.33,59.4,the,ES2008d.A.words.xml
59.4,59.7,last,ES2008d.A.words.xml
59.7,60.0,meeting,ES2008d.A.words.xml
60.0,60.0,",",ES2008d.A.words.xml
60.0,60.11,what,ES2008d.A.words.xml
60.11,60.26,we,ES2008d.A.words.xml
60.26,60.53,d,ES2008d.A.words.xml
60.53,61.92,discussed,ES2008d.A.words.xml
61.92,62.84,um,ES2008d.A.words.xml
62.84,62.84,",",ES2008d.A.words.xml
62.84,62.97,then,ES2008d.A.words.xml
62.97,63.07,we'll,ES2008d.A.words.xml
63.07,63.21,have,ES2008d.A.words.xml
63.21,63.3,the,ES2008d.A.words.xml
63.3,63.8,prototype,ES2008d.A.words.xml
63.8,64.39,presentation,ES2008d.A.words.xml
64.39,65.04,and,ES2008d.A.words.xml
65.04,65.38,a,ES2008d.A.words.xml
65.38,65.56,look,ES2008d.A.words.xml
65.56,65.69,at,ES2008d.A.words.xml
65.69,65.79,the,ES2008d.A.words.xml
65.79,66.35,evaluation,ES2008d.A.words.xml
66.35,67.52,criteria,ES2008d.A.words.xml
67.52,67.52,.,ES2008d.A.words.xml
67.52,67.64,We'll,ES2008d.A.words.xml
67.64,67.74,look,ES2008d.A.words.xml
67.74,67.8,at,ES2008d.A.words.xml
67.8,67.89,the,ES2008d.A.words.xml
67.89,69.09,finances,ES2008d.A.words.xml
69.09,69.61,and,ES2008d.A.words.xml
69.61,70.04,finally,ES2008d.A.words.xml
70.04,70.21,a,ES2008d.A.words.xml
70.21,70.31,do,ES2008d.A.words.xml
70.31,70.37,a,ES2008d.A.words.xml
70.37,70.79,production,ES2008d.A.words.xml
70.79,71.54,evaluation,ES2008d.A.words.xml
71.54,71.74,and,ES2008d.A.words.xml
71.74,72.46,close,ES2008d.A.words.xml
72.46,72.46,.,ES2008d.A.words.xml
74.03,74.31,So,ES2008d.A.words.xml
74.31,74.31,",",ES2008d.A.words.xml
74.31,74.62,starting,ES2008d.A.words.xml
74.62,74.79,off,ES2008d.A.words.xml
74.79,74.91,with,ES2008d.A.words.xml
74.91,75.03,the,ES2008d.A.words.xml
