start,end,text,file
50.13,50.25,Good,ES2008b.A.words.xml
50.25,50.33,to,ES2008b.A.words.xml
50.33,50.46,see,ES2008b.A.words.xml
50.46,50.53,you,ES2008b.A.words.xml
50.53,50.73,all,ES2008b.A.words.xml
50.73,51.43,again,ES2008b.A.words.xml
51.43,51.43,.,ES2008b.A.words.xml
51.43,52.33,Let's,ES2008b.A.words.xml
52.33,52.52,see,ES2008b.A.words.xml
52.52,52.65,if,ES2008b.A.words.xml
52.65,52.86,that,ES2008b.A.words.xml
52.86,53.47,comes,ES2008b.A.words.xml
53.47,53.65,up,ES2008b.A.words.xml
53.65,53.65,.,ES2008b.A.words.xml
58.23,58.32,This,ES2008b.A.words.xml
58.32,58.46,is,ES2008b.A.words.xml
58.46,58.57,our,ES2008b.A.words.xml
58.57,59.15,functional,ES2008b.A.words.xml
59.15,59.54,design,ES2008b.A.words.xml
59.54,59.84,meeting,ES2008b.A.words.xml
59.84,59.84,.,ES2008b.A.words.xml
61.08,61.66,Um,ES2008b.A.words.xml
61.66,61.66,.,ES2008b.A.words.xml
63.05,63.3,Just,ES2008b.A.words.xml
63.3,63.33,a,ES2008b.A.words.xml
63.33,63.56,sec,ES2008b.A.words.xml
63.56,63.69,while,ES2008b.A.words.xml
63.69,63.89,my,ES2008b.A.words.xml
63.89,64.32,PowerPoint,ES2008b.A.words.xml
64.32,64.51,comes,ES2008b.A.words.xml
64.51,64.6,up,ES2008b.A.words.xml
64.6,64.6,.,ES2008b.A.words.xml
66.78,66.89,Et,ES2008b.A.words.xml
66.89,67.21,voila,ES2008b.A.words.xml
67.21,67.21,.,ES2008b.A.words.xml
71.73,72.4,Okay,ES2008b.A.words.xml
72.4,72.4,.,ES2008b.A.words.xml
72.4,72.89,Mm,ES2008b.A.words.xml
72.89,73.54,um,ES2008b.A.words.xml
73.54,73.69,we,ES2008b.A.words.xml
73.69,73.84,put,ES2008b.A.words.xml
73.84,73.92,the,ES2008b.A.words.xml
73.92,74.22,fashion,ES2008b.A.words.xml
74.22,74.35,in,ES2008b.A.words.xml
74.35,75.02,electronics,ES2008b.A.words.xml
75.02,75.02,.,ES2008b.A.words.xml
75.79,76.0,Let's,ES2008b.A.words.xml
76.0,77.3,start,ES2008b.A.words.xml
77.3,77.3,.,ES2008b.A.words.xml
77.3,77.48,Okay,ES2008b.A.words.xml
77.48,77.48,",",ES2008b.A.words.xml
77.48,77.64,our,ES2008b.A.words.xml
77.64,78.0,agenda,ES2008b.A.words.xml
78.0,78.49,today,ES2008b.A.words.xml
78.49,79.56,um,ES2008b.A.words.xml
79.56,79.84,just,ES2008b.A.words.xml
79.84,80.03,check,ES2008b.A.words.xml
80.03,80.09,the,ES2008b.A.words.xml
80.09,80.57,time,ES2008b.A.words.xml
80.57,80.57,",",ES2008b.A.words.xml
80.57,80.7,it's,ES2008b.A.words.xml
80.7,81.05,twelve,ES2008b.A.words.xml
81.05,81.87,thirteen,ES2008b.A.words.xml
81.87,81.87,.,ES2008b.A.words.xml
83.19,83.82,Um,ES2008b.A.words.xml
83.82,83.82,.,ES2008b.A.words.xml
85.33,85.43,I'm,ES2008b.A.words.xml
85.43,85.55,gonna,ES2008b.A.words.xml
85.55,85.65,do,ES2008b.A.words.xml
85.65,85.73,an,ES2008b.A.words.xml
85.73,86.25,opening,ES2008b.A.words.xml
86.25,86.25,",",ES2008b.A.words.xml
86.25,86.48,talk,ES2008b.A.words.xml
86.48,87.1,about,ES2008b.A.words.xml
87.1,87.49,um,ES2008b.A.words.xml
87.49,87.62,did,ES2008b.A.words.xml
87.62,87.69,you,ES2008b.A.words.xml
87.69,87.82,all,ES2008b.A.words.xml
87.82,87.95,get,ES2008b.A.words.xml
87.95,88.03,the,ES2008b.A.words.xml
88.03,88.39,minutes,ES2008b.A.words.xml
88.39,88.39,?,ES2008b.A.words.xml
88.39,88.47,I,ES2008b.A.words.xml
88.47,88.78,e-mailed,ES2008b.A.words.xml
88.78,88.87,them,ES2008b.A.words.xml
88.87,88.98,to,ES2008b.A.words.xml
88.98,89.26,you,ES2008b.A.words.xml
89.26,89.26,.,ES2008b.A.words.xml
89.26,89.37,I'm,ES2008b.A.words.xml
89.37,89.62,also,ES2008b.A.words.xml
89.62,89.89,putting,ES2008b.A.words.xml
89.89,90.1,'em,ES2008b.A.words.xml
90.1,90.25,them,ES2008b.A.words.xml
90.25,90.34,in,ES2008b.A.words.xml
90.34,90.43,the,ES2008b.A.words.xml
90.43,90.75,shared,ES2008b.A.words.xml
90.75,91.53,folder,ES2008b.A.words.xml
91.53,91.53,.,ES2008b.A.words.xml
91.53,92.67,So,ES2008b.A.words.xml
92.67,92.93,um,ES2008b.A.words.xml
92.93,93.07,then,ES2008b.A.words.xml
93.07,93.31,I,ES2008b.A.words.xml
93.31,93.4,we'll,ES2008b.A.words.xml
93.4,93.58,talk,ES2008b.A.words.xml
93.58,93.74,about,ES2008b.A.words.xml
93.74,93.81,our,ES2008b.A.words.xml
93.81,94.18,general,ES2008b.A.words.xml
94.18,95.13,objectives,ES2008b.A.words.xml
95.13,95.37,and,ES2008b.A.words.xml
95.37,95.66,have,ES2008b.A.words.xml
95.66,95.87,your,ES2008b.A.words.xml
95.87,96.08,three,ES2008b.A.words.xml
96.08,97.59,presentations,ES2008b.A.words.xml
97.59,97.59,.,ES2008b.A.words.xml
97.59,97.86,Um,ES2008b.A.words.xml
97.86,97.95,I'll,ES2008b.A.words.xml
97.95,98.14,talk,ES2008b.A.words.xml
98.14,98.3,about,ES2008b.A.words.xml
98.3,98.37,the,ES2008b.A.words.xml
98.37,98.49,new,ES2008b.A.words.xml
98.49,98.86,project,ES2008b.A.words.xml
98.86,99.35,requirements,ES2008b.A.words.xml
99.35,99.43,I've,ES2008b.A.words.xml
99.43,99.66,just,ES2008b.A.words.xml
99.66,100.89,received,ES2008b.A.words.xml
100.89,100.89,",",ES2008b.A.words.xml
100.89,101.08,and,ES2008b.A.words.xml
101.08,101.3,then,ES2008b.A.words.xml
101.3,101.55,we,ES2008b.A.words.xml
101.55,101.73,have,ES2008b.A.words.xml
101.73,101.8,to,ES2008b.A.words.xml
101.8,101.95,make,ES2008b.A.words.xml
101.95,101.99,a,ES2008b.A.words.xml
101.99,102.4,decision,ES2008b.A.words.xml
