start,end,text,file
58.83,59.41,Fourteen,ES2008c.D.words.xml
59.41,59.67,twenty,ES2008c.D.words.xml
59.67,60.4,six,ES2008c.D.words.xml
60.4,60.4,.,ES2008c.D.words.xml
416.85,417.01,Is,ES2008c.D.words.xml
417.01,417.79,double-curved,ES2008c.D.words.xml
417.79,418.1,like,ES2008c.D.words.xml
418.1,418.51,would,ES2008c.D.words.xml
418.51,418.62,be,ES2008c.D.words.xml
418.62,418.81,like,ES2008c.D.words.xml
418.81,419.05,two,ES2008c.D.words.xml
419.05,419.6,hands,ES2008c.D.words.xml
419.6,419.82,kind,ES2008c.D.words.xml
419.82,419.92,of,ES2008c.D.words.xml
419.92,420.33,thing,ES2008c.D.words.xml
420.33,420.33,?,ES2008c.D.words.xml
422.47,424.26,Okay,ES2008c.D.words.xml
424.26,424.26,.,ES2008c.D.words.xml
424.26,424.46,'Cause,ES2008c.D.words.xml
424.46,424.53,I'm,ES2008c.D.words.xml
424.53,425.08,imagining,ES2008c.D.words.xml
425.08,425.8,like,ES2008c.D.words.xml
425.8,426.35,double-curved,ES2008c.D.words.xml
426.35,426.52,is,ES2008c.D.words.xml
426.52,427.16,like,ES2008c.D.words.xml
427.16,427.16,",",ES2008c.D.words.xml
427.16,427.27,you,ES2008c.D.words.xml
427.27,427.35,know,ES2008c.D.words.xml
427.35,427.35,",",ES2008c.D.words.xml
427.35,427.52,like,ES2008c.D.words.xml
427.52,427.73,two,ES2008c.D.words.xml
427.73,428.25,sides,ES2008c.D.words.xml
428.25,428.41,that,ES2008c.D.words.xml
428.41,428.91,curve,ES2008c.D.words.xml
428.91,429.02,and,ES2008c.D.words.xml
429.02,429.16,then,ES2008c.D.words.xml
429.16,429.37,like,ES2008c.D.words.xml
429.37,429.6,one,ES2008c.D.words.xml
429.6,429.85,curve,ES2008c.D.words.xml
429.85,429.97,would,ES2008c.D.words.xml
429.97,430.14,just,ES2008c.D.words.xml
430.14,430.28,be,ES2008c.D.words.xml
430.28,431.27,like,ES2008c.D.words.xml
431.27,431.34,a,ES2008c.D.words.xml
431.34,431.74,single,ES2008c.D.words.xml
431.74,432.47,vertical-ish,ES2008c.D.words.xml
432.47,432.7,kind,ES2008c.D.words.xml
432.7,432.8,of,ES2008c.D.words.xml
432.8,433.08,looking,ES2008c.D.words.xml
433.08,433.27,thing,ES2008c.D.words.xml
433.27,433.27,",",ES2008c.D.words.xml
433.27,433.41,but,ES2008c.D.words.xml
433.41,433.62,I've,ES2008c.D.words.xml
433.62,433.73,no,ES2008c.D.words.xml
433.73,434.14,idea,ES2008c.D.words.xml
434.14,434.14,.,ES2008c.D.words.xml
436.42,436.7,Sounds,ES2008c.D.words.xml
436.7,436.91,good,ES2008c.D.words.xml
436.91,436.91,.,ES2008c.D.words.xml
502.15,502.6,Thanks,ES2008c.D.words.xml
502.6,502.6,.,ES2008c.D.words.xml
949.17,949.37,Wait,ES2008c.D.words.xml
949.37,949.37,",",ES2008c.D.words.xml
949.37,949.47,but,ES2008c.D.words.xml
949.47,949.58,is,ES2008c.D.words.xml
949.58,949.78,that,ES2008c.D.words.xml
949.78,950.18,separate,ES2008c.D.words.xml
950.18,950.36,from,ES2008c.D.words.xml
950.36,950.47,what,ES2008c.D.words.xml
950.47,950.6,he,ES2008c.D.words.xml
950.6,950.76,was,ES2008c.D.words.xml
950.76,951.22,saying,ES2008c.D.words.xml
951.22,951.22,?,ES2008c.D.words.xml
990.93,991.09,Should,ES2008c.D.words.xml
991.09,991.13,I,ES2008c.D.words.xml
991.13,991.36,plug,ES2008c.D.words.xml
991.36,991.6,that,ES2008c.D.words.xml
991.6,991.78,in,ES2008c.D.words.xml
991.78,991.78,?,ES2008c.D.words.xml
1033.98,1034.24,Maybe,ES2008c.D.words.xml
1034.24,1034.34,it's,ES2008c.D.words.xml
1034.34,1034.63,just,ES2008c.D.words.xml
1034.63,1035.69,not,ES2008c.D.words.xml
1035.69,1035.77,Is,ES2008c.D.words.xml
1035.77,1035.86,it,ES2008c.D.words.xml
1035.86,1036.15,on,ES2008c.D.words.xml
1036.15,1036.15,?,ES2008c.D.words.xml
1043.55,1043.87,Ri,ES2008c.D.words.xml
1043.87,1044.11,What,ES2008c.D.words.xml
1044.11,1044.46,F_,ES2008c.D.words.xml
1044.46,1044.53,do,ES2008c.D.words.xml
1044.53,1044.59,you,ES2008c.D.words.xml
1044.59,1044.68,have,ES2008c.D.words.xml
1044.68,1044.76,to,ES2008c.D.words.xml
1044.76,1044.99,press,ES2008c.D.words.xml
1044.99,1044.99,",",ES2008c.D.words.xml
1044.99,1045.76,five,ES2008c.D.words.xml
1045.76,1045.76,?,ES2008c.D.words.xml
1047.67,1047.87,I,ES2008c.D.words.xml
1047.87,1048.03,just,ES2008c.D.words.xml
1048.03,1048.23,keep,ES2008c.D.words.xml
1048.23,1048.75,pressing,ES2008c.D.words.xml
1048.75,1048.99,lots,ES2008c.D.words.xml
1048.99,1049.09,of,ES2008c.D.words.xml
1049.09,1049.47,'em,ES2008c.D.words.xml
1049.47,1049.47,.,ES2008c.D.words.xml
1054.05,1054.29,Well,ES2008c.D.words.xml
1054.29,1054.29,",",ES2008c.D.words.xml
1054.29,1054.32,I,ES2008c.D.words.xml
1054.32,1054.48,don't,ES2008c.D.words.xml
1054.48,1054.61,know,ES2008c.D.words.xml
1054.61,1055.91,how,ES2008c.D.words.xml
1055.91,1056.7,relevant,ES2008c.D.words.xml
1056.7,1056.9,all,ES2008c.D.words.xml
1056.9,1057.02,of,ES2008c.D.words.xml
1057.02,1057.38,this,ES2008c.D.words.xml
1057.38,1057.64,gonna,ES2008c.D.words.xml
1057.64,1058.86,be,ES2008c.D.words.xml
1058.86,1058.86,.,ES2008c.D.words.xml
1058.86,1058.92,If,ES2008c.D.words.xml
1058.92,1059.36,anything,ES2008c.D.words.xml
1059.36,1059.36,",",ES2008c.D.words.xml
1059.36,1059.52,the,ES2008c.D.words.xml
1059.52,1059.69,that,ES2008c.D.words.xml
1059.69,1059.86,they,ES2008c.D.words.xml
1059.86,1060.08,gave,ES2008c.D.words.xml
1060.08,1062.12,me,ES2008c.D.words.xml
1062.12,1062.12,.,ES2008c.D.words.xml
1062.12,1062.86,Alright,ES2008c.D.words.xml
1062.86,1062.86,.,ES2008c.D.words.xml
1077.27,1077.35,Oh,ES2008c.D.words.xml
1077.35,1077.6,yeah,ES2008c.D.words.xml
1077.6,1077.6,.,ES2008c.D.words.xml
1081.18,1082.44,Okay,ES2008c.D.words.xml
1082.44,1082.44,",",ES2008c.D.words.xml
1082.44,1082.6,so,ES2008c.D.words.xml
1082.6,1082.72,we're,ES2008c.D.words.xml
1082.72,1082.93,gonna,ES2008c.D.words.xml
1082.93,1083.08,look,ES2008c.D.words.xml
1083.08,1083.16,a,ES2008c.D.words.xml
1083.16,1083.37,little,ES2008c.D.words.xml
1083.37,1083.48,bit,ES2008c.D.words.xml
1083.48,1083.6,at,ES2008c.D.words.xml
1083.6,1083.94,trend,ES2008c.D.words.xml
1083.94,1086.66,watching,ES2008c.D.words.xml
1086.66,1086.66,.,ES2008c.D.words.xml
1086.66,1087.25,Basically,ES2008c.D.words.xml
1087.25,1087.25,",",ES2008c.D.words.xml
1087.25,1087.35,I,ES2008c.D.words.xml
1087.35,1087.48,was,ES2008c.D.words.xml
1087.48,1088.16,given,ES2008c.D.words.xml
1088.16,1088.55,um,ES2008c.D.words.xml
1088.55,1088.66,an,ES2008c.D.words.xml
1088.66,1089.15,executive,ES2008c.D.words.xml
1089.15,1089.53,summary,ES2008c.D.words.xml
1089.53,1089.7,that,ES2008c.D.words.xml
1089.7,1090.94,was,ES2008c.D.words.xml
1090.94,1091.34,a,ES2008c.D.words.xml
1091.34,1091.59,market,ES2008c.D.words.xml
1091.59,1092.58,investigation,ES2008c.D.words.xml
1092.58,1093.33,on,ES2008c.D.words.xml
1093.33,1093.6,remote,ES2008c.D.words.xml
1093.6,1094.27,controls,ES2008c.D.words.xml
1094.27,1094.41,that,ES2008c.D.words.xml
1094.41,1094.55,was,ES2008c.D.words.xml
1094.55,1094.93,recently,ES2008c.D.words.xml
1094.93,1096.12,conducted,ES2008c.D.words.xml
1096.12,1096.12,",",ES2008c.D.words.xml
1096.12,1096.25,and,ES2008c.D.words.xml
1096.25,1096.42,then,ES2008c.D.words.xml
1096.42,1097.1,also,ES2008c.D.words.xml
1097.1,1097.36,some,ES2008c.D.words.xml
1097.36,1097.73,fashion,ES2008c.D.words.xml
1097.73,1098.37,watchers,ES2008c.D.words.xml
1098.37,1098.64,in,ES2008c.D.words.xml
1098.64,1099.0,Paris,ES2008c.D.words.xml
1099.0,1099.11,and,ES2008c.D.words.xml
1099.11,1100.24,Milan,ES2008c.D.words.xml
1100.24,1100.63,commented,ES2008c.D.words.xml
1100.63,1100.77,on,ES2008c.D.words.xml
1100.77,1100.94,some,ES2008c.D.words.xml
1100.94,1101.18,things,ES2008c.D.words.xml
1101.18,1101.28,that,ES2008c.D.words.xml
1101.28,1101.34,are,ES2008c.D.words.xml
1101.34,1101.51,gonna,ES2008c.D.words.xml
1101.51,1101.63,be,ES2008c.D.words.xml
1101.63,1101.91,going,ES2008c.D.words.xml
1101.91,1102.11,on,ES2008c.D.words.xml
1102.11,1102.32,this,ES2008c.D.words.xml
1102.32,1104.48,year,ES2008c.D.words.xml
1104.48,1104.48,.,ES2008c.D.words.xml
1104.48,1104.81,So,ES2008c.D.words.xml
1104.81,1105.37,first,ES2008c.D.words.xml
1105.37,1106.21,um,ES2008c.D.words.xml
1106.21,1106.34,they,ES2008c.D.words.xml
1106.34,1106.8,had,ES2008c.D.words.xml
1106.8,1107.56,people,ES2008c.D.words.xml
