correct,response,input_value,range_category,trial,stimulus_id
2.4622,2.06,2.4622,short,0,0
4.8023,3.32,4.8023,short,1,1
4.0078,4.5,4.0078,short,2,2
3.4004,2.55,3.4004,short,3,3
1.5,1.73,1.5,short,4,4
1.6771,1.77,1.6771,short,5,5
1.25,1.41,1.25,short,6,6
4.3732,3.61,4.3732,short,7,7
3.4004,2.0,3.4004,short,8,8
3.8243,4.03,3.8243,short,9,9
1.0308,1.06,1.0308,short,10,10
4.8088,4.75,4.8088,short,11,11
4.3157,5.59,4.3157,short,12,12
1.75,2.12,1.75,short,13,13
1.8028,2.0,1.8028,short,14,14
1.82,2.0,1.82,short,15,15
2.136,1.8,2.136,short,16,16
3.0104,3.16,3.0104,short,17,17
2.6575,2.55,2.6575,short,18,18
2.25,2.5,2.25,short,19,19
2.4622,2.06,2.4622,short,20,0
4.8023,5.13,4.8023,short,21,1
4.0078,4.5,4.0078,short,22,2
3.4004,2.53,3.4004,short,23,3
1.5,1.5,1.5,short,24,4
1.6771,1.5,1.6771,short,25,5
1.25,1.5,1.25,short,26,6
4.3732,4.78,4.3732,short,27,7
3.4004,2.0,3.4004,short,28,8
3.8243,4.61,3.8243,short,29,9
1.0308,1.0,1.0308,short,30,10
4.8088,5.0,4.8088,short,31,11
4.3157,6.0,4.3157,short,32,12
1.75,2.0,1.75,short,33,13
1.8028,2.0,1.8028,short,34,14
1.82,2.0,1.82,short,35,15
2.136,2.0,2.136,short,36,16
3.0104,3.5,3.0104,short,37,17
2.6575,2.83,2.6575,short,38,18
2.25,2.5,2.25,short,39,19
2.4622,2.12,2.4622,short,40,0
4.8023,3.61,4.8023,short,41,1
4.0078,4.5,4.0078,short,42,2
3.4004,3.54,3.4004,short,43,3
1.5,1.5,1.5,short,44,4
1.6771,1.6,1.6771,short,45,5
1.25,1.32,1.25,short,46,6
4.3732,4.92,4.3732,short,47,7
3.4004,2.0,3.4004,short,48,8
3.8243,4.0,3.8243,short,49,9
1.0308,1.0,1.0308,short,50,10
4.8088,5.0,4.8088,short,51,11
4.3157,5.83,4.3157,short,52,12
1.75,2.0,1.75,short,53,13
1.8028,2.12,1.8028,short,54,14
1.82,2.0,1.82,short,55,15
2.136,2.12,2.136,short,56,16
