group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.242,0.0033200000000000013,0.25,0.0,short
1,0.47000000000000003,0.004199999999999999,0.48,0.0,short
2,0.422,0.0015200000000000003,0.39,0.0,short
3,0.292,0.002219999999999999,0.34,0.0,short
4,0.11000000000000001,0.0006999999999999999,0.16,0.0,short
5,0.118,0.0006200000000000003,0.16,0.0,short
6,0.096,0.00028,0.12,0.0,short
7,0.506,0.0027300000000000007,0.45,0.0,short
8,0.392,0.0003699999999999995,0.34,0.0,short
9,0.356,0.0004300000000000003,0.38,0.0,short
0,0.44800000000000006,0.0053700000000000015,0.49000000000000005,0.0,medium
1,0.8,0.0005500000000000004,0.78,0.0,medium
2,0.654,0.0008299999999999977,0.67,0.0,medium
3,0.576,0.002079999999999997,0.6,0.0,medium
4,0.312,0.004869999999999997,0.38,0.0,medium
5,0.29,0.0028500000000000005,0.38,0.0,medium
6,0.23399999999999999,0.0007300000000000002,0.33,0.0,medium
7,0.758,0.0007700000000000014,0.73,0.0,medium
8,0.592,0.0026200000000000056,0.6,0.0,medium
9,0.612,0.0011200000000000008,0.65,0.0,medium
0,0.6759999999999999,0.0021299999999999986,0.65,0.0,long
1,0.876,0.0005300000000000011,0.8800000000000001,0.0,long
2,0.7699999999999999,0.003600000000000004,0.79,0.0,long
3,0.766,0.0007300000000000006,0.74,0.0,long
4,0.5820000000000001,0.0010699999999999998,0.56,0.0,long
5,0.556,0.0001799999999999993,0.56,0.0,long
6,0.398,0.0005700000000000002,0.52,0.0,long
7,0.8640000000000001,0.0009300000000000022,0.85,0.0,long
8,0.692,0.0012699999999999983,0.74,0.0,long
9,0.792,0.00017000000000000042,0.78,0.0,long
