range_category,stimulus_id,exp_id,llm_model,mean_input_value,mean_correct,mean_response,var_response,var_correct,squared_bias
long,0,base_7_text,GPT-5 Mini,26.619999999999997,26.619999999999997,21.52,0.19200000000000078,0.0,26.009999999999977
long,0,base_7_text,anthropic_claude-3.7-sonnet,26.619999999999997,26.619999999999997,22.8,5.199999999999999,0.0,14.592399999999975
long,0,base_7_text,gemma-3-4b-it,26.619999999999997,26.619999999999997,67.2,1.700000000000001,0.0,1646.7364000000005
long,0,base_7_text,google_gemini-2.5-flash-lite,26.619999999999997,26.619999999999997,27.4,4.300000000000001,0.0,0.6084000000000018
long,0,base_7_text,meta-llama_llama-4-maverick,26.619999999999997,26.619999999999997,48.6,64.8,0.0,483.1204000000002
long,0,base_7_text,microsoft_phi-4-multimodal-instruct,26.619999999999997,26.619999999999997,15.4,2.8000000000000003,0.0,125.88839999999993
long,0,base_7_text,mistralai_mistral-small-3.2-24b-instruct,26.619999999999997,26.619999999999997,54.94,1044.418,0.0,802.0224000000001
long,0,base_7_text,openai_gpt-4o-2024-08-06,26.619999999999997,26.619999999999997,29.0,114.5,0.0,5.664400000000012
long,0,base_7_text,qwen_qwen2.5-vl-32b-instruct,26.619999999999997,26.619999999999997,90.2,1010.6999999999999,0.0,4042.4164000000005
long,0,base_text,GPT-5 Mini,26.619999999999997,26.619999999999997,21.919999999999998,1.4719999999999995,0.0,22.089999999999993
long,0,base_text,anthropic_claude-3.7-sonnet,26.619999999999997,26.619999999999997,23.6,3.3000000000000003,0.0,9.120399999999975
long,0,base_text,gemma-3-4b-it,26.619999999999997,26.619999999999997,67.0,3.500000000000001,0.0,1630.5444000000002
long,0,base_text,google_gemini-2.5-flash-lite,26.619999999999997,26.619999999999997,28.2,12.200000000000001,0.0,2.4964000000000057
long,0,base_text,meta-llama_llama-4-maverick,26.619999999999997,26.619999999999997,62.0,129.0,0.0,1251.7444000000003
long,0,base_text,microsoft_phi-4-multimodal-instruct,26.619999999999997,26.619999999999997,15.6,2.3,0.0,121.44039999999995
long,0,base_text,mistralai_mistral-small-3.2-24b-instruct,26.619999999999997,26.619999999999997,41.668,12.43671999999999,0.0,226.44230400000006
long,0,base_text,openai_gpt-4o-2024-08-06,26.619999999999997,26.619999999999997,36.0,141.5,0.0,87.98440000000005
long,0,base_text,qwen_qwen2.5-vl-32b-instruct,26.619999999999997,26.619999999999997,68.2,4532.2,0.0,1728.8964000000005
long,1,base_7_text,GPT-5 Mini,48.03,48.03,61.760000000000005,50.46800000000005,0.0,188.51290000000012
long,1,base_7_text,anthropic_claude-3.7-sonnet,48.03,48.03,56.2,27.2,0.0,66.74890000000003
long,1,base_7_text,gemma-3-4b-it,48.03,48.03,100.0,72.0,0.0,2700.8808999999997
long,1,base_7_text,google_gemini-2.5-flash-lite,48.03,48.03,68.6,51.29999999999999,0.0,423.12489999999974
long,1,base_7_text,meta-llama_llama-4-maverick,48.03,48.03,76.0,318.50000000000006,0.0,782.3208999999999
long,1,base_7_text,microsoft_phi-4-multimodal-instruct,48.03,48.03,79.4,47.800000000000004,0.0,984.0769000000003
long,1,base_7_text,mistralai_mistral-small-3.2-24b-instruct,48.03,48.03,57.86,16.29799999999999,0.0,96.62889999999997
long,1,base_7_text,openai_gpt-4o-2024-08-06,48.03,48.03,62.4,248.29999999999995,0.0,206.49689999999993
long,1,base_7_text,qwen_qwen2.5-vl-32b-instruct,48.03,48.03,146.6,1566.7999999999997,0.0,9716.044899999999
long,1,base_text,GPT-5 Mini,48.03,48.03,63.6,0.7999999999999989,0.0,242.4249
long,1,base_text,anthropic_claude-3.7-sonnet,48.03,48.03,61.0,23.500000000000004,0.0,168.22089999999997
long,1,base_text,gemma-3-4b-it,48.03,48.03,95.6,1.799999999999999,0.0,2262.9048999999995
long,1,base_text,google_gemini-2.5-flash-lite,48.03,48.03,71.8,64.2,0.0,565.0128999999998
long,1,base_text,meta-llama_llama-4-maverick,48.03,48.03,92.2,448.7,0.0,1950.9889
long,1,base_text,microsoft_phi-4-multimodal-instruct,48.03,48.03,71.4,21.800000000000004,0.0,546.1569000000002
long,1,base_text,mistralai_mistral-small-3.2-24b-instruct,48.03,48.03,55.5,41.78499999999998,0.0,55.800899999999984
long,1,base_text,openai_gpt-4o-2024-08-06,48.03,48.03,62.2,108.69999999999999,0.0,200.78890000000004
long,1,base_text,qwen_qwen2.5-vl-32b-instruct,48.03,48.03,126.8,10061.7,0.0,6204.7128999999995
long,2,base_7_text,GPT-5 Mini,40.53,40.53,57.67999999999999,18.111999999999995,0.0,294.1224999999997
long,2,base_7_text,anthropic_claude-3.7-sonnet,40.53,40.53,36.8,10.700000000000005,0.0,13.912900000000029
long,2,base_7_text,gemma-3-4b-it,40.53,40.53,103.4,124.80000000000001,0.0,3952.6369000000004
long,2,base_7_text,google_gemini-2.5-flash-lite,40.53,40.53,51.0,55.5,0.0,109.62089999999998
long,2,base_7_text,meta-llama_llama-4-maverick,40.53,40.53,60.8,77.2,0.0,410.87289999999985
long,2,base_7_text,microsoft_phi-4-multimodal-instruct,40.53,40.53,70.8,109.70000000000002,0.0,916.2728999999997
long,2,base_7_text,mistralai_mistral-small-3.2-24b-instruct,40.53,40.53,37.660000000000004,6.378000000000004,0.0,8.236899999999986
long,2,base_7_text,openai_gpt-4o-2024-08-06,40.53,40.53,54.2,57.7,0.0,186.86890000000005
long,2,base_7_text,qwen_qwen2.5-vl-32b-instruct,40.53,40.53,97.6,520.8,0.0,3256.984899999999
long,2,base_text,GPT-5 Mini,40.53,40.53,52.3,28.700000000000003,0.0,138.5328999999999
long,2,base_text,anthropic_claude-3.7-sonnet,40.53,40.53,37.6,11.3,0.0,8.584899999999998
long,2,base_text,gemma-3-4b-it,40.53,40.53,110.0,24.999999999999996,0.0,4826.0809
long,2,base_text,google_gemini-2.5-flash-lite,40.53,40.53,56.0,34.5,0.0,239.32089999999997
long,2,base_text,meta-llama_llama-4-maverick,40.53,40.53,63.6,144.8,0.0,532.2249
long,2,base_text,microsoft_phi-4-multimodal-instruct,40.53,40.53,61.0,68.0,0.0,419.0208999999999
long,2,base_text,mistralai_mistral-small-3.2-24b-instruct,40.53,40.53,35.304,19.618829999999992,0.0,27.31107599999999
long,2,base_text,openai_gpt-4o-2024-08-06,40.53,40.53,53.4,57.8,0.0,165.63689999999994
long,2,base_text,qwen_qwen2.5-vl-32b-instruct,40.53,40.53,78.0,1508.4999999999998,0.0,1404.0009
long,3,base_7_text,GPT-5 Mini,35.76,35.76,57.06,88.568,0.0,453.69000000000017
long,3,base_7_text,anthropic_claude-3.7-sonnet,35.76,35.76,40.0,10.5,0.0,17.977600000000017
long,3,base_7_text,gemma-3-4b-it,35.76,35.76,96.2,137.70000000000002,0.0,3652.9936000000007
long,3,base_7_text,google_gemini-2.5-flash-lite,35.76,35.76,61.2,62.2,0.0,647.1936000000003
long,3,base_7_text,meta-llama_llama-4-maverick,35.76,35.76,58.0,58.000000000000014,0.0,494.6176000000001
long,3,base_7_text,microsoft_phi-4-multimodal-instruct,35.76,35.76,86.6,182.30000000000004,0.0,2584.7056
long,3,base_7_text,mistralai_mistral-small-3.2-24b-instruct,35.76,35.76,47.36,10.447999999999997,0.0,134.56000000000003
long,3,base_7_text,openai_gpt-4o-2024-08-06,35.76,35.76,54.8,162.2,0.0,362.5216
long,3,base_7_text,qwen_qwen2.5-vl-32b-instruct,35.76,35.76,99.6,757.3000000000001,0.0,4075.5455999999995
long,3,base_text,GPT-5 Mini,35.76,35.76,51.44,152.108,0.0,245.86239999999998
long,3,base_text,anthropic_claude-3.7-sonnet,35.76,35.76,43.0,22.0,0.0,52.41760000000003
long,3,base_text,gemma-3-4b-it,35.76,35.76,90.8,17.199999999999996,0.0,3029.4015999999997
long,3,base_text,google_gemini-2.5-flash-lite,35.76,35.76,67.2,71.2,0.0,988.4736000000003
long,3,base_text,meta-llama_llama-4-maverick,35.76,35.76,63.6,87.80000000000001,0.0,775.0656000000002
long,3,base_text,microsoft_phi-4-multimodal-instruct,35.76,35.76,76.6,114.29999999999998,0.0,1667.9055999999996
long,3,base_text,mistralai_mistral-small-3.2-24b-instruct,35.76,35.76,49.916,33.38743,0.0,200.39233599999997
long,3,base_text,openai_gpt-4o-2024-08-06,35.76,35.76,57.2,63.2,0.0,459.6736000000002
long,3,base_text,qwen_qwen2.5-vl-32b-instruct,35.76,35.76,86.0,1808.5,0.0,2524.0576
long,4,base_7_text,GPT-5 Mini,20.13,20.13,33.260000000000005,12.662999999999991,0.0,172.39690000000016
long,4,base_7_text,anthropic_claude-3.7-sonnet,20.13,20.13,19.2,1.7,0.0,0.8648999999999994
long,4,base_7_text,gemma-3-4b-it,20.13,20.13,66.6,30.300000000000015,0.0,2159.4609
long,4,base_7_text,google_gemini-2.5-flash-lite,20.13,20.13,38.2,15.7,0.0,326.5249000000001
long,4,base_7_text,meta-llama_llama-4-maverick,20.13,20.13,39.0,14.0,0.0,356.0769
