group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.418,0.027119999999999995,0.25,0.0,short
1,0.53,0.006200000000000004,0.48,0.0,short
2,0.548,0.00947,0.39,0.0,short
3,0.454,0.01348,0.34,0.0,short
4,0.21800000000000003,0.013770000000000001,0.16,0.0,short
5,0.154,0.010279999999999997,0.16,0.0,short
6,0.11600000000000002,0.007730000000000002,0.12,0.0,short
7,0.44800000000000006,0.012620000000000001,0.45,0.0,short
8,0.488,0.0025199999999999997,0.34,0.0,short
9,0.524,0.0018799999999999984,0.38,0.0,short
0,0.5,0.0,0.49000000000000005,0.0,medium
1,0.558,0.01862,0.78,0.0,medium
2,0.502,0.0005200000000000009,0.67,0.0,medium
3,0.504,0.0008300000000000001,0.6,0.0,medium
4,0.48599999999999993,0.00028000000000000025,0.38,0.0,medium
5,0.502,7.000000000000024e-05,0.38,0.0,medium
6,0.49399999999999994,0.00013000000000000023,0.33,0.0,medium
7,0.45999999999999996,0.013950000000000002,0.73,0.0,medium
8,0.51,0.00010000000000000017,0.6,0.0,medium
9,0.49399999999999994,0.0001800000000000003,0.65,0.0,medium
0,0.48,0.0019999999999999996,0.65,0.0,long
1,0.686,0.029480000000000017,0.8800000000000001,0.0,long
2,0.502,0.00047000000000000085,0.79,0.0,long
3,0.49399999999999994,0.0001800000000000003,0.74,0.0,long
4,0.49800000000000005,0.00012000000000000011,0.56,0.0,long
5,0.502,6.999999999999998e-05,0.56,0.0,long
6,0.496,3.0000000000000085e-05,0.52,0.0,long
7,0.67,0.022200000000000004,0.85,0.0,long
8,0.554,0.012279999999999998,0.74,0.0,long
9,0.44800000000000006,0.01237,0.78,0.0,long
