group,response_mean,response_var,correct_mean,correct_var,range_category
0,3.2,0.7,2.8284,0.0,short
1,4.6,10.8,5.0,0.0,short
2,3.8,5.7,4.2426,0.0,short
3,3.4,0.8,3.6056,0.0,short
4,2.0,0.5,2.2361,0.0,short
5,1.6,0.3,2.2361,0.0,short
6,1.414,0.0,1.4142,0.0,short
7,5.0,8.0,5.0,0.0,short
8,2.6,0.8,3.6056,0.0,short
9,4.4,6.3,4.2426,0.0,short
0,6.6,0.7999999999999998,5.0,0.0,medium
1,8.2,3.2,7.0710999999999995,0.0,medium
2,6.4,11.8,6.4031,0.0,medium
3,6.2,3.2,5.6569,0.0,medium
4,4.2,3.2,4.2426,0.0,medium
5,3.8,3.2000000000000006,4.2426,0.0,medium
6,3.2,1.2000000000000002,3.6056,0.0,medium
7,9.0,0.0,7.0710999999999995,0.0,medium
8,7.0,0.0,5.6569,0.0,medium
9,6.8,11.200000000000001,6.4031,0.0,medium
0,4.8,18.2,7.0710999999999995,0.0,long
1,7.0,36.0,9.2195,0.0,long
2,3.0,20.0,8.4853,0.0,long
3,3.8,19.2,7.8102,0.0,long
4,4.6,10.8,5.6569,0.0,long
5,4.6,10.8,5.6569,0.0,long
6,4.6,10.8,5.6569,0.0,long
7,7.2,27.2,8.4853,0.0,long
8,6.0,25.0,7.8102,0.0,long
9,5.0,30.0,8.4853,0.0,long
