group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.27999999999999997,0.0007499999999999994,0.25,0.0,short
1,0.4800000000000001,0.005749999999999998,0.48,0.0,short
2,0.38,0.022,0.39,0.0,short
3,0.36,0.010499999999999999,0.34,0.0,short
4,0.22999999999999998,0.00325,0.16,0.0,short
5,0.15,0.0025000000000000005,0.16,0.0,short
6,0.12,0.0007499999999999997,0.12,0.0,short
7,0.5,0.0,0.45,0.0,short
8,0.35,0.012499999999999997,0.34,0.0,short
9,0.35,0.010000000000000004,0.38,0.0,short
0,0.54,0.0030000000000000005,0.49000000000000005,0.0,medium
1,0.79,0.0017499999999999994,0.78,0.0,medium
2,0.5599999999999999,0.011749999999999986,0.67,0.0,medium
3,0.5700000000000001,0.005749999999999997,0.6,0.0,medium
4,0.29,0.001749999999999999,0.38,0.0,medium
5,0.26,0.0029999999999999983,0.38,0.0,medium
6,0.17,0.0019999999999999987,0.33,0.0,medium
7,0.77,0.005750000000000007,0.73,0.0,medium
8,0.5599999999999999,0.004250000000000002,0.6,0.0,medium
9,0.63,0.004499999999999994,0.65,0.0,medium
0,0.5700000000000001,0.001999999999999999,0.65,0.0,long
1,0.9040000000000001,8.000000000000014e-05,0.8800000000000001,0.0,long
2,0.732,0.0058699999999999985,0.79,0.0,long
3,0.718,0.0004200000000000002,0.74,0.0,long
4,0.528,0.001919999999999999,0.56,0.0,long
5,0.504,8.000000000000014e-05,0.56,0.0,long
6,0.466,0.006779999999999995,0.52,0.0,long
7,0.808,0.0003199999999999986,0.85,0.0,long
8,0.704,8.000000000000014e-05,0.74,0.0,long
9,0.656,0.007679999999999999,0.78,0.0,long
