correct,response,input_value,range_category,trial,stimulus_id
3.47,5.2,3.47,short,0,0
7.26,12.0,7.26,short,1,1
5.89,13.5,5.89,short,2,2
4.95,7.5,4.95,short,3,3
1.98,3.5,1.98,short,4,4
1.89,3.8,1.89,short,5,5
1.27,3.2,1.27,short,6,6
7.01,8.5,7.01,short,7,7
4.83,7.0,4.83,short,8,8
5.52,8.0,5.52,short,9,9
3.47,5.2,3.47,short,10,0
7.26,12.0,7.26,short,11,1
5.89,9.0,5.89,short,12,2
4.95,7.5,4.95,short,13,3
1.98,3.0,1.98,short,14,4
1.89,2.5,1.89,short,15,5
1.27,2.5,1.27,short,16,6
7.01,7.0,7.01,short,17,7
4.83,6.0,4.83,short,18,8
5.52,6.5,5.52,short,19,9
3.47,5.2,3.47,short,20,0
7.26,12.0,7.26,short,21,1
5.89,13.0,5.89,short,22,2
4.95,8.6,4.95,short,23,3
1.98,3.2,1.98,short,24,4
1.89,3.8,1.89,short,25,5
1.27,3.6,1.27,short,26,6
7.01,8.8,7.01,short,27,7
4.83,8.0,4.83,short,28,8
5.52,6.8,5.52,short,29,9
3.47,5.7,3.47,short,30,0
7.26,14.3,7.26,short,31,1
5.89,14.0,5.89,short,32,2
4.95,8.5,4.95,short,33,3
1.98,3.6,1.98,short,34,4
1.89,5.0,1.89,short,35,5
1.27,3.4,1.27,short,36,6
7.01,6.1,7.01,short,37,7
4.83,7.6,4.83,short,38,8
5.52,9.8,5.52,short,39,9
3.47,5.2,3.47,short,40,0
7.26,13.0,7.26,short,41,1
5.89,14.0,5.89,short,42,2
4.95,8.5,4.95,short,43,3
1.98,3.2,1.98,short,44,4
1.89,4.0,1.89,short,45,5
1.27,3.8,1.27,short,46,6
7.01,7.2,7.01,short,47,7
4.83,7.6,4.83,short,48,8
5.52,8.8,5.52,short,49,9
9.57,8.4,9.57,medium,0,0
18.43,32.0,18.43,medium,1,1
15.74,30.0,15.74,medium,2,2
13.13,26.0,13.13,medium,3,3
6.72,10.0,6.72,medium,4,4
7.0,7.6,7.0,medium,5,5
5.81,8.4,5.81,medium,6,6
17.63,14.4,17.63,medium,7,7
12.67,15.6,12.67,medium,8,8
15.37,22.0,15.37,medium,9,9
9.57,9.0,9.57,medium,10,0
18.43,30.0,18.43,medium,11,1
15.74,30.0,15.74,medium,12,2
13.13,26.0,13.13,medium,13,3
6.72,10.0,6.72,medium,14,4
7.0,8.0,7.0,medium,15,5
5.81,9.0,5.81,medium,16,6
17.63,15.0,17.63,medium,17,7
12.67,16.0,12.67,medium,18,8
15.37,28.0,15.37,medium,19,9
9.57,8.4,9.57,medium,20,0
18.43,30.0,18.43,medium,21,1
15.74,34.0,15.74,medium,22,2
13.13,22.0,13.13,medium,23,3
6.72,10.0,6.72,medium,24,4
7.0,8.5,7.0,medium,25,5
5.81,12.5,5.81,medium,26,6
17.63,16.0,17.63,medium,27,7
12.67,15.5,12.67,medium,28,8
15.37,22.0,15.37,medium,29,9
9.57,8.5,9.57,medium,30,0
18.43,32.0,18.43,medium,31,1
15.74,30.0,15.74,medium,32,2
13.13,28.0,13.13,medium,33,3
6.72,9.5,6.72,medium,34,4
7.0,8.0,7.0,medium,35,5
5.81,9.0,5.81,medium,36,6
17.63,16.5,17.63,medium,37,7
12.67,16.0,12.67,medium,38,8
15.37,24.0,15.37,medium,39,9
9.57,8.4,9.57,medium,40,0
18.43,33.0,18.43,medium,41,1
15.74,38.0,15.74,medium,42,2
13.13,26.0,13.13,medium,43,3
6.72,10.0,6.72,medium,44,4
7.0,7.6,7.0,medium,45,5
5.81,9.6,5.81,medium,46,6
17.63,14.8,17.63,medium,47,7
12.67,16.3,12.67,medium,48,8
15.37,22.0,15.37,medium,49,9
26.62,21.2,26.62,long,0,0
48.03,62.0,48.03,long,1,1
40.53,48.0,40.53,long,2,2
35.76,37.4,35.76,long,3,3
20.13,26.4,20.13,long,4,4
20.28,28.0,20.28,long,5,5
16.69,20.0,16.69,long,6,6
44.63,44.2,44.63,long,7,7
35.43,58.3,35.43,long,8,8
39.64,38.4,39.64,long,9,9
26.62,22.0,26.62,long,10,0
48.03,64.0,48.03,long,11,1
40.53,53.0,40.53,long,12,2
35.76,56.0,35.76,long,13,3
20.13,34.0,20.13,long,14,4
20.28,20.0,20.28,long,15,5
16.69,18.0,16.69,long,16,6
44.63,60.0,44.63,long,17,7
35.43,62.0,35.43,long,18,8
39.64,52.0,39.64,long,19,9
26.62,21.2,26.62,long,20,0
48.03,64.0,48.03,long,21,1
40.53,54.0,40.53,long,22,2
35.76,66.0,35.76,long,23,3
20.13,42.5,20.13,long,24,4
20.28,19.0,20.28,long,25,5
16.69,18.4,16.69,long,26,6
44.63,58.3,44.63,long,27,7
35.43,53.7,35.43,long,28,8
39.64,41.2,39.64,long,29,9
26.62,24.0,26.62,long,30,0
48.03,64.0,48.03,long,31,1
40.53,60.0,40.53,long,32,2
35.76,58.0,35.76,long,33,3
20.13,36.0,20.13,long,34,4
20.28,18.0,20.28,long,35,5
16.69,19.0,16.69,long,36,6
44.63,71.0,44.63,long,37,7
35.43,56.0,35.43,long,38,8
39.64,39.0,39.64,long,39,9
26.62,21.2,26.62,long,40,0
48.03,64.0,48.03,long,41,1
40.53,46.5,40.53,long,42,2
35.76,39.8,35.76,long,43,3
20.13,33.4,20.13,long,44,4
20.28,24.0,20.28,long,45,5
16.69,20.0,16.69,long,46,6
44.63,50.0,44.63,long,47,7
35.43,55.0,35.43,long,48,8
39.64,50.2,39.64,long,49,9
