group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.542,0.17531999999999998,0.25,0.0,short
1,0.5980000000000001,0.13952000000000003,0.48,0.0,short
2,0.43200000000000005,0.10687,0.39,0.0,short
3,0.47400000000000003,0.08987999999999999,0.34,0.0,short
4,0.31,0.1493,0.16,0.0,short
5,0.514,0.19698,0.16,0.0,short
6,0.492,0.21516999999999997,0.12,0.0,short
7,0.54,0.07175,0.45,0.0,short
8,0.508,0.08132,0.34,0.0,short
9,0.462,0.09347,0.38,0.0,short
0,0.346,0.03783,0.49000000000000005,0.0,medium
1,0.6199999999999999,0.13699999999999998,0.78,0.0,medium
2,0.766,0.04628000000000001,0.67,0.0,medium
3,0.64,0.04175,0.6,0.0,medium
4,0.62,0.12075000000000004,0.38,0.0,medium
5,0.64,0.10924999999999999,0.38,0.0,medium
6,0.31999999999999995,0.0007499999999999991,0.33,0.0,medium
7,0.616,0.0030299999999999984,0.73,0.0,medium
8,0.538,0.0014699999999999987,0.6,0.0,medium
9,0.576,0.00138,0.65,0.0,medium
0,0.654,0.039580000000000004,0.65,0.0,long
1,0.79,0.0377,0.8800000000000001,0.0,long
2,0.806,0.03218,0.79,0.0,long
3,0.6599999999999999,0.16720000000000002,0.74,0.0,long
4,0.8150000000000001,0.06424999999999996,0.56,0.0,long
5,0.584,0.06158000000000001,0.56,0.0,long
6,0.532,0.07007,0.52,0.0,long
7,0.746,0.021079999999999998,0.85,0.0,long
8,0.662,0.03676999999999999,0.74,0.0,long
9,0.6519999999999999,0.0023199999999999983,0.78,0.0,long
