group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.258,0.012920000000000004,0.25,0.0,short
1,0.32999999999999996,0.014949999999999996,0.48,0.0,short
2,0.292,0.011069999999999997,0.39,0.0,short
3,0.29000000000000004,0.014349999999999998,0.34,0.0,short
4,0.252,0.02277,0.16,0.0,short
5,0.244,0.019280000000000002,0.16,0.0,short
6,0.23200000000000004,0.018770000000000002,0.12,0.0,short
7,0.24,0.018400000000000003,0.45,0.0,short
8,0.25,0.018699999999999998,0.34,0.0,short
9,0.244,0.020480000000000005,0.38,0.0,short
0,0.47800000000000004,0.023220000000000005,0.49000000000000005,0.0,medium
1,0.588,0.06727000000000001,0.78,0.0,medium
2,0.572,0.07177,0.67,0.0,medium
3,0.63,0.0356,0.6,0.0,medium
4,0.506,0.052529999999999986,0.38,0.0,medium
5,0.492,0.04052,0.38,0.0,medium
6,0.472,0.034020000000000016,0.33,0.0,medium
7,0.46799999999999997,0.03337000000000001,0.73,0.0,medium
8,0.45999999999999996,0.03160000000000001,0.6,0.0,medium
9,0.45,0.03319999999999999,0.65,0.0,medium
0,0.71,0.00435,0.65,0.0,long
1,0.742,0.009369999999999998,0.8800000000000001,0.0,long
2,0.78,0.009399999999999995,0.79,0.0,long
3,0.8019999999999999,0.003769999999999998,0.74,0.0,long
4,0.728,0.01776999999999999,0.56,0.0,long
5,0.664,0.012629999999999994,0.56,0.0,long
6,0.648,0.01457000000000001,0.52,0.0,long
7,0.666,0.01013000000000001,0.85,0.0,long
8,0.666,0.009230000000000002,0.74,0.0,long
9,0.664,0.009530000000000004,0.78,0.0,long
