correct,response,input_value,range_category,trial,stimulus_id
0.2498,0.4878,0.2498,short,0,0
0.4803,0.4667,0.4803,short,1,1
0.3928,0.4545,0.3928,short,2,2
0.3395,0.507,0.3395,short,3,3
0.1624,0.178,0.1624,short,4,4
0.1624,0.194,0.1624,short,5,5
0.1232,0.391304347826087,0.1232,short,6,6
0.4465,0.3125,0.4465,short,7,7
0.3404,0.3103448275862069,0.3404,short,8,8
0.3832,0.470588,0.3832,short,9,9
0.2498,0.217391,0.2498,short,10,0
0.4803,0.352941,0.4803,short,11,1
0.3928,0.507,0.3928,short,12,2
0.3395,0.405,0.3395,short,13,3
0.1624,0.167,0.1624,short,14,4
0.1624,0.3673469387755102,0.1624,short,15,5
0.1232,0.15517241379310345,0.1232,short,16,6
0.4465,0.3170731707317073,0.4465,short,17,7
0.3404,0.4375,0.3404,short,18,8
0.3832,0.4545,0.3832,short,19,9
0.2498,0.2105,0.2498,short,20,0
0.4803,0.45454545454545453,0.4803,short,21,1
0.3928,0.3125,0.3928,short,22,2
0.3395,0.46875,0.3395,short,23,3
0.1624,0.3333333333333333,0.1624,short,24,4
0.1624,0.30952380952380953,0.1624,short,25,5
0.1232,0.19047619047619047,0.1232,short,26,6
0.4465,0.3181818181818182,0.4465,short,27,7
0.3404,0.2631578947368421,0.3404,short,28,8
0.3832,0.3333333333333333,0.3832,short,29,9
0.2498,0.43478260869565216,0.2498,short,30,0
0.4803,0.4186046511627907,0.4803,short,31,1
0.3928,0.36585365853658536,0.3928,short,32,2
0.3395,0.5714285714285714,0.3395,short,33,3
0.1624,0.15384615384615385,0.1624,short,34,4
0.1624,0.18181818181818182,0.1624,short,35,5
0.1232,0.4666666666666667,0.1232,short,36,6
0.4465,0.4166666666666667,0.4465,short,37,7
0.3404,0.3333333333333333,0.3404,short,38,8
0.3832,0.52,0.3832,short,39,9
0.2498,0.21,0.2498,short,40,0
0.4803,0.5,0.4803,short,41,1
0.3928,0.5217391304347826,0.3928,short,42,2
0.3395,0.46511627906976744,0.3395,short,43,3
0.1624,0.13333333333333333,0.1624,short,44,4
0.1624,0.4074074074074074,0.1624,short,45,5
0.1232,0.1111111111111111,0.1232,short,46,6
0.4465,0.2916666666666667,0.4465,short,47,7
0.3404,0.46153846153846156,0.3404,short,48,8
0.3832,0.43478260869565216,0.3832,short,49,9
0.4873,0.4666666666666667,0.4873,medium,0,0
0.7754,0.4666666666666667,0.7754,medium,1,1
0.666,0.5833333333333334,0.666,medium,2,2
0.5993,0.517,0.5993,medium,3,3
0.378,0.407,0.378,medium,4,4
