group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.52,0.05074999999999999,0.25,0.0,short
1,0.62,0.03199999999999999,0.48,0.0,short
2,0.52,0.0019999999999999987,0.39,0.0,short
3,0.4,0.003750000000000001,0.34,0.0,short
4,0.22000000000000003,0.0007499999999999994,0.16,0.0,short
5,0.27999999999999997,0.0007499999999999994,0.16,0.0,short
6,0.34500000000000003,0.004500000000000002,0.12,0.0,short
7,0.54,0.0030000000000000005,0.45,0.0,short
8,0.43499999999999994,0.003624999999999999,0.34,0.0,short
9,0.45999999999999996,0.0029999999999999983,0.38,0.0,short
0,0.5650000000000001,0.0036249999999999954,0.49000000000000005,0.0,medium
1,0.64,0.01674999999999999,0.78,0.0,medium
2,0.465,0.013625000000000002,0.67,0.0,medium
3,0.645,0.027000000000000003,0.6,0.0,medium
4,0.45499999999999996,0.035125,0.38,0.0,medium
5,0.615,0.008000000000000004,0.38,0.0,medium
6,0.3675,0.004031250000000001,0.33,0.0,medium
7,0.6,0.018750000000000003,0.73,0.0,medium
8,0.675,0.012499999999999999,0.6,0.0,medium
9,0.5900000000000001,0.0105,0.65,0.0,medium
0,0.71,0.0042499999999999994,0.65,0.0,long
1,0.7,0.0075,0.8800000000000001,0.0,long
2,0.8300000000000001,0.0007499999999999975,0.79,0.0,long
3,0.75,0.0,0.74,0.0,long
4,0.64,0.0042499999999999994,0.56,0.0,long
5,0.76,0.00675,0.56,0.0,long
6,0.64,0.00674999999999999,0.52,0.0,long
7,0.74,0.009250000000000003,0.85,0.0,long
8,0.6699999999999999,0.004500000000000003,0.74,0.0,long
9,0.76,0.004250000000000004,0.78,0.0,long
