group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.33999999999999997,0.15875,0.25,0.0,short
1,0.378,0.029570000000000003,0.48,0.0,short
2,0.396,0.016229999999999998,0.39,0.0,short
3,0.388,0.014870000000000001,0.34,0.0,short
4,0.23399999999999999,0.052729999999999985,0.16,0.0,short
5,0.24,0.07260000000000001,0.16,0.0,short
6,0.254,0.09382999999999997,0.12,0.0,short
7,0.524,0.02753000000000001,0.45,0.0,short
8,0.538,0.04576999999999998,0.34,0.0,short
9,0.5519999999999999,0.05322,0.38,0.0,short
0,0.278,0.051770000000000004,0.49000000000000005,0.0,medium
1,0.396,0.19202999999999998,0.78,0.0,medium
2,0.362,0.09286999999999998,0.67,0.0,medium
3,0.526,0.0006300000000000013,0.6,0.0,medium
4,0.45199999999999996,0.00011999999999999939,0.38,0.0,medium
5,0.348,0.013370000000000005,0.38,0.0,medium
6,0.298,0.013770000000000003,0.33,0.0,medium
7,0.438,0.06641999999999999,0.73,0.0,medium
8,0.35,0.043600000000000014,0.6,0.0,medium
9,0.308,0.05287000000000001,0.65,0.0,medium
0,0.744,0.0014300000000000024,0.65,0.0,long
1,0.93,0.001099999999999995,0.8800000000000001,0.0,long
2,0.9040000000000001,0.003529999999999998,0.79,0.0,long
3,0.818,0.01537000000000001,0.74,0.0,long
4,0.558,0.009670000000000002,0.56,0.0,long
5,0.47800000000000004,0.0035200000000000006,0.56,0.0,long
6,0.462,0.004970000000000001,0.52,0.0,long
7,0.93,0.0010499999999999978,0.85,0.0,long
8,0.898,0.002770000000000001,0.74,0.0,long
9,0.882,0.002820000000000002,0.78,0.0,long
