correct,response,range_category,trial,stimulus_id
2.5,,short,0,0
4.8023,6.25,short,1,1
3.9051,5.0,short,2,2
3.4004,4.5,short,3,3
1.6008,2.0,short,4,4
1.25,3.0,short,5,5
4.4721,6.0,short,6,6
1.118,3.25,short,7,7
4.8541,6.25,short,8,8
4.3661,4.72,short,9,9
4.4721,,medium,0,0
6.8237,6.0,medium,1,1
5.9634,4.53,medium,2,2
5.3852,5.0,medium,3,3
3.6056,4.3,medium,4,4
3.25,3.0,medium,5,5
6.5,4.53,medium,6,6
5.831,6.08,medium,7,7
3.0923,2.0,medium,8,8
6.8966,7.21,medium,9,9
6.5,,long,0,0
8.8459,6.0,long,1,1
7.9412,5.0,long,2,2
7.433,6.0,long,3,3
5.6569,4.47213595499958,long,4,4
5.2202,3.0,long,5,5
8.4595,5.830951894845301,long,6,6
7.8262,5.0,long,7,7
5.099,3.6055512754639896,long,8,8
8.9022,6.0,long,9,9
