sample_id,city_chain,country_chain,total_distance,distance_range,min_distance,max_distance,hop_count
route_001,"Libreville, Accra, Ottawa, Riga, Skopje, Madrid, Santiago, Tunis","Gabon, Ghana, Canada, Latvia, North Macedonia, Spain, Chile, Tunisia",42013.21,10000.0-50000.0km,10000.0,50000.0,8
route_002,"Seoul, Port-of-Spain, Georgetown, Stockholm, Baku, Lilongwe, New Delhi, Doha","South Korea, Trinidad and Tobago, Guyana, Sweden, Azerbaijan, Malawi, India, Qatar",42259.6,10000.0-50000.0km,10000.0,50000.0,8
route_003,"Ashgabat, Lilongwe, Helsinki, Santo Domingo, New Delhi, Moscow, Vilnius, Hanoi","Turkmenistan, Malawi, Finland, Dominican Republic, India, Russia, Lithuania, Vietnam",49442.07,10000.0-50000.0km,10000.0,50000.0,8
route_004,"Amman, Kabul, Mogadishu, Dublin, Bishkek, Kingston, Rome, Tehran","Jordan, Afghanistan, Somalia, Ireland, Kyrgyzstan, Jamaica, Italy, Iran",45316.3,10000.0-50000.0km,10000.0,50000.0,8
route_005,"Cape Town, La Paz, Georgetown, Mogadishu, Bamako, Manama, Nicosia, Lilongwe","South Africa, Bolivia, Guyana, Somalia, Mali, Bahrain, Cyprus, Malawi",42619.98,10000.0-50000.0km,10000.0,50000.0,8
route_006,"Madrid, Brasília, Bucharest, Maseru, Kampala, Baghdad, Asmara, Pretoria","Spain, Brazil, Romania, Lesotho, Uganda, Iraq, Eritrea, South Africa",39952.5,10000.0-50000.0km,10000.0,50000.0,8
route_007,"Bogota, Praia, Islamabad, Lisbon, Accra, Abidjan, Cotonou, Beirut","Colombia, Cape Verde, Pakistan, Portugal, Ghana, Ivory Coast, Benin, Lebanon",32006.8,10000.0-50000.0km,10000.0,50000.0,8
route_008,"Cotonou, Ljubljana, Praia, Zagreb, Malé, Beirut, Tripoli, Dakar","Benin, Slovenia, Cape Verde, Croatia, Maldives, Lebanon, Libya, Senegal",32632.88,10000.0-50000.0km,10000.0,50000.0,8
route_009,"Tehran, Stockholm, Cotonou, Islamabad, Pretoria, Bridgetown, Nicosia, Tallinn","Iran, Sweden, Benin, Pakistan, South Africa, Barbados, Cyprus, Estonia",48189.57,10000.0-50000.0km,10000.0,50000.0,8
route_010,"Doha, Chișinău, København, Brussels, Muscat, Manama, Palikir, Roseau","Qatar, Moldova, Denmark, Belgium, Oman, Bahrain, Federated States of Micronesia, Dominica",38152.04,10000.0-50000.0km,10000.0,50000.0,8
route_011,"Vienna, Libreville, Antananarivo, Saint John's, Bucharest, Conakry, Brazzaville, Basseterre","Austria, Gabon, Madagascar, Antigua and Barbuda, Romania, Guinea, Congo (Brazzaville), Saint Kitts and Nevis",49032.26,10000.0-50000.0km,10000.0,50000.0,8
route_012,"Banjul, Ottawa, Bratislava, Rome, Kabul, Colombo, Tokyo, Vilnius","The Gambia, Canada, Slovakia, Italy, Afghanistan, Sri Lanka, Japan, Lithuania",37183.38,10000.0-50000.0km,10000.0,50000.0,8
route_013,"Bern, Khartoum, Freetown, Monrovia, Helsinki, Dushanbe, Ljubljana, Libreville","Switzerland, Sudan, Sierra Leone, Liberia, Finland, Tajikistan, Slovenia, Gabon",29688.82,10000.0-50000.0km,10000.0,50000.0,8
route_014,"Victoria, Bratislava, Malé, Asmara, Podgorica, Minsk, Kingstown, Santo Domingo","Seychelles, Slovakia, Maldives, Eritrea, Montenegro, Belarus, Saint Vincent and the Grenadines, Dominican Republic",32972.84,10000.0-50000.0km,10000.0,50000.0,8
route_015,"Yaoundé, Algiers, Nouakchott, Panama City, Maputo, Kyiv, Nairobi, Amman","Cameroon, Algeria, Mauritania, Panama, Mozambique, Ukraine, Kenya, Jordan",44085.77,10000.0-50000.0km,10000.0,50000.0,8
route_016,"Maputo, Tbilisi, Djibouti, Berlin, Athens, Tegucigalpa, Sucre, Tashkent","Mozambique, Georgia, Djibouti, Germany, Greece, Honduras, Bolivia, Uzbekistan",48322.55,10000.0-50000.0km,10000.0,50000.0,8
route_017,"Warsaw, Dublin, Monaco, Montevideo, Ouagadougou, Kinshasa, Lusaka, Amman","Poland, Ireland, Monaco, Uruguay, Burkina Faso, Congo (Kinshasa), Zambia, Jordan",31759.18,10000.0-50000.0km,10000.0,50000.0,8
