sample_id,reference_city,reference_country,reference_lat,reference_lon,target_city,target_country,actual_distance,distance_range,min_distance,max_distance
sample_001,Sucre,Bolivia,-19.040971,-65.259516,Kinshasa,Congo (Kinshasa),8860.86,6000.0-10000.0km,6000.0,10000.0
sample_002,Mbabane,eSwatini,-26.316651,31.133335,Prague,Czechia,8653.48,6000.0-10000.0km,6000.0,10000.0
sample_003,Mexico City,Mexico,19.444388,-99.132934,Amsterdam,Netherlands,9216.97,6000.0-10000.0km,6000.0,10000.0
sample_004,Sucre,Bolivia,-19.040971,-65.259516,Cape Town,South Africa,8277.49,6000.0-10000.0km,6000.0,10000.0
sample_005,Bishkek,Kyrgyzstan,42.875025,74.583258,Moroni,Comoros,6855.17,6000.0-10000.0km,6000.0,10000.0
sample_006,Guatemala City,Guatemala,14.623081,-90.528911,Accra,Ghana,9885.15,6000.0-10000.0km,6000.0,10000.0
sample_007,Belmopan,Belize,17.252034,-88.767073,Algiers,Algeria,9027.19,6000.0-10000.0km,6000.0,10000.0
sample_008,Nassau,The Bahamas,25.08339,-77.350044,Oslo,Norway,7511.02,6000.0-10000.0km,6000.0,10000.0
sample_009,Managua,Nicaragua,12.154962,-86.270438,Praia,Cape Verde,6769.33,6000.0-10000.0km,6000.0,10000.0
sample_010,Guatemala City,Guatemala,14.623081,-90.528911,Rome,Italy,9966.43,6000.0-10000.0km,6000.0,10000.0
sample_011,Brussels,Belgium,50.835263,4.331371,Malé,Maldives,8197.28,6000.0-10000.0km,6000.0,10000.0
sample_012,Praia,Cape Verde,14.916698,-23.516689,Antananarivo,Madagascar,8635.53,6000.0-10000.0km,6000.0,10000.0
sample_013,Moscow,Russia,55.75411,37.613577,Libreville,Gabon,6659.15,6000.0-10000.0km,6000.0,10000.0
sample_014,Algiers,Algeria,36.765011,3.048607,La Paz,Bolivia,9512.79,6000.0-10000.0km,6000.0,10000.0
sample_015,Roseau,Dominica,15.301016,-61.387013,Skopje,North Macedonia,8291.14,6000.0-10000.0km,6000.0,10000.0
sample_016,Port Moresby,Papua New Guinea,-9.464708,147.192504,Tashkent,Uzbekistan,9709.6,6000.0-10000.0km,6000.0,10000.0
sample_017,Amsterdam,Netherlands,52.351915,4.914694,Bangkok,Thailand,9174.88,6000.0-10000.0km,6000.0,10000.0
sample_018,Mbabane,eSwatini,-26.316651,31.133335,Singapore,Singapore,8357.15,6000.0-10000.0km,6000.0,10000.0
sample_019,Rome,Italy,41.897902,12.481313,Bangkok,Thailand,8831.41,6000.0-10000.0km,6000.0,10000.0
sample_020,Rome,Italy,41.897902,12.481313,Bogota,Colombia,9382.36,6000.0-10000.0km,6000.0,10000.0
sample_021,Yerevan,Armenia,40.183097,44.511606,Lilongwe,Malawi,6124.28,6000.0-10000.0km,6000.0,10000.0
sample_022,Dushanbe,Tajikistan,38.560035,68.773879,Bangui,Central African Republic,6324.87,6000.0-10000.0km,6000.0,10000.0
sample_023,Pristina,Kosovo,42.66671,21.165984,Harare,Zimbabwe,6801.06,6000.0-10000.0km,6000.0,10000.0
sample_024,Bangkok,Thailand,13.751945,100.514699,Honiara,Solomon Islands,7046.12,6000.0-10000.0km,6000.0,10000.0
sample_025,Nicosia,Cyprus,35.166677,33.366635,Hamilton,Bermuda,8661.27,6000.0-10000.0km,6000.0,10000.0
sample_026,Honiara,Solomon Islands,-9.437994,159.949766,Kathmandu,Nepal,9015.32,6000.0-10000.0km,6000.0,10000.0
sample_027,Monaco,Monaco,43.739646,7.406913,Dhaka,Bangladesh,7669.59,6000.0-10000.0km,6000.0,10000.0
