sample_id,reference_city,reference_country,reference_lat,reference_lon,target_city,target_country,actual_distance,distance_range,min_distance,max_distance
sample_001,Sucre,Bolivia,-19.040971,-65.259516,Saint John's,Antigua and Barbuda,4037.93,1000.0-5000.0km,1000.0,5000.0
sample_002,Beirut,Lebanon,33.873921,35.507762,Podgorica,Montenegro,1706.66,1000.0-5000.0km,1000.0,5000.0
sample_003,Tirana,Albania,41.327541,19.818883,Yamoussoukro,Ivory Coast,4569.22,1000.0-5000.0km,1000.0,5000.0
sample_004,Mexico City,Mexico,19.444388,-99.132934,Roseau,Dominica,4024.29,1000.0-5000.0km,1000.0,5000.0
sample_005,Sucre,Bolivia,-19.040971,-65.259516,Tegucigalpa,Honduras,4400.73,1000.0-5000.0km,1000.0,5000.0
sample_006,Bishkek,Kyrgyzstan,42.875025,74.583258,Beijing,China,3466.03,1000.0-5000.0km,1000.0,5000.0
sample_007,Nassau,The Bahamas,25.08339,-77.350044,Mexico City,Mexico,2324.42,1000.0-5000.0km,1000.0,5000.0
sample_008,Managua,Nicaragua,12.154962,-86.270438,Havana,Cuba,1288.73,1000.0-5000.0km,1000.0,5000.0
sample_009,Guatemala City,Guatemala,14.623081,-90.528911,"Washington,  D.C.",United States of America,3006.58,1000.0-5000.0km,1000.0,5000.0
sample_010,Brussels,Belgium,50.835263,4.331371,Tbilisi,Georgia,3223.77,1000.0-5000.0km,1000.0,5000.0
sample_011,Praia,Cape Verde,14.916698,-23.516689,Andorra,Andorra,3888.9,1000.0-5000.0km,1000.0,5000.0
sample_012,Algiers,Algeria,36.765011,3.048607,Libreville,Gabon,4098.71,1000.0-5000.0km,1000.0,5000.0
sample_013,Pretoria,South Africa,-25.704975,28.227483,Malabo,Equatorial Guinea,3888.37,1000.0-5000.0km,1000.0,5000.0
sample_014,Libreville,Gabon,0.385389,9.457965,Sanaa,Yemen,4161.93,1000.0-5000.0km,1000.0,5000.0
sample_015,Port Moresby,Papua New Guinea,-9.464708,147.192504,Funafuti,Tuvalu,3517.56,1000.0-5000.0km,1000.0,5000.0
sample_016,Moscow,Russia,55.75411,37.613577,Ankara,Turkey,1793.97,1000.0-5000.0km,1000.0,5000.0
sample_017,Rome,Italy,41.897902,12.481313,Bissau,Guinea Bissau,4307.65,1000.0-5000.0km,1000.0,5000.0
