group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.45,0.0125,0.25,0.0,short
1,0.55,0.012500000000000002,0.48,0.0,short
2,0.38,0.014500000000000004,0.39,0.0,short
3,0.55,0.04375000000000001,0.34,0.0,short
4,0.22999999999999998,0.002,0.16,0.0,short
5,0.36,0.128,0.16,0.0,short
6,0.39,0.01675,0.12,0.0,short
7,0.5,0.0,0.45,0.0,short
8,0.4,0.018750000000000003,0.34,0.0,short
9,0.55,0.012499999999999997,0.38,0.0,short
0,0.5,0.0,0.49000000000000005,0.0,medium
1,0.9199999999999999,0.0007499999999999981,0.78,0.0,medium
2,0.44000000000000006,0.108,0.67,0.0,medium
3,0.5,0.0,0.6,0.0,medium
4,0.58,0.032,0.38,0.0,medium
5,0.5,0.0,0.38,0.0,medium
6,0.44000000000000006,0.017999999999999995,0.33,0.0,medium
7,0.82,0.03200000000000001,0.73,0.0,medium
8,0.5,0.0,0.6,0.0,medium
9,0.5700000000000001,0.03450000000000001,0.65,0.0,medium
0,0.5,0.0,0.65,0.0,long
1,0.79,0.10925000000000001,0.8800000000000001,0.0,long
2,0.64,0.11800000000000002,0.79,0.0,long
3,0.82,0.033249999999999995,0.74,0.0,long
4,0.54,0.007999999999999998,0.56,0.0,long
5,0.5,0.0,0.56,0.0,long
6,0.5,0.0,0.52,0.0,long
7,0.77,0.10200000000000001,0.85,0.0,long
8,0.51,0.17049999999999998,0.74,0.0,long
9,0.74,0.048,0.78,0.0,long
