group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.52,0.09075,0.25,0.0,short
1,0.6599999999999999,0.021750000000000012,0.48,0.0,short
2,0.65,0.020000000000000004,0.39,0.0,short
3,0.45999999999999996,0.06299999999999999,0.34,0.0,short
4,0.19,0.002999999999999999,0.16,0.0,short
5,0.2,0.0012500000000000002,0.16,0.0,short
6,0.11000000000000001,0.0017499999999999994,0.12,0.0,short
7,0.6699999999999999,0.0020000000000000005,0.45,0.0,short
8,0.6900000000000001,0.005500000000000003,0.34,0.0,short
9,0.7,0.010000000000000009,0.38,0.0,short
0,0.67,0.0195,0.49000000000000005,0.0,medium
1,0.8160000000000001,0.0027799999999999986,0.78,0.0,medium
2,0.74,0.0030000000000000014,0.67,0.0,medium
3,0.688,0.01397,0.6,0.0,medium
4,0.44000000000000006,0.013449999999999998,0.38,0.0,medium
5,0.45,0.005,0.38,0.0,medium
6,0.388,0.02447,0.33,0.0,medium
7,0.774,0.0023800000000000045,0.73,0.0,medium
8,0.752,0.005070000000000003,0.6,0.0,medium
9,0.758,0.011320000000000002,0.65,0.0,medium
0,0.734,0.016279999999999985,0.65,0.0,long
1,0.8619999999999999,0.002519999999999999,0.8800000000000001,0.0,long
2,0.8059999999999998,0.01008,0.79,0.0,long
3,0.7939999999999999,0.013679999999999996,0.74,0.0,long
4,0.696,0.014179999999999995,0.56,0.0,long
5,0.688,0.013019999999999995,0.56,0.0,long
6,0.712,0.00842,0.52,0.0,long
7,0.8400000000000001,0.0004999999999999989,0.85,0.0,long
8,0.7979999999999999,0.0041199999999999995,0.74,0.0,long
9,0.808,0.0034200000000000007,0.78,0.0,long
