range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-291.70594880212207,0.054092513345194077,0.776774815682828,0.052650608163629035,-0.008855999999999989
long,EmpiricalLinear,3.0,-290.5984528701109,0.051509731454092114,0.7975827875170367,0.06201723507568029,-0.024519142014081136
long,Bayes(range),0.0,-283.0840774066356,0.05896325803630018,0.734764400675068,0.05081440575480148,-0.011712441369822461
long,Bayes(stimulus),0.0,-272.025920998859,0.06585768123733277,0.669111449486862,0.0512922638615736,-0.013753926894991324
long,LLM(Combined),,,0.0,1.0,0.06206256955685931,-0.027655999999999972
medium,Bayes(stimulus),0.0,-251.0552737389712,0.08122333165250456,0.45596858427016806,0.05865881831005739,0.020858246930611935
medium,EmpiricalLinear,3.0,-250.15259433117564,0.07718686774157316,0.508697227263535,0.06484282136797606,0.01087559850566
medium,Equal,0.0,-248.5487987538642,0.08328490259344727,0.4280014282698472,0.06155641022671806,0.014779999999999995
medium,Bayes(range),0.0,-246.9689635720503,0.08461111518875715,0.4096395998960024,0.06007704268541273,0.014746420308663029
medium,LLM(Combined),,,0.0,1.0,0.09566523736446797,0.028730000000000006
short,Bayes(stimulus),0.0,-255.85141823934788,0.07741968655459568,0.7379760705899601,0.06089109114371592,0.040844390258395126
short,Equal,0.0,-252.11399988318192,0.08036793514829157,0.7176396194279879,0.06740273095357488,0.043354
short,Bayes(range),0.0,-251.90890019117353,0.08053293868881459,0.7164790000867161,0.0673494635290054,0.04328218693831979
short,EmpiricalLinear,3.0,-246.38683715237883,0.08014896032698804,0.7191761919761844,0.07807394802648089,0.06306154350842036
short,LLM(Combined),,,0.0,1.0,0.08726753428394778,0.04834400000000001
