group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.26,0.0476,0.25,0.0,short
1,0.616,0.03388,0.48,0.0,short
2,0.27,0.0068999999999999955,0.39,0.0,short
3,0.35,0.04764999999999999,0.34,0.0,short
4,0.15,0.003800000000000001,0.16,0.0,short
5,0.132,0.00162,0.16,0.0,short
6,0.078,0.00042000000000000007,0.12,0.0,short
7,0.472,0.0007700000000000002,0.45,0.0,short
8,0.324,0.00033000000000000016,0.34,0.0,short
9,0.37,0.0006500000000000002,0.38,0.0,short
0,0.43200000000000005,0.027569999999999987,0.49000000000000005,0.0,medium
1,0.8,0.0010499999999999965,0.78,0.0,medium
2,0.734,0.009429999999999996,0.67,0.0,medium
3,0.6839999999999999,0.007229999999999995,0.6,0.0,medium
4,0.252,0.00657,0.38,0.0,medium
5,0.328,0.002319999999999999,0.38,0.0,medium
6,0.23199999999999998,0.0003199999999999999,0.33,0.0,medium
7,0.73,0.0003500000000000009,0.73,0.0,medium
8,0.65,0.000350000000000001,0.6,0.0,medium
9,0.686,0.0012300000000000015,0.65,0.0,medium
0,0.692,0.0030199999999999997,0.65,0.0,long
1,0.7939999999999999,0.0016799999999999977,0.8800000000000001,0.0,long
2,0.736,0.003129999999999998,0.79,0.0,long
3,0.8,0.0009500000000000001,0.74,0.0,long
4,0.634,0.0019300000000000025,0.56,0.0,long
5,0.496,0.007280000000000001,0.56,0.0,long
6,0.466,0.008029999999999999,0.52,0.0,long
7,0.8240000000000001,0.0005799999999999979,0.85,0.0,long
8,0.666,0.001279999999999997,0.74,0.0,long
9,0.74,0.0009000000000000021,0.78,0.0,long
