correct,response,range_category,trial
2.5,3.5,short,0
4.8023,6.4,short,1
3.9051,4.5,short,2
3.4004,3.75,short,3
1.6008,1.25,short,4
1.25,1.25,short,5
4.4721,7.07,short,6
1.118,1.12,short,7
4.8541,7.0,short,8
4.3661,7.11,short,9
2.5,3.201562,short,10
4.8023,5.0,short,11
3.9051,4.609772,short,12
3.4004,3.5,short,13
1.6008,1.25,short,14
1.25,1.25,short,15
4.4721,5.0,short,16
1.118,1.118,short,17
4.8541,5.0,short,18
4.3661,4.031128874149275,short,19
2.5,3.605551275463989,short,20
4.8023,4.242640687119285,short,21
3.9051,4.924428900898052,short,22
3.4004,4.6097722286464435,short,23
1.6008,2.5,short,24
1.25,1.25,short,25
4.4721,5.0,short,26
1.118,1.118033988749895,short,27
4.8541,4.25,short,28
4.3661,4.6097722286464435,short,29
2.5,3.354,short,30
4.8023,6.403,short,31
3.9051,3.354,short,32
3.4004,4.031,short,33
1.6008,1.25,short,34
1.25,1.25,short,35
4.4721,7.071,short,36
1.118,1.118,short,37
4.8541,7.072,short,38
4.3661,7.111,short,39
2.5,2.5,short,40
4.8023,5.0,short,41
3.9051,4.5,short,42
3.4004,4.0,short,43
1.6008,1.25,short,44
1.25,1.25,short,45
4.4721,5.0,short,46
1.118,1.12,short,47
4.8541,5.0,short,48
4.3661,5.0,short,49
4.4721,5.0,medium,0
6.8237,6.4,medium,1
5.9634,5.0,medium,2
5.3852,5.0,medium,3
3.6056,3.0,medium,4
3.25,3.0,medium,5
6.5,6.5,medium,6
5.831,5.0,medium,7
3.0923,3.25,medium,8
6.8966,6.0,medium,9
4.4721,5.0,medium,10
6.8237,6.75,medium,11
5.9634,5.5,medium,12
5.3852,5.0,medium,13
3.6056,3.0,medium,14
3.25,3.75,medium,15
6.5,6.5,medium,16
5.831,5.5,medium,17
3.0923,3.75,medium,18
6.8966,5.0,medium,19
4.4721,5.0,medium,20
6.8237,6.25,medium,21
5.9634,5.25,medium,22
5.3852,6.0,medium,23
3.6056,4.0,medium,24
3.25,3.25,medium,25
6.5,6.5,medium,26
5.831,5.0,medium,27
3.0923,3.5,medium,28
6.8966,8.75,medium,29
4.4721,5.0,medium,30
6.8237,7.0,medium,31
5.9634,5.0,medium,32
5.3852,6.0,medium,33
3.6056,3.0,medium,34
3.25,3.0,medium,35
6.5,7.0,medium,36
5.831,6.0,medium,37
3.0923,3.0,medium,38
6.8966,8.0,medium,39
4.4721,5.0,medium,40
6.8237,10.0,medium,41
5.9634,6.0,medium,42
5.3852,8.0,medium,43
3.6056,5.0,medium,44
3.25,4.0,medium,45
6.5,10.0,medium,46
5.831,6.0,medium,47
3.0923,3.0,medium,48
6.8966,8.0,medium,49
6.5,7.211,long,0
8.8459,7.810249675906654,long,1
7.9412,7.5,long,2
7.433,7.5,long,3
5.6569,7.615773105863909,long,4
5.2202,6.5,long,5
8.4595,7.5,long,6
7.8262,7.5,long,7
5.099,6.5,long,8
8.9022,7.5,long,9
6.5,7.5,long,10
8.8459,8.5,long,11
7.9412,7.75,long,12
7.433,6.5,long,13
5.6569,4.24,long,14
5.2202,5.5,long,15
8.4595,7.25,long,16
7.8262,8.5,long,17
5.099,6.0,long,18
8.9022,8.5,long,19
6.5,7.5,long,20
8.8459,8.5,long,21
7.9412,7.75,long,22
7.433,6.5,long,23
5.6569,5.0,long,24
5.2202,6.0,long,25
8.4595,7.75,long,26
7.8262,7.5,long,27
5.099,6.5,long,28
8.9022,8.5,long,29
6.5,7.433,long,30
8.8459,8.602,long,31
7.9412,7.661,long,32
7.433,6.5,long,33
5.6569,5.0,long,34
5.2202,5.59,long,35
8.4595,7.433,long,36
7.8262,7.661,long,37
5.099,6.403,long,38
8.9022,8.5,long,39
6.5,8.5,long,40
8.8459,8.5,long,41
7.9412,9.0,long,42
7.433,7.5,long,43
5.6569,5.0,long,44
5.2202,6.0,long,45
8.4595,9.5,long,46
7.8262,9.0,long,47
5.099,6.5,long,48
8.9022,9.5,long,49
