scope,model,r2,aic,aic_weight,w_p,gain_factor
overall,Linear_basic,0.8963686373851643,-384.948313117256,0.6500475425730805,,
overall,StaticGain_basic,0.8963686373851637,-382.9483131172558,0.239139126696627,0.0,0.9182507281811524
overall,SeqGain_basic,0.8952070031989923,-381.27627312506604,0.10365058745444254,0.009900990099009901,0.9202677288497416
overall,Static_basic,0.8892641586784193,-375.00218133723604,0.004499559992832657,0.0,
overall,Seq_basic,0.8884870943657455,-373.953265440369,0.0026631820418708575,0.009900990099009901,
overall,Linear_weber,0.8944545299687215,-342.8914469802455,4.790851132466341e-10,,
overall,Static_weber,0.8917446078735107,-342.07493189237476,3.1849944330344403e-10,0.0,
overall,Seq_weber,0.8905361567694571,-340.89805994131234,1.768292807529911e-10,0.009900990099009901,
overall,StaticGain_weber,0.8944545315604838,-340.89144698024467,1.762455637346538e-10,0.0,0.9761497788204399
overall,SeqGain_weber,0.8929244084295104,-339.5581072382625,9.048719962411309e-11,0.009900990099009901,0.9784061809349991
range:long,Linear_basic,0.9078899278858696,-170.84727454155467,0.4871553588466191,,
range:long,StaticGain_basic,0.9078899278858744,-168.84727454155623,0.17921444117630778,0.14707078096037016,1.2676204282551398
range:long,SeqGain_basic,0.9067546769776986,-168.23479433673853,0.13193943371627417,0.009900990099009901,1.088536424591085
range:long,Static_basic,0.9027702935764335,-168.1426751164412,0.12600018455312276,0.0,
range:long,Seq_basic,0.9007561127915131,-167.11747304562087,0.07546600849354183,0.009900990099009901,
range:long,Linear_weber,0.9096781136386218,-154.30842416069487,0.00012482505197464704,,
range:long,StaticGain_weber,0.9096781189309348,-152.30842416069657,4.5920570364668555e-05,0.5054290291707109,2.3077885308970676
range:long,SeqGain_weber,0.9084248694490199,-151.93548292347936,3.810869815693655e-05,0.009900990099009901,1.148942392525505
range:long,Static_weber,0.8884150275294067,-149.13616375793973,9.400688877104631e-06,0.0,
range:long,Seq_weber,0.8852787885915787,-148.3414680371242,6.3182047608620596e-06,0.009900990099009901,
range:medium,Linear_basic,0.9386738882440422,-162.5948610645117,0.5798765079190275,,
range:medium,StaticGain_basic,0.938673888244044,-160.59486106451283,0.21332464568182052,0.340388208925884,1.7746564240334946
range:medium,SeqGain_basic,0.9385564476383201,-160.49920173173751,0.2033615637754983,0.009900990099009901,1.1792014409856995
range:medium,Linear_weber,0.9377343642641492,-150.65680686286737,0.001482586299989341,,
range:medium,SeqGain_weber,0.9384631965212924,-148.8791160075325,0.0006095359402640177,0.01808625387853094,1.2821860097285982
range:medium,StaticGain_weber,0.937734363870049,-148.65680686286856,0.0005454130195288407,0.5458577980629847,2.7870226194622134
range:medium,Static_basic,0.9187402125566356,-148.52258326965244,0.0005100106179655123,0.0,
range:medium,Seq_basic,0.9168810456096258,-147.39150864983515,0.00028971400164303727,0.009900990099009901,
range:medium,Static_weber,0.8951093612612184,-127.49841840369385,1.387521827506128e-08,0.0,
range:medium,Seq_weber,0.892217256682376,-126.60334378539596,8.869044624498624e-09,0.009900990099009901,
range:short,SeqGain_weber,0.8564072341251453,-144.06767401904148,0.7023687715721214,0.12344585090043453,1.3028444275595155
range:short,Linear_weber,0.826267890926195,-141.68307092285087,0.21318429655175902,,
range:short,StaticGain_weber,0.8262678939692689,-139.68307092285025,0.07842611988196363,0.4507172031647889,2.176046284087678
range:short,SeqGain_basic,0.8669917220642275,-133.80363698615184,0.004147227610262867,0.22474485535979438,1.4553434264586473
range:short,Static_weber,0.8214116925226481,-130.71321688054894,0.0008844670776313894,0.0,
range:short,Seq_weber,0.822201378348243,-130.465499015517,0.000781430612979681,0.009900990099009901,
range:short,Linear_basic,0.8418538379155085,-127.14822121224464,0.00014878279002998097,,
range:short,StaticGain_basic,0.8418538379155107,-125.14822121224466,5.473412965215821e-05,0.5453263878379772,2.705272590620372
range:short,Seq_basic,0.8124162788674061,-118.61294238379656,2.0851651131724842e-06,0.009900990099009901,
range:short,Static_basic,0.8124142756003098,-118.61240842051112,2.0846084866730532e-06,0.0,
