group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.22999999999999998,0.001999999999999999,0.25,0.0,short
1,0.504,8.000000000000014e-05,0.48,0.0,short
2,0.44800000000000006,0.00932,0.39,0.0,short
3,0.384,0.013280000000000004,0.34,0.0,short
4,0.13,0.0017000000000000008,0.16,0.0,short
5,0.146,7.99999999999999e-05,0.16,0.0,short
6,0.11000000000000001,0.00019999999999999982,0.12,0.0,short
7,0.55,0.0036999999999999963,0.45,0.0,short
8,0.34199999999999997,0.0014200000000000018,0.34,0.0,short
9,0.362,0.0010700000000000013,0.38,0.0,short
0,0.496,0.0008300000000000002,0.49000000000000005,0.0,medium
1,0.736,0.014979999999999997,0.78,0.0,medium
2,0.626,0.0028799999999999993,0.67,0.0,medium
3,0.618,0.0067700000000000095,0.6,0.0,medium
4,0.4,0.011450000000000004,0.38,0.0,medium
5,0.396,0.013580000000000002,0.38,0.0,medium
6,0.346,0.024330000000000004,0.33,0.0,medium
7,0.7060000000000001,0.00968,0.73,0.0,medium
8,0.636,0.006480000000000003,0.6,0.0,medium
9,0.666,0.007029999999999997,0.65,0.0,medium
0,0.6799999999999999,0.007000000000000007,0.65,0.0,long
1,0.8300000000000001,0.0007499999999999981,0.8800000000000001,0.0,long
2,0.74,0.004250000000000002,0.79,0.0,long
3,0.75,0.0012500000000000022,0.74,0.0,long
4,0.6060000000000001,0.013680000000000003,0.56,0.0,long
5,0.636,0.010230000000000003,0.56,0.0,long
6,0.596,0.014330000000000004,0.52,0.0,long
7,0.826,0.0006299999999999979,0.85,0.0,long
8,0.734,0.0022800000000000034,0.74,0.0,long
9,0.774,0.0006300000000000005,0.78,0.0,long
