sample_id,target_duration,actual_duration,start_time,end_time,word_count,text
sample_001,62.47,62.0,211.76,273.76,158,"when they were asked . Um I guess Real Reaction did some market research . They had a hundred subjects and their usability lab and they watched them watch T_V_ and recorded the frequency that they used particular buttons and the relevance that those buttons had . What they found was they analysed people's desires and needs . Focusing on their desires , um people specifically said that they thought remotes were ugly seventy , five per cent of the a hundred subjects noted that and that they more importantly though , eighty per cent said that they would be willing to pay more for a fancier looking remote I . don't know anything Hmm beyond . what fancy means , but that's particularly of use to us I , think . Um also they did some questions on voice recognition and found that the desire for voice recognition was inversely related to age so , younger people"
sample_002,97.04,96.76,4281.53,4378.29,325,"last one , oh I don't have it here um , but we talked about energy , we're gonna use a kinetic battery um , we want to use a simple chip , because we're not gonna need a a shuffle um we're , gonna need a scroll um , we're choosing a latex case w in fruity colours that's curved and um we're using push buttons uh with a supplement of an on-screen menu . And it sounded like we had set um like eight or nine buttons , including five pre-set channels . Okay Let's ? do the look and feel design presentation first . Right , do you wanna start ? Right well , we made three different prototypes and I guess we'll start with with this one . Um we have our colours not are not fixed , but this is the general shape . Um it's you hold it sort of either like like this in your left hand or you switch it over and uh it's easily adaptable to either hand . You can push the buttons with your thumb like a mobile phone , or you can push them with your index finger of your other hand or , even I mean there's a whole variety you , can hold it like this and press it with your same index finger . Uh we have the on off button at the tip , very visible , very big . We have our up and down buttons , which are also gonna be our channel selectors , and we have our little menu button here . If you push if you're just pushing these normally they're , the menu buttons , if uh the volume buttons rather . If you press select once , they become channel changing buttons If . we press select three times , the menu with the other features and pro possibly also with your"
sample_003,83.92,77.99,2116.27,2194.26,238,"Did you um were you able to like put yours in the group folder Yes , I ? Okay just did that . . Hopefully it is there for people Yep . . Yeah ? Looks like there are um looks like there's a second one kind of of mine Yeah that's . that I didn't do , it's from like an earlier project I , think so Okay . um Where is that ? Yours is Under the shared folder , I don't know it might not Technical even be under yours So . as well in there we Projects . have technical . functions presentation working , design presentation and the functional requirements . At least that's I what I only have have in three . I , just have like our three Yeah . Yeah , that's . what I have as well , R Okay Rose So . You . don't have mine ? No , but that's 'cause I think yours is in the e-mail separate , like it's not on the server . S Yeah . Mm . But if I open it and then save it , probably will be there . Oh wait , never mind you can't save it to the Okay Well . I'll figure that out in the meantime . Okay . Okay . Okay . Mm-hmm . Mm yeah . Okay . I g yeah ."
sample_004,75.92,75.25,3421.76,3497.01,326,"? Like could we make a s like could we make a spongy remote ? It would be easier If on it's the hands latex . if it's latexy It's kind of Um and then it , mean A kind of we thing would have to that find a way to protect like the chip and all that , I dunno An But . uh I if th my understanding of a latex case is that it's in fact hard to protect stuff inside , but that Mm-hmm it's covered . with the latex which , is spongier and softer on your hands . It's there's something to be said I , mean we we got that thing earlier from you about um not wanting it to R_ R_ repetitive stress injuries Mm-hmm and Mm-hmm things . Yeah . . and and Yeah Yeah so , something , m , something m instead of grippable a necess , I mean yeah we don't , grip we don't I'm , thinking we don't wanna go grip spongy more than maybe , like sinking into your hands Yeah , you know , i and I Yeah . think . I'm envisioning more like Yeah . . , you know the , material that you have when you sit on like a bicycle , so Mm-hmm that it doesn't . hurt when Mm-hmm you're . sitting down for a long time like , I'm imagining that sort of thing I , don't know what th that Yeah material's I , think called that given . the list of materials I w I was forwarded it's that seems doable . could we go in fruit and vegetable colours ? We could colour-co-ordinate F for them sure or , maybe li , like um couple main ones being like I , dunno lemons , or strawberries or something The buttons . could be fruit-shaped Could they be smelly ? . Oh"
sample_005,49.36,48.62,6106.49,6155.11,211,"Yes . definitely I'm very sad that I didn't get any links to the corporate website . Oh here . you can Let's see you can , what view did I get through . the corporate website It's ? You can just just see what's inspiration up . about circuit boards . Wow . Yeah it's it's really deep Hold . on . Takes a little while to get excited to load . That the Excel thing is pretty cool Yes Yeah that , . Here . I is love , like pretty Excel neat . it's , basically , one of my favourite programs it's . like inspiration , basically I'm gonna give you two sentences on fashion and that kind of thing see , You . didn't miss I out see that much . , mm . Yeah my , inspiration from from last time Spongy is . the in interior of a remote control being taken apart bit by bit talking , about circuit boards . I learned a lot actually Mm . Oh wow . I could probably . take apart a remote control now if I really needed to . This one was cooler . I got a whole table and everything . Now I have"
sample_006,49.36,48.77,1677.52,1726.29,162,"very functional Mm-hmm so , that you . don't Yeah have . to travel around a lot . Yeah . What can Um you do . to like make the infra-red more functional like , why would it not be I'm ? just wondering . I think it's a lot to do with battery Okay , but that's . just my The battery and that I think that the chip takes the data and presents it well , without sort of scattering . Mm-hmm . So 's just the quality of the chip . Yeah . I think so Okay . . The quality uh quality of all the components really , I mean , we can't really do anything shoddy work , 'cause it's Yeah . gonna be visible down the line . So our target group we're , saying fifteen , to thirty five ? Well , I dunno how useful that number is if we're not doing S voice"
sample_007,43.49,43.01,2761.04,2804.05,119,"we include that we've included all of those and that we actually end up with a device that is going to be useful to people . We have a number of different choices for a design concept um and s that's that's something that that I'll show you some examples of um , but essentially we need to choose how how is this device going to work how , how what kind of model is there going to be for user interaction with this device . Uh once we've chosen a a concept for it , we can then design the features around the concept , making sure that we get all the essential functions in the device and"
sample_008,91.97,91.88,5083.09,5174.97,368,"go with the four as well . Mm 'kay . I really like that kinetic battery though . Next is , it easy to use ? Just so you know , easy to learn will be separate Mm so , don't 'kay . Okay . overlap them . I think it's really easy to use . I'll give it a two . Um I'll give it a one . Pretty hard to mess up . I'll say one . Uh let's say two . Alright . Um we next wanna see if it has a spongy quality and if indeed it's made of latex or rubber I it's spongy all the way . Give it a one Yeah . Yeah . . I wonder if it bounces when you drop it . Ooh Mm-hmm . , that you couldn't it'd be harder to break , harder to lose Mm Yeah . . . 'Cause there would be less impact maybe , . Iain what , do Mm you . give Yeah it ? I'd I'd give it a one . Alright and the next is does , it integrate some notion of fruits and vegetables Uh um . ? Well , is it gonna be yellow ? It it might be , 'cause that's our corporate colour , isn't it ? That's right , yeah corporate , Yeah colour . we , didn't keep that in We might um wanna keep it yellow . well if we I know it would make it a little less c a little more confusing , but if we had all the buttons in black and , a design in and the outside in yellow that'd , be our corporate one and we could also have alternative colours one , a more conservative one , one Yeah that's but , if more you had fruity like a silvery . kind of white or something Yeah . . Yeah , Um and If can we we had have a yellow like an R_R_ inscribed on the bottom or something Sure . Okay ? Oh Yeah . . , yeah . Alright so , Fruity So I think it it so , it's was"
sample_009,76.07,75.21,1539.44,1614.65,320,"? Everything we're talking about is ease of use and simple and that doesn't necessarily mean Mm-hmm . more technology , in That's fact a good it thing could to use keep in mind it could . mean not , . If they might be overwhelmed with with remotes that have too many buttons and too much technology . If someone's looking to buy a new remote , don't they want like an upgrade ? I dunno . Upgrade Well ? , we can look for we can look at upgrade or we can look at um user-friendly . Yeah , simplification Yeah Simplification Mm-hmm . They . could . have a crap so , remote that came with their T_V_ that's just impossible to use or , maybe it broke , or maybe Mm-hmm . they're just missing it . Uh-huh , mm . And we also need to talk about if we're only gonna have the very simple ones or also have the other ones just separate somehow or Hmm Can . you like Yeah I . mean this may be too complicated but , , I wish I had something to explain it , like if it was just a simple , either this way or this way , that had like the main buttons and then you could like pull something out , kind of and like you got the rest Ooh the buttons . but , the rest of them like went in The . Do you know what I'm saying remote ? There Kind are of remote pull out controls of the side like that . , yeah . Like some T_V_s they have a sort of uh a sliding screen on the remote control of it Mm that hides all . the complicated buttons Ooh . . So if you wanna do something complicated like programme your television or re-tune it then ,"
sample_010,82.48,79.95,519.84,599.79,216,"Right so I'm gonna talk about the technical technical functions design of the remote control um . We need to start by considering what a remote control actually is . It's a device that allows us to produce certain effects on our television so , i it's basically a communication device . We we tell the remote control what we want to do it , sends a message to the television saying change the channel change , the volume , uh yeah , adjust these settings adjust , the brightness . Um how do we actually go about designing a new television remote control ? First thing to do is to come up with the design specifications . We need to know what our final product is gonna be like , so we need a a clear idea of exactly what this product does uh , how it works and , what the end-user is gonna want from this product . Um . Oh a , way I'd suggest that we could go about this is by designing uh several different prototypes of user interfaces for this product um , and then uh trying to get some feedback uh about h how well these particular prototypes work , uh sorta find out what people think of"
sample_011,41.24,40.6,1949.83,1990.43,122,", yeah , hidden way . And we also want it to be fashionable which , I'm not sure if that's a function so much as a um yeah on your coffee table , it's not like an eye sore , that kind Mm-hmm of thing . Yeah . . Alright . Okay , do it . Any other essential functions that we need ? Battery Do ? we need Battery a long-life battery battery ? use . Yeah , but Yeah I think that . goes in with simplicity and ease of use really . But So we might you as well never . have to change the battery Yeah . . We should maybe investigate whether it needs a battery"
sample_012,98.19,97.45,1084.98,1182.43,221,"which , will then bring the data to the receiver . So hopefully that makes sense for everyone in my kind of garbled way . This Mm-hmm is the . the parts of the working design that need to be figured out . And personal preferences , besides the fact that I can't spell we , need a long-lasting energy source , people don't wanna be changing it a lot We . need a chip that works well with the user interface , that isn't too complicated . We need a straightforward interface , like Ian was saying , simple not , overwhelming it with information and we need a reliable and clear infra-red signal so , that you're not waving your remote around and Mm-hmm having to get frustrated . and go do it by hands . So that's pretty much it for the working design . Excellent . So um , . Rose do , you think you can give me a hand with this Yes ? absolutely , . Ah I can never tell which way to turn these things Yeah . . Lefty loosey , righty tighty , right Yeah . What's up ? Lefty Lefty ? loosey loosey . righty , tighty Uh . Never . heard that before , that's good Oh yes . ."
sample_013,89.95,89.5,6254.93,6344.43,301,"um creating your um prototypes here , did you work together or did you like do separate projects ? Uh we we worked together Yeah . um , but we were making like we sort of made different shapes and then discussed how the how the buttons might work Mm-hmm , um . Yeah . and how we could like improve on the on the design . So it was a bit of both really , we just kind of started out by each taking a colour of clay and just fooling around with it and I came up with that rhombus shape and he came Mm-hmm up with the . sort of potatoey , mangoey shape , and then just went from there really . Cool . It was fun . So well done with the management , I felt well managed . Oh thanks . I think we did well in It's kinda fun first . of all giving our meetings the time and , second we actually we we did a good job of making firm decisions at the ends of the meetings Mm . . Sorry And I That . happened to me all the time though . I know what happens sometimes is that you tend to sort of have meetings and then people sorta drift away without anything actually really being decided Mm-hmm . But . I think here we got we got clear and and decisive decisive points at the end of the meetings , so that we we knew where to go on from there . Yeah I , was quite worried at the end of the last meeting that we weren't getting we didn't really have enough information to make firm decisions Mm-hmm but , . we were able to do it"
sample_014,52.74,52.08,5437.09,5489.17,193,"? Just that it would se serve our audience . I don't see why not . Mm-hmm . I think as long if we offer in a in at least three different colour arrangements . Um Yeah . yeah Mm-hmm that's , good . . So I'll give it a a two Yeah , I'll say two . . Alright did , anyone have any other features that they think were important that we didn't talk about ? Well um we didn't we didn't address the fact that it does need to b have a corporate logo , so let's let's make sure we keep that in mind that we ha that one of our colours concepts is Shall corporate we uh and has an R_R_ on it Well I think all of them . All should of them have should an have R_R_ R_R_ , yeah . . And so we're gonna do that so , it will address Mm-hmm it Mm . fine , 'kay . . Okay . That's Lovely me . . Okay now , we're gonna look at finances . Um I have an Excel sheet that we're"
sample_015,50.91,50.42,4261.38,4311.8,152,"and then um I'll talk about the minutes from the last meeting , what we d discussed um then , we'll have the prototype presentation and a look at the evaluation criteria We'll . look at the finances and finally a do a production evaluation and close . So , starting off with the um last the last one , oh I don't have it here um , but we talked about energy , we're gonna use a kinetic battery um , we want to use a simple chip , because we're not gonna need a a shuffle um we're , gonna need a scroll um , we're choosing a latex case w in fruity colours that's curved and um we're using push buttons uh with a supplement of an on-screen menu . And it sounded like we had set um like eight or nine buttons , including five pre-set channels ."
sample_016,51.0,49.83,5863.66,5913.49,174,", like its heaviness , and like just being so conscious of like turning the pages , I dunno That . was a bit of a distraction Yeah . . That was the last one , like I chose not to do a PowerPoint 'cause I didn't think it made sense to so , I liked that I had the option to do that and just to take my own notes and Mm-hmm that whole sort of . thing . Yeah . I think we all made um very significant contributions , I don't think anybody dominated it , which I thought was really good like , each of us was able to um like each of you had your information and I uh I tried to facilitate it without like taking over um , Yeah . I like our little finished products . They're funny Really . cute . I kind of want one . Can we market this as the mango remote ? Should we have that somewhere on the packaging ?"
sample_017,58.25,57.87,5406.92,5464.79,170,"and fashion together real really well . I dunno I . don't think it's quite as fashionable as my robot remote I do like uh the little or Martian alien one or whatever he was Yeah . the , . toggle on off switch it's , really appealing . Number . Um two . Three . One . And does it meet our like demographic need sort of for international appeal , that whole thing ? Just that it would se serve our audience . I don't see why not . Mm-hmm . I think as long if we offer in a in at least three different colour arrangements . Um Yeah . yeah Mm-hmm that's , good . . So I'll give it a a two Yeah , I'll say two . . Alright did , anyone have any other features that they think were important that we didn't talk about ? Well um we didn't we didn't address the fact that it does need to b have a"
sample_018,71.49,70.73,1255.91,1326.64,245,"you have like you have uh numbers on your remote control Mm-hmm uh , . y and you type in the page number you want , so like you type a hundred on your remote control and this this kind of index appears on the television screen with just some some text and some very blocky looking graphics on it . And you just type numbers to go to different pages and it gives you information , mostly rather boring S stuff like what's on T_V_ next and share prices and that kind of thing . Lottery numbers and sport scores Yep . , news headlines But . if you ever see the T_V_ saying like go to page one sixty on Ceefax now that's , what they're talking about . How Oh ? It's . earl it's pretty old technology . It's like Okay nineteen . eighties That . explains a lot I . have no idea why we don't have it but , That's good . Interesting . Okay um well , we're , not gonna the management has decided we're not gonna work with that . Um Okay um and we're also gonna w like your question earlier um whether this is going to be t for television , video , or etcetera . Just for television . That's Right what we're focused . on Um . otherwise becomes to complex we , wanna get this out um very quickly We ."
sample_019,65.92,63.72,6005.77,6069.49,210,"the final results and Yeah , Real Reaction I . do like the . Martian remote If . we could choose more than one , that would be my second choice Oh , that . would definitely be my second choice . Mm . Although the tog toggle I'm afraid That's I cool would Let's . I all would break let's all it go for It's the cool yellow . I would break it I . think . I would break it It . Break started the stem because off . I wanted to have it as st as a stem and then alright , so Oh that's funny . Is it started as a pear , but then it started looking more and more like a Martian when I put Kind the of looks like a penguin , like with no eye Oh . Take yeah it's , me kind of a to penguin your . leader . I like that it stands up . Mm-mm . Wow maybe , I should market it to some remote control company now . So are are That was Oh bound to happen sad , . poor little thing . Mm 'kay congratulations , . Um . Anything else to say ?"
