group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.176,0.00098,0.25,0.0,short
1,0.314,0.00038000000000000067,0.48,0.0,short
2,0.256,0.004679999999999998,0.39,0.0,short
3,0.21000000000000002,0.0030499999999999985,0.34,0.0,short
4,0.08,0.0015999999999999999,0.16,0.0,short
5,0.11800000000000002,0.0006199999999999999,0.16,0.0,short
6,0.10600000000000001,0.00083,0.12,0.0,short
7,0.374,0.007179999999999999,0.45,0.0,short
8,0.258,0.001270000000000001,0.34,0.0,short
9,0.248,0.0008700000000000005,0.38,0.0,short
0,0.33999999999999997,0.003000000000000004,0.49000000000000005,0.0,medium
1,0.73,0.0070000000000000106,0.78,0.0,medium
2,0.49000000000000005,0.018000000000000002,0.67,0.0,medium
3,0.49000000000000005,0.006750000000000002,0.6,0.0,medium
4,0.26,0.001749999999999999,0.38,0.0,medium
5,0.32999999999999996,0.0032499999999999977,0.38,0.0,medium
6,0.16,0.0017499999999999998,0.33,0.0,medium
7,0.51,0.010500000000000002,0.73,0.0,medium
8,0.48,0.0007499999999999991,0.6,0.0,medium
9,0.4,0.0,0.65,0.0,medium
0,0.506,0.010630000000000006,0.65,0.0,long
1,0.85,0.001250000000000002,0.8800000000000001,0.0,long
2,0.8099999999999999,0.01565,0.79,0.0,long
3,0.624,0.006629999999999998,0.74,0.0,long
4,0.43599999999999994,0.01488000000000001,0.56,0.0,long
5,0.394,0.004430000000000001,0.56,0.0,long
6,0.292,0.002119999999999998,0.52,0.0,long
7,0.836,0.0008299999999999962,0.85,0.0,long
8,0.6,0.004700000000000003,0.74,0.0,long
9,0.674,0.003179999999999999,0.78,0.0,long
