group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.27599999999999997,0.005129999999999997,0.25,0.0,short
1,0.438,0.03757,0.48,0.0,short
2,0.258,0.0013699999999999997,0.39,0.0,short
3,0.32599999999999996,0.0011800000000000007,0.34,0.0,short
4,0.132,0.0006200000000000001,0.16,0.0,short
5,0.17400000000000002,0.0006799999999999998,0.16,0.0,short
6,0.18,0.00115,0.12,0.0,short
7,0.43200000000000005,0.008170000000000002,0.45,0.0,short
8,0.39,0.0028500000000000014,0.34,0.0,short
9,0.382,0.0007199999999999993,0.38,0.0,short
0,0.388,0.00012000000000000036,0.49000000000000005,0.0,medium
1,0.702,0.0001200000000000001,0.78,0.0,medium
2,0.642,0.0038199999999999953,0.67,0.0,medium
3,0.61,0.0014000000000000006,0.6,0.0,medium
4,0.366,0.0005300000000000007,0.38,0.0,medium
5,0.44800000000000006,0.0069199999999999965,0.38,0.0,medium
6,0.3,0.0005999999999999993,0.33,0.0,medium
7,0.626,0.002830000000000003,0.73,0.0,medium
8,0.542,0.001769999999999999,0.6,0.0,medium
9,0.538,0.0003200000000000004,0.65,0.0,medium
0,0.538,0.006470000000000003,0.65,0.0,long
1,0.746,0.0030300000000000058,0.8800000000000001,0.0,long
2,0.638,0.001969999999999999,0.79,0.0,long
3,0.6279999999999999,0.0020700000000000007,0.74,0.0,long
4,0.536,0.0036300000000000017,0.56,0.0,long
5,0.44000000000000006,0.0075999999999999965,0.56,0.0,long
6,0.36,0.00165,0.52,0.0,long
7,0.72,0.0007500000000000014,0.85,0.0,long
8,0.556,0.0007299999999999991,0.74,0.0,long
9,0.626,0.0014800000000000026,0.78,0.0,long
