correct,response,input_value,range_category,trial,stimulus_id
3.8243,4.45,3.8243,short,0,0
3.4004,6.35,3.4004,short,1,1
4.3732,7.35,4.3732,short,2,2
1.25,2.75,1.25,short,3,3
1.6771,3.25,1.6771,short,4,4
1.5,3.25,1.5,short,5,5
3.4004,5.35,3.4004,short,6,6
4.0078,5.25,4.0078,short,7,7
4.8023,8.25,4.8023,short,8,8
2.4622,5.25,2.4622,short,9,9
3.8243,4.45,3.8243,short,10,0
3.4004,6.25,3.4004,short,11,1
4.3732,7.75,4.3732,short,12,2
1.25,2.75,1.25,short,13,3
1.6771,3.25,1.6771,short,14,4
1.5,3.25,1.5,short,15,5
3.4004,5.75,3.4004,short,16,6
4.0078,5.25,4.0078,short,17,7
4.8023,7.5,4.8023,short,18,8
2.4622,5.25,2.4622,short,19,9
3.8243,4.45,3.8243,short,20,0
3.4004,6.25,3.4004,short,21,1
4.3732,7.25,4.3732,short,22,2
1.25,2.5,1.25,short,23,3
1.6771,3.25,1.6771,short,24,4
1.5,3.25,1.5,short,25,5
3.4004,5.75,3.4004,short,26,6
4.0078,5.25,4.0078,short,27,7
4.8023,8.5,4.8023,short,28,8
2.4622,5.75,2.4622,short,29,9
3.8243,4.45,3.8243,short,30,0
3.4004,6.25,3.4004,short,31,1
4.3732,7.25,4.3732,short,32,2
1.25,2.5,1.25,short,33,3
1.6771,3.25,1.6771,short,34,4
1.5,2.5,1.5,short,35,5
3.4004,5.25,3.4004,short,36,6
4.0078,5.25,4.0078,short,37,7
4.8023,7.5,4.8023,short,38,8
2.4622,5.0,2.4622,short,39,9
3.8243,4.45,3.8243,short,40,0
3.4004,6.25,3.4004,short,41,1
4.3732,7.5,4.3732,short,42,2
1.25,2.5,1.25,short,43,3
1.6771,3.25,1.6771,short,44,4
1.5,2.5,1.5,short,45,5
3.4004,5.25,3.4004,short,46,6
4.0078,5.0,4.0078,short,47,7
4.8023,7.5,4.8023,short,48,8
2.4622,5.0,2.4622,short,49,9
5.8149,7.36,5.8149,medium,0,0
5.3502,8.25,5.3502,medium,1,1
6.5192,9.25,6.5192,medium,2,2
3.1623,5.25,3.1623,medium,3,3
3.5089,5.75,3.5089,medium,4,4
3.5532,6.5,3.5532,medium,5,5
5.3502,9.0,5.3502,medium,6,6
5.8363,9.0,5.8363,medium,7,7
6.8648,8.0,6.8648,medium,8,8
4.423,7.0,4.423,medium,9,9
5.8149,7.25,5.8149,medium,10,0
5.3502,9.5,5.3502,medium,11,1
6.5192,10.5,6.5192,medium,12,2
3.1623,5.5,3.1623,medium,13,3
3.5089,6.5,3.5089,medium,14,4
3.5532,5.75,3.5532,medium,15,5
5.3502,13.5,5.3502,medium,16,6
5.8363,14.5,5.8363,medium,17,7
6.8648,13.5,6.8648,medium,18,8
4.423,10.5,4.423,medium,19,9
5.8149,7.5,5.8149,medium,20,0
5.3502,9.25,5.3502,medium,21,1
6.5192,8.75,6.5192,medium,22,2
3.1623,5.0,3.1623,medium,23,3
3.5089,5.0,3.5089,medium,24,4
3.5532,5.0,3.5532,medium,25,5
5.3502,7.5,5.3502,medium,26,6
5.8363,8.75,5.8363,medium,27,7
6.8648,9.0,6.8648,medium,28,8
4.423,7.5,4.423,medium,29,9
5.8149,7.25,5.8149,medium,30,0
5.3502,9.5,5.3502,medium,31,1
6.5192,8.75,6.5192,medium,32,2
3.1623,5.0,3.1623,medium,33,3
3.5089,5.0,3.5089,medium,34,4
3.5532,5.5,3.5532,medium,35,5
5.3502,8.75,5.3502,medium,36,6
5.8363,9.5,5.8363,medium,37,7
6.8648,9.0,6.8648,medium,38,8
4.423,6.5,4.423,medium,39,9
5.8149,7.5,5.8149,medium,40,0
5.3502,10.0,5.3502,medium,41,1
6.5192,10.63,6.5192,medium,42,2
3.1623,5.0,3.1623,medium,43,3
3.5089,6.5,3.5089,medium,44,4
3.5532,6.25,3.5532,medium,45,5
5.3502,10.0,5.3502,medium,46,6
5.8363,13.5,5.8363,medium,47,7
6.8648,12.5,6.8648,medium,48,8
4.423,8.5,4.423,medium,49,9
7.8302,6.0,7.8302,long,0,0
7.433,7.5,7.433,long,1,1
8.5147,8.75,8.5147,long,2,2
5.2202,6.25,5.2202,long,3,3
5.7009,7.5,5.7009,long,4,4
5.5509,6.0,5.5509,long,5,5
7.2887,9.0,7.2887,long,6,6
7.9451,9.0,7.9451,long,7,7
8.6783,9.0,8.6783,long,8,8
6.408,8.75,6.408,long,9,9
7.8302,6.25,7.8302,long,10,0
7.433,8.5,7.433,long,11,1
8.5147,8.75,8.5147,long,12,2
5.2202,6.25,5.2202,long,13,3
5.7009,8.75,5.7009,long,14,4
5.5509,6.5,5.5509,long,15,5
7.2887,10.0,7.2887,long,16,6
7.9451,12.5,7.9451,long,17,7
8.6783,10.0,8.6783,long,18,8
6.408,10.0,6.408,long,19,9
7.8302,6.25,7.8302,long,20,0
7.433,9.5,7.433,long,21,1
8.5147,9.5,8.5147,long,22,2
5.2202,7.5,5.2202,long,23,3
5.7009,8.75,5.7009,long,24,4
5.5509,6.5,5.5509,long,25,5
7.2887,12.5,7.2887,long,26,6
7.9451,13.75,7.9451,long,27,7
8.6783,12.5,8.6783,long,28,8
6.408,10.0,6.408,long,29,9
7.8302,7.25,7.8302,long,30,0
7.433,8.5,7.433,long,31,1
8.5147,9.75,8.5147,long,32,2
5.2202,6.75,5.2202,long,33,3
5.7009,8.5,5.7009,long,34,4
5.5509,6.5,5.5509,long,35,5
7.2887,11.0,7.2887,long,36,6
7.9451,12.0,7.9451,long,37,7
8.6783,11.0,8.6783,long,38,8
6.408,9.0,6.408,long,39,9
7.8302,6.25,7.8302,long,40,0
7.433,8.75,7.433,long,41,1
8.5147,9.75,8.5147,long,42,2
5.2202,6.5,5.2202,long,43,3
5.7009,7.5,5.7009,long,44,4
5.5509,6.0,5.5509,long,45,5
7.2887,10.0,7.2887,long,46,6
7.9451,12.5,7.9451,long,47,7
8.6783,10.0,8.6783,long,48,8
6.408,9.0,6.408,long,49,9
