correct,response,range_category,trial
2.5,1.0,short,0
4.8023,1.0,short,1
3.9051,1.0,short,2
3.4004,1.0,short,3
1.6008,1.6,short,4
1.6008,1.6,short,5
1.25,1.25,short,6
4.4721,5.1,short,7
3.4004,1.0,short,8
3.9051,3.9,short,9
2.5,1.0,short,10
4.8023,1.0,short,11
3.9051,3.2,short,12
3.4004,1.75,short,13
1.6008,1.25,short,14
1.6008,1.03,short,15
1.25,1.25,short,16
4.4721,5.1,short,17
3.4004,1.75,short,18
3.9051,3.2,short,19
2.5,1.0,short,20
4.8023,1.0,short,21
3.9051,1.0,short,22
3.4004,1.0,short,23
1.6008,1.0,short,24
1.6008,1.6,short,25
1.25,1.25,short,26
4.4721,5.1,short,27
3.4004,1.77,short,28
3.9051,4.3,short,29
2.5,1.0,short,30
4.8023,1.0,short,31
3.9051,1.0,short,32
3.4004,1.0,short,33
1.6008,1.6,short,34
1.6008,1.6,short,35
1.25,1.25,short,36
4.4721,7.28,short,37
3.4004,2.5,short,38
3.9051,5.22,short,39
2.5,1.0,short,40
4.8023,1.0,short,41
3.9051,1.0,short,42
3.4004,1.0,short,43
1.6008,1.25,short,44
1.6008,1.25,short,45
1.25,1.25,short,46
4.4721,2.23606797749979,short,47
3.4004,1.75,short,48
3.9051,4.031128874149275,short,49
4.4721,1.0,medium,0
6.8237,1.0,medium,1
5.9634,6.25,medium,2
5.3852,6.32,medium,3
3.6056,1.0,medium,4
3.6056,1.0,medium,5
3.25,3.2,medium,6
6.5,6.5,medium,7
5.3852,6.32,medium,8
5.831,6.08,medium,9
4.4721,1.0,medium,10
6.8237,1.0,medium,11
5.9634,5.59,medium,12
5.3852,5.83,medium,13
3.6056,5.0,medium,14
3.6056,3.61,medium,15
3.25,4.03,medium,16
6.5,5.59,medium,17
5.3852,5.83,medium,18
5.831,5.1,medium,19
4.4721,1.0,medium,20
6.8237,7.35,medium,21
5.9634,5.96,medium,22
5.3852,6.32,medium,23
3.6056,3.61,medium,24
3.6056,3.61,medium,25
3.25,3.75,medium,26
6.5,7.43,medium,27
5.3852,6.32,medium,28
5.831,6.08,medium,29
4.4721,1.0,medium,30
6.8237,1.0,medium,31
5.9634,6.103277807866853,medium,32
5.3852,9.22,medium,33
3.6056,3.61,medium,34
3.6056,3.60555,medium,35
3.25,3.75,medium,36
6.5,6.4,medium,37
5.3852,9.22,medium,38
5.831,9.06,medium,39
4.4721,1.0,medium,40
6.8237,1.0,medium,41
5.9634,1.0,medium,42
5.3852,1.0,medium,43
3.6056,5.0,medium,44
3.6056,3.61,medium,45
3.25,3.03,medium,46
6.5,2.69,medium,47
5.3852,2.83,medium,48
5.831,2.24,medium,49
6.5,1.0,long,0
8.8353,1.0,long,1
7.9412,1.0,long,2
7.433,1.0,long,3
5.6569,8.6,long,4
5.6569,8.6,long,5
5.2202,2.92,long,6
8.4595,1.6,long,7
7.433,0.71,long,8
7.8262,2.96,long,9
6.5,1.0,long,10
8.8353,1.0,long,11
7.9412,1.0,long,12
7.433,1.5,long,13
5.6569,7.28,long,14
5.6569,7.28,long,15
5.2202,3.54,long,16
8.4595,1.77,long,17
7.433,1.5,long,18
7.8262,2.5,long,19
6.5,1.0,long,20
8.8353,1.0,long,21
7.9412,1.0,long,22
7.433,7.43,long,23
5.6569,9.9,long,24
5.6569,9.9,long,25
5.2202,6.5,long,26
8.4595,7.3,long,27
7.433,7.43,long,28
7.8262,7.6,long,29
6.5,1.0,long,30
8.8353,1.0,long,31
7.9412,1.0,long,32
7.433,1.0,long,33
5.6569,1.0,long,34
5.6569,5.657,long,35
5.2202,5.315,long,36
8.4595,1.6008,long,37
7.433,0.5,long,38
7.8262,2.5495,long,39
6.5,1.0,long,40
8.8353,1.0,long,41
7.9412,2.25,long,42
7.433,0.5,long,43
5.6569,7.07,long,44
5.6569,7.07,long,45
5.2202,1.12,long,46
8.4595,1.25,long,47
7.433,0.5,long,48
7.8262,2.69,long,49
