llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.5176737200037447
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.2998682033388862
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.275441632954307
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,image,0.46793770017338543
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text,0.35739958163712887
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal steer,text_image,0.23911116564405321
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,image,0.32417475556452735
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text,0.2684442831623013
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical steer,text_image,0.2654688666901318
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.72961253599169
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.31125822677583903
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.6612826605031688
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.382728765948458
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.29019536769719534
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.5289071048945287
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.3297186346439191
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,1.4188782388400123
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,1.4135633226919586
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,1.3575715823388697
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,image,1.3097159601066592
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,text,1.1642968243963376
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal steer,text_image,1.3423645116267262
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,image,0.9321791661682437
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text,0.7619250123408824
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical steer,text_image,0.7899551832407568
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,image,1.2100741462005788
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,1.0464495657248805
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,image,1.4018849442531904
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text,1.3323103598750368
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,1.377437086113815
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,image,1.341194866309323
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,1.302757522502593
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,image,1.0219532642990397
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text,0.6565089687672147
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text_image,1.1962218862287008
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal steer,image,0.7706989576867221
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal steer,text,0.8288903075984484
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal steer,text_image,1.0320354244055212
