correct,response,input_value,range_category,trial,stimulus_id
0.24982,0.2,0.24982,short,0,0
0.48029,0.5,0.48029,short,1,1
0.3928,0.5,0.3928,short,2,2
0.33946,0.75,0.33946,short,3,3
0.16241,0.15,0.16241,short,4,4
0.1624,0.15,0.1624,short,5,5
0.12323,0.1,0.12323,short,6,6
0.44647,0.8,0.44647,short,7,7
0.34045,0.25,0.34045,short,8,8
0.38323,0.7,0.38323,short,9,9
0.10823,0.05,0.10823,short,10,10
0.48796,0.85,0.48796,short,11,11
0.43298,0.9,0.43298,short,12,12
0.18494,0.2,0.18494,short,13,13
0.17273,0.3,0.17273,short,14,14
0.17336,0.15,0.17336,short,15,15
0.2217,0.05,0.2217,short,16,16
0.3099,0.95,0.3099,short,17,17
0.27278,0.35,0.27278,short,18,18
0.21649,0.4,0.21649,short,19,19
0.34474,0.6,0.34474,short,20,20
0.1558,0.1,0.1558,short,21,21
0.21686,0.65,0.21686,short,22,22
0.24654,0.45,0.24654,short,23,23
0.28243,0.55,0.28243,short,24,24
0.24982,0.3,0.24982,short,25,0
0.48029,0.5,0.48029,short,26,1
0.3928,0.5,0.3928,short,27,2
0.33946,0.7,0.33946,short,28,3
0.16241,0.2,0.16241,short,29,4
0.1624,0.2,0.1624,short,30,5
0.12323,0.1,0.12323,short,31,6
0.44647,0.8,0.44647,short,32,7
0.34045,0.8,0.34045,short,33,8
0.38323,0.6,0.38323,short,34,9
0.10823,0.1,0.10823,short,35,10
0.48796,0.9,0.48796,short,36,11
0.43298,0.4,0.43298,short,37,12
0.18494,0.2,0.18494,short,38,13
0.17273,0.2,0.17273,short,39,14
0.17336,0.3,0.17336,short,40,15
0.2217,0.1,0.2217,short,41,16
0.3099,0.7,0.3099,short,42,17
0.27278,0.3,0.27278,short,43,18
0.21649,0.2,0.21649,short,44,19
0.34474,0.8,0.34474,short,45,20
0.1558,0.2,0.1558,short,46,21
0.21686,0.1,0.21686,short,47,22
0.24654,0.3,0.24654,short,48,23
0.28243,0.4,0.28243,short,49,24
0.24982,0.25,0.24982,short,50,0
0.48029,0.5,0.48029,short,51,1
0.3928,0.75,0.3928,short,52,2
0.33946,0.3,0.33946,short,53,3
0.16241,0.1,0.16241,short,54,4
0.1624,0.2,0.1624,short,55,5
0.12323,0.05,0.12323,short,56,6
0.44647,0.9,0.44647,short,57,7
0.34045,0.95,0.34045,short,58,8
0.38323,0.8,0.38323,short,59,9
0.10823,0.02,0.10823,short,60,10
0.48796,0.85,0.48796,short,61,11
0.43298,0.4,0.43298,short,62,12
0.18494,0.15,0.18494,short,63,13
0.17273,0.6,0.17273,short,64,14
0.17336,0.7,0.17336,short,65,15
0.2217,0.01,0.2217,short,66,16
0.3099,0.98,0.3099,short,67,17
0.27278,0.35,0.27278,short,68,18
0.21649,0.45,0.21649,short,69,19
0.34474,0.55,0.34474,short,70,20
0.1558,0.65,0.1558,short,71,21
0.21686,0.99,0.21686,short,72,22
0.24654,0.0,0.24654,short,73,23
0.28243,0.12,0.28243,short,74,24
0.48727,0.5,0.48727,medium,0,0
0.77536,0.75,0.77536,medium,1,1
0.666,0.65,0.666,medium,2,2
0.59933,0.7,0.59933,medium,3,3
0.37801,0.3,0.37801,medium,4,4
0.378,0.35,0.378,medium,5,5
0.32904,0.2,0.32904,medium,6,6
0.73309,0.8,0.73309,medium,7,7
0.60056,0.25,0.60056,medium,8,8
0.65404,0.85,0.65404,medium,9,9
0.31029,0.15,0.31029,medium,10,10
0.78495,0.9,0.78495,medium,11,11
0.71622,0.95,0.71622,medium,12,12
0.40617,0.4,0.40617,medium,13,13
0.39091,0.45,0.39091,medium,14,14
0.3917,0.55,0.3917,medium,15,15
0.45212,0.6,0.45212,medium,16,16
0.56238,0.1,0.56238,medium,17,17
0.51597,0.05,0.51597,medium,18,18
0.44561,0.99,0.44561,medium,19,19
0.60593,0.01,0.60593,medium,20,20
0.36975,0.33,0.36975,medium,21,21
0.44607,0.67,0.44607,medium,22,22
0.48318,0.42,0.48318,medium,23,23
0.52803,0.77,0.52803,medium,24,24
0.48727,0.5,0.48727,medium,25,0
0.77536,0.8,0.77536,medium,26,1
0.666,0.65,0.666,medium,27,2
0.59933,0.75,0.59933,medium,28,3
0.37801,0.3,0.37801,medium,29,4
0.378,0.4,0.378,medium,30,5
0.32904,0.35,0.32904,medium,31,6
0.73309,0.85,0.73309,medium,32,7
0.60056,0.7,0.60056,medium,33,8
0.65404,0.6,0.65404,medium,34,9
0.31029,0.2,0.31029,medium,35,10
0.78495,0.9,0.78495,medium,36,11
0.71622,0.8,0.71622,medium,37,12
0.40617,0.45,0.40617,medium,38,13
0.39091,0.55,0.39091,medium,39,14
0.3917,0.25,0.3917,medium,40,15
0.45212,0.15,0.45212,medium,41,16
0.56238,0.1,0.56238,medium,42,17
0.51597,0.95,0.51597,medium,43,18
0.44561,0.05,0.44561,medium,44,19
0.60593,0.92,0.60593,medium,45,20
0.36975,0.08,0.36975,medium,46,21
0.44607,0.22,0.44607,medium,47,22
0.48318,0.38,0.48318,medium,48,23
0.52803,0.78,0.52803,medium,49,24
0.48727,0.5,0.48727,medium,50,0
0.77536,0.85,0.77536,medium,51,1
0.666,0.7,0.666,medium,52,2
0.59933,0.65,0.59933,medium,53,3
0.37801,0.3,0.37801,medium,54,4
0.378,0.35,0.378,medium,55,5
0.32904,0.25,0.32904,medium,56,6
0.73309,0.75,0.73309,medium,57,7
0.60056,0.6,0.60056,medium,58,8
0.65404,0.55,0.65404,medium,59,9
0.31029,0.15,0.31029,medium,60,10
0.78495,0.8,0.78495,medium,61,11
0.71622,0.9,0.71622,medium,62,12
0.40617,0.45,0.40617,medium,63,13
0.39091,0.4,0.39091,medium,64,14
0.3917,0.2,0.3917,medium,65,15
0.45212,0.1,0.45212,medium,66,16
0.56238,0.95,0.56238,medium,67,17
0.51597,0.05,0.51597,medium,68,18
0.44561,0.22,0.44561,medium,69,19
0.60593,0.78,0.60593,medium,70,20
0.36975,0.32,0.36975,medium,71,21
0.44607,0.68,0.44607,medium,72,22
0.48318,0.42,0.48318,medium,73,23
0.52803,0.58,0.52803,medium,74,24
0.64982,0.52,0.64982,long,0,0
0.88029,0.88,0.88029,long,1,1
0.7928,0.78,0.7928,long,2,2
0.73946,0.72,0.73946,long,3,3
0.56241,0.65,0.56241,long,4,4
0.5624,0.58,0.5624,long,5,5
0.52323,0.69,0.52323,long,6,6
0.84647,0.85,0.84647,long,7,7
0.74045,0.82,0.74045,long,8,8
0.78323,0.75,0.78323,long,9,9
0.50823,0.67,0.50823,long,10,10
0.88796,0.9,0.88796,long,11,11
0.83298,0.8,0.83298,long,12,12
0.58494,0.7,0.58494,long,13,13
0.57273,0.62,0.57273,long,14,14
0.57336,0.6,0.57336,long,15,15
0.6217,0.68,0.6217,long,16,16
0.7099,0.73,0.7099,long,17,17
0.67278,0.63,0.67278,long,18,18
0.61649,0.76,0.61649,long,19,19
0.74474,0.84,0.74474,long,20,20
0.5558,0.74,0.5558,long,21,21
0.61686,0.77,0.61686,long,22,22
0.64654,0.83,0.64654,long,23,23
0.68243,0.81,0.68243,long,24,24
0.64982,0.55,0.64982,long,25,0
0.88029,0.9,0.88029,long,26,1
0.7928,0.85,0.7928,long,27,2
0.73946,0.7,0.73946,long,28,3
0.56241,0.65,0.56241,long,29,4
0.5624,0.6,0.5624,long,30,5
0.52323,0.75,0.52323,long,31,6
0.84647,0.95,0.84647,long,32,7
0.74045,0.8,0.74045,long,33,8
0.78323,0.9,0.78323,long,34,9
0.50823,0.8,0.50823,long,35,10
0.88796,0.95,0.88796,long,36,11
0.83298,0.85,0.83298,long,37,12
0.58494,0.65,0.58494,long,38,13
0.57273,0.75,0.57273,long,39,14
0.57336,0.7,0.57336,long,40,15
0.6217,0.8,0.6217,long,41,16
0.7099,0.85,0.7099,long,42,17
0.67278,0.75,0.67278,long,43,18
0.61649,0.9,0.61649,long,44,19
0.74474,0.8,0.74474,long,45,20
0.5558,0.7,0.5558,long,46,21
0.61686,0.85,0.61686,long,47,22
0.64654,0.75,0.64654,long,48,23
0.68243,0.9,0.68243,long,49,24
0.64982,0.5,0.64982,long,50,0
0.88029,0.9,0.88029,long,51,1
0.7928,0.75,0.7928,long,52,2
0.73946,0.65,0.73946,long,53,3
0.56241,0.6,0.56241,long,54,4
0.5624,0.55,0.5624,long,55,5
0.52323,0.8,0.52323,long,56,6
0.84647,0.85,0.84647,long,57,7
0.74045,0.7,0.74045,long,58,8
0.78323,0.95,0.78323,long,59,9
0.50823,0.87,0.50823,long,60,10
0.88796,0.92,0.88796,long,61,11
0.83298,0.88,0.83298,long,62,12
0.58494,0.82,0.58494,long,63,13
0.57273,0.78,0.57273,long,64,14
0.57336,0.72,0.57336,long,65,15
0.6217,0.68,0.6217,long,66,16
0.7099,0.84,0.7099,long,67,17
0.67278,0.76,0.67278,long,68,18
0.61649,0.83,0.61649,long,69,19
0.74474,0.86,0.74474,long,70,20
0.5558,0.79,0.5558,long,71,21
0.61686,0.81,0.61686,long,72,22
0.64654,0.77,0.64654,long,73,23
0.68243,0.89,0.68243,long,74,24
