correct,response,range_category,trial
2.8284,4.47,short,0
5.0,5.83,short,1
4.2426,4.47,short,2
3.6056,3.61,short,3
2.2361,2.24,short,4
2.2361,2.24,short,5
1.4142,1.41,short,6
5.0,5.83,short,7
3.6056,3.61,short,8
4.2426,4.47,short,9
2.8284,3.16,short,10
5.0,5.0,short,11
4.2426,4.0,short,12
3.6056,5.0,short,13
2.2361,3.0,short,14
2.2361,3.0,short,15
1.4142,2.0,short,16
5.0,5.0,short,17
3.6056,4.0,short,18
4.2426,4.0,short,19
2.8284,3.0,short,20
5.0,5.0,short,21
4.2426,5.83,short,22
3.6056,5.83,short,23
2.2361,2.24,short,24
2.2361,2.24,short,25
1.4142,1.41,short,26
5.0,6.4,short,27
3.6056,4.24,short,28
4.2426,5.83,short,29
2.8284,3.16,short,30
5.0,6.4,short,31
4.2426,5.83,short,32
3.6056,5.83,short,33
2.2361,2.83,short,34
2.2361,2.24,short,35
1.4142,1.41,short,36
5.0,5.83,short,37
3.6056,4.24,short,38
4.2426,4.47,short,39
2.8284,3.16,short,40
5.0,5.83,short,41
4.2426,4.47,short,42
3.6056,4.24,short,43
2.2361,3.16,short,44
2.2361,2.24,short,45
1.4142,1.41,short,46
5.0,5.09,short,47
3.6056,4.24,short,48
4.2426,3.61,short,49
5.0,5.83,medium,0
7.0711,6.4,medium,1
6.4031,6.71,medium,2
5.6569,5.83,medium,3
4.2426,3.6,medium,4
4.2426,3.16,medium,5
3.6056,3.61,medium,6
7.0711,6.4,medium,7
5.6569,5.83,medium,8
6.4031,6.71,medium,9
5.0,5.83,medium,10
7.0711,7.07,medium,11
6.4031,7.28,medium,12
5.6569,5.83,medium,13
4.2426,4.24,medium,14
4.2426,4.24,medium,15
3.6056,4.47,medium,16
7.0711,7.07,medium,17
5.6569,5.83,medium,18
6.4031,7.28,medium,19
5.0,5.83,medium,20
7.0711,7.07,medium,21
6.4031,12.04,medium,22
5.6569,6.71,medium,23
4.2426,3.61,medium,24
4.2426,3.61,medium,25
3.6056,3.61,medium,26
7.0711,6.4,medium,27
5.6569,4.24,medium,28
6.4031,6.71,medium,29
5.0,4.47,medium,30
7.0711,6.4,medium,31
6.4031,6.71,medium,32
5.6569,5.0,medium,33
4.2426,4.0,medium,34
4.2426,4.24,medium,35
3.6056,4.24,medium,36
7.0711,6.08,medium,37
5.6569,5.0,medium,38
6.4031,7.0,medium,39
5.0,5.83,medium,40
7.0711,6.08,medium,41
6.4031,7.0,medium,42
5.6569,4.24,medium,43
4.2426,5.83,medium,44
4.2426,5.09,medium,45
3.6056,5.83,medium,46
7.0711,7.21,medium,47
5.6569,5.83,medium,48
6.4031,7.62,medium,49
7.0711,8.06,long,0
9.2195,10.63,long,1
8.4853,8.49,long,2
7.8102,9.22,long,3
5.6569,5.83,long,4
5.6569,5.0,long,5
5.6569,5.83,long,6
8.4853,8.49,long,7
7.8102,9.22,long,8
8.4853,8.49,long,9
7.0711,8.06,long,10
9.2195,10.63,long,11
8.4853,7.81,long,12
7.8102,8.06,long,13
5.6569,5.83,long,14
5.6569,5.83,long,15
5.6569,5.83,long,16
8.4853,7.81,long,17
7.8102,8.06,long,18
8.4853,7.81,long,19
7.0711,6.4,long,20
9.2195,10.63,long,21
8.4853,9.22,long,22
7.8102,9.49,long,23
5.6569,5.83,long,24
5.6569,5.66,long,25
5.6569,5.83,long,26
8.4853,9.22,long,27
7.8102,9.49,long,28
8.4853,9.22,long,29
7.0711,7.62,long,30
9.2195,10.63,long,31
8.4853,9.22,long,32
7.8102,8.49,long,33
5.6569,5.83,long,34
5.6569,5.83,long,35
5.6569,5.83,long,36
8.4853,6.4,long,37
7.8102,8.49,long,38
8.4853,6.4,long,39
7.0711,6.4,long,40
9.2195,9.22,long,41
8.4853,6.4,long,42
7.8102,8.49,long,43
5.6569,8.49,long,44
5.6569,5.83,long,45
5.6569,5.0,long,46
8.4853,7.07,long,47
7.8102,8.49,long,48
8.4853,7.07,long,49
