correct,response,range_category,trial,stimulus_id
2.5,6.25,short,0,0
4.8023,4.5,short,1,1
3.9051,5.25,short,2,2
3.4004,3.75,short,3,3
1.6008,2.25,short,4,4
1.25,1.0,short,5,5
4.4721,5.5,short,6,6
1.118,1.0,short,7,7
4.8541,5.5,short,8,8
4.3661,5.5,short,9,9
4.4721,3.25,medium,0,0
6.8237,5.5,medium,1,1
5.9634,4.5,medium,2,2
5.3852,4.0,medium,3,3
3.6056,2.25,medium,4,4
3.25,2.0,medium,5,5
6.5,5.75,medium,6,6
5.831,4.25,medium,7,7
3.0923,1.75,medium,8,8
6.8966,5.25,medium,9,9
6.5,2.75,long,0,0
8.8459,3.75,long,1,1
7.9412,3.75,long,2,2
7.433,4.25,long,3,3
5.6569,3.5,long,4,4
5.2202,2.5,long,5,5
8.4595,4.0,long,6,6
7.8262,3.75,long,7,7
5.099,2.25,long,8,8
8.9022,5.0,long,9,9
