correct,response,range_category,trial
0.25,0.25,short,0
0.48,0.5,short,1
0.39,0.5,short,2
0.34,0.48,short,3
0.16,0.2,short,4
0.16,0.25,short,5
0.12,0.2,short,6
0.45,0.5,short,7
0.34,0.49,short,8
0.38,0.48,short,9
0.49,0.5,medium,0
0.78,0.25,medium,1
0.67,0.5,medium,2
0.6,0.5,medium,3
0.38,0.48,medium,4
0.38,0.5,medium,5
0.33,0.3,medium,6
0.73,0.4,medium,7
0.6,0.48,medium,8
0.65,0.49,medium,9
0.65,0.5,long,0
0.88,0.8,long,1
0.79,0.53,long,2
0.74,0.49,long,3
0.56,0.48,long,4
0.56,0.5,long,5
0.52,0.5,long,6
0.85,0.8,long,7
0.74,0.48,long,8
0.78,0.5,long,9
