correct,response,input_value,range_category,trial,stimulus_id
0.2498,0.37,0.2498,short,0,0
0.4803,0.53,0.4803,short,1,1
0.3928,0.45,0.3928,short,2,2
0.3395,0.41,0.3395,short,3,3
0.1624,0.22,0.1624,short,4,4
0.1624,0.28,0.1624,short,5,5
0.1232,0.29,0.1232,short,6,6
0.4465,0.36,0.4465,short,7,7
0.3404,0.44,0.3404,short,8,8
0.3832,0.36,0.3832,short,9,9
0.2498,0.35,0.2498,short,10,0
0.4803,0.45,0.4803,short,11,1
0.3928,0.4,0.3928,short,12,2
0.3395,0.33,0.3395,short,13,3
0.1624,0.2,0.1624,short,14,4
0.1624,0.25,0.1624,short,15,5
0.1232,0.28,0.1232,short,16,6
0.4465,0.35,0.4465,short,17,7
0.3404,0.45,0.3404,short,18,8
0.3832,0.33,0.3832,short,19,9
0.2498,0.25,0.2498,short,20,0
0.4803,0.4,0.4803,short,21,1
0.3928,0.35,0.3928,short,22,2
0.3395,0.4,0.3395,short,23,3
0.1624,0.2,0.1624,short,24,4
0.1624,0.25,0.1624,short,25,5
0.1232,0.2,0.1232,short,26,6
0.4465,0.3,0.4465,short,27,7
0.3404,0.35,0.3404,short,28,8
0.3832,0.3,0.3832,short,29,9
0.2498,0.35,0.2498,short,30,0
0.4803,0.55,0.4803,short,31,1
0.3928,0.45,0.3928,short,32,2
0.3395,0.5,0.3395,short,33,3
0.1624,0.25,0.1624,short,34,4
0.1624,0.3,0.1624,short,35,5
0.1232,0.25,0.1232,short,36,6
0.4465,0.4,0.4465,short,37,7
0.3404,0.55,0.3404,short,38,8
0.3832,0.45,0.3832,short,39,9
0.2498,0.3,0.2498,short,40,0
0.4803,0.5,0.4803,short,41,1
0.3928,0.4,0.3928,short,42,2
0.3395,0.4,0.3395,short,43,3
0.1624,0.2,0.1624,short,44,4
0.1624,0.3,0.1624,short,45,5
0.1232,0.2,0.1232,short,46,6
0.4465,0.3,0.4465,short,47,7
0.3404,0.4,0.3404,short,48,8
0.3832,0.3,0.3832,short,49,9
0.4873,0.35,0.4873,medium,0,0
0.7754,0.55,0.7754,medium,1,1
0.666,0.38,0.666,medium,2,2
0.5993,0.42,0.5993,medium,3,3
0.378,0.3,0.378,medium,4,4
0.378,0.45,0.378,medium,5,5
0.329,0.33,0.329,medium,6,6
0.7331,0.52,0.7331,medium,7,7
0.6006,0.61,0.6006,medium,8,8
0.654,0.47,0.654,medium,9,9
0.4873,0.38,0.4873,medium,10,0
0.7754,0.55,0.7754,medium,11,1
0.666,0.45,0.666,medium,12,2
0.5993,0.35,0.5993,medium,13,3
0.378,0.42,0.378,medium,14,4
0.378,0.52,0.378,medium,15,5
0.329,0.4,0.329,medium,16,6
0.7331,0.58,0.7331,medium,17,7
0.6006,0.62,0.6006,medium,18,8
0.654,0.48,0.654,medium,19,9
0.4873,0.4,0.4873,medium,20,0
0.7754,0.6,0.7754,medium,21,1
0.666,0.3,0.666,medium,22,2
0.5993,0.3,0.5993,medium,23,3
0.378,0.2,0.378,medium,24,4
0.378,0.3,0.378,medium,25,5
0.329,0.3,0.329,medium,26,6
0.7331,0.4,0.7331,medium,27,7
0.6006,0.5,0.6006,medium,28,8
0.654,0.3,0.654,medium,29,9
0.4873,0.35,0.4873,medium,30,0
0.7754,0.45,0.7754,medium,31,1
0.666,0.3,0.666,medium,32,2
0.5993,0.4,0.5993,medium,33,3
0.378,0.35,0.378,medium,34,4
0.378,0.45,0.378,medium,35,5
0.329,0.35,0.329,medium,36,6
0.7331,0.4,0.7331,medium,37,7
0.6006,0.5,0.6006,medium,38,8
0.654,0.35,0.654,medium,39,9
0.4873,0.35,0.4873,medium,40,0
0.7754,0.55,0.7754,medium,41,1
0.666,0.4,0.666,medium,42,2
0.5993,0.3,0.5993,medium,43,3
0.378,0.4,0.378,medium,44,4
0.378,0.45,0.378,medium,45,5
0.329,0.4,0.329,medium,46,6
0.7331,0.55,0.7331,medium,47,7
0.6006,0.6,0.6006,medium,48,8
0.654,0.45,0.654,medium,49,9
0.6498,0.35,0.6498,long,0,0
0.8803,0.45,0.8803,long,1,1
0.7928,0.4,0.7928,long,2,2
0.7395,0.35,0.7395,long,3,3
0.5624,0.45,0.5624,long,4,4
0.5624,0.55,0.5624,long,5,5
0.5232,0.4,0.5232,long,6,6
0.8465,0.5,0.8465,long,7,7
0.7404,0.45,0.7404,long,8,8
0.7832,0.55,0.7832,long,9,9
0.6498,0.3,0.6498,long,10,0
0.8803,0.4,0.8803,long,11,1
0.7928,0.3,0.7928,long,12,2
0.7395,0.4,0.7395,long,13,3
0.5624,0.3,0.5624,long,14,4
0.5624,0.4,0.5624,long,15,5
0.5232,0.3,0.5232,long,16,6
0.8465,0.3,0.8465,long,17,7
0.7404,0.3,0.7404,long,18,8
0.7832,0.4,0.7832,long,19,9
0.6498,0.35,0.6498,long,20,0
0.8803,0.45,0.8803,long,21,1
0.7928,0.55,0.7928,long,22,2
0.7395,0.45,0.7395,long,23,3
0.5624,0.5,0.5624,long,24,4
0.5624,0.4,0.5624,long,25,5
0.5232,0.45,0.5232,long,26,6
0.8465,0.55,0.8465,long,27,7
0.7404,0.4,0.7404,long,28,8
0.7832,0.55,0.7832,long,29,9
0.6498,0.35,0.6498,long,30,0
0.8803,0.45,0.8803,long,31,1
0.7928,0.32,0.7928,long,32,2
0.7395,0.38,0.7395,long,33,3
0.5624,0.42,0.5624,long,34,4
0.5624,0.35,0.5624,long,35,5
0.5232,0.41,0.5232,long,36,6
0.8465,0.39,0.8465,long,37,7
0.7404,0.47,0.7404,long,38,8
0.7832,0.39,0.7832,long,39,9
0.6498,0.35,0.6498,long,40,0
0.8803,0.45,0.8803,long,41,1
0.7928,0.55,0.7928,long,42,2
0.7395,0.4,0.7395,long,43,3
0.5624,0.55,0.5624,long,44,4
0.5624,0.45,0.5624,long,45,5
0.5232,0.5,0.5232,long,46,6
0.8465,0.45,0.8465,long,47,7
0.7404,0.5,0.7404,long,48,8
0.7832,0.65,0.7832,long,49,9
