group,response_mean,response_var,correct_mean,correct_var,range_category
0,2.898,0.00866999999999999,2.8284,0.0,short
1,5.0,0.0,5.0,0.0,short
2,4.1659999999999995,0.5796300000000001,4.2426,0.0,short
3,4.742,0.13142000000000018,3.6056,0.0,short
4,2.88,0.13279999999999995,2.2361,0.0,short
5,2.728,0.20271999999999993,2.2361,0.0,short
6,1.40884,2.7728000000000345e-05,1.4142,0.0,short
7,5.0,0.0,5.0,0.0,short
8,4.464,0.33852999999999983,3.6056,0.0,short
9,4.1659999999999995,0.5796300000000001,4.2426,0.0,short
0,5.0,0.0,5.0,0.0,medium
1,6.014,1.0359800000000001,7.0710999999999995,0.0,medium
2,6.828,0.21547,6.4031,0.0,medium
3,5.1659999999999995,0.13777999999999999,5.6569,0.0,medium
4,4.32,0.41200000000000014,4.2426,0.0,medium
5,4.32,0.41200000000000014,4.2426,0.0,medium
6,4.5200000000000005,0.4519999999999998,3.6056,0.0,medium
7,6.014,1.0359800000000001,7.0710999999999995,0.0,medium
8,5.1659999999999995,0.13777999999999999,5.6569,0.0,medium
9,6.694,0.2241799999999999,6.4031,0.0,medium
0,5.34,0.2280000000000001,7.0710999999999995,0.0,long
1,9.2,0.5750000000000002,9.2195,0.0,long
2,6.959999999999999,0.9080000000000001,8.4853,0.0,long
3,8.36,0.3480000000000004,7.8102,0.0,long
4,5.14,0.09800000000000006,5.6569,0.0,long
5,5.14,0.09800000000000006,5.6569,0.0,long
6,5.14,0.09800000000000006,5.6569,0.0,long
7,7.040000000000001,0.7479999999999999,8.4853,0.0,long
8,8.28,0.2520000000000002,7.8102,0.0,long
9,7.040000000000001,0.7479999999999999,8.4853,0.0,long
