range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-197.3403258133035,0.1389830552221705,0.11395768741788048,0.23545395333270577,-0.206786
long,EmpiricalLinear,2.0,-194.15818900382175,0.13785099961570382,0.12833302416416414,0.2361339014537788,-0.21022513292915068
long,Combo_NonOracle,0.0,-194.10180581871361,0.14355772523679822,0.054669023152292495,0.24414262895129574,-0.22237772699722835
long,Combo_Oracle,0.0,-192.06598441887624,0.14651025628384665,0.015384180404079295,0.20770553106230913,-0.1809171294820917
long,LLM(Combined),,,0.0,1.0,0.23988543475045102,-0.19578933333333332
medium,Combo_NonOracle,0.0,-206.2578816118979,0.1271257129779212,-0.323771818896456,0.1217037425655293,-0.060272617034068963
medium,Equal,0.0,-202.72393287568815,0.1316985962760761,-0.42072041172923824,0.14068146018576863,-0.06165
medium,EmpiricalLinear,2.0,-201.1011871556786,0.1286047062791939,-0.3547527827957593,0.13471691071986955,-0.061346184834750676
medium,Combo_Oracle,0.0,-200.5779566703567,0.13455535991650572,-0.48302452326967105,0.10713609337796243,-0.013471724399575556
medium,LLM(Combined),,,0.0,1.0,0.1678813310324912,-0.06811133340000002
short,Equal,0.0,-191.49412370195574,0.14735049108239245,-0.1827963735314424,0.20489748289219067,0.16150733333333334
short,EmpiricalLinear,2.0,-186.1016034640552,0.14941672949669552,-0.21620073463818423,0.19835536709116317,0.1582725685633894
short,Combo_NonOracle,0.0,-179.84204027755084,0.16556020021312964,-0.49320245396824136,0.18149584821994583,0.14684213421709164
short,Combo_Oracle,0.0,-174.83491657547447,0.17406105234374888,-0.6504790606022286,0.21941456831854525,0.19438885388166727
short,LLM(Combined),,,0.0,1.0,0.23449395416513408,0.15634400000000004
