group,response_mean,response_var,correct_mean,correct_var,range_category
0,3.48852,0.2676989520000002,2.8284,0.0,short
1,7.0,0.0,5.0,0.0,short
2,5.82822,1.2861533420000006,4.2426,0.0,short
3,4.6,0.7999999999999999,3.6056,0.0,short
4,2.2,0.20000000000000004,2.2361,0.0,short
5,2.248,0.18752000000000002,2.2361,0.0,short
6,1.41048,3.7532000000000006e-05,1.4142,0.0,short
7,7.0,0.0,5.0,0.0,short
8,4.6,0.7999999999999999,3.6056,0.0,short
9,6.2422200000000005,1.2859256420000003,4.2426,0.0,short
0,7.0,0.0,5.0,0.0,medium
1,9.0,0.0,7.0710999999999995,0.0,medium
2,9.0,0.0,6.4031,0.0,medium
3,7.0,0.0,5.6569,0.0,medium
4,5.0,0.0,4.2426,0.0,medium
5,5.0,0.0,4.2426,0.0,medium
6,5.0,0.0,3.6056,0.0,medium
7,9.0,0.0,7.0710999999999995,0.0,medium
8,7.0,0.0,5.6569,0.0,medium
9,9.0,0.0,6.4031,0.0,medium
0,9.0,0.0,7.0710999999999995,0.0,long
1,13.0,0.0,9.2195,0.0,long
2,11.0,0.0,8.4853,0.0,long
3,11.0,0.0,7.8102,0.0,long
4,7.0,0.0,5.6569,0.0,long
5,7.0,0.0,5.6569,0.0,long
6,7.0,0.0,5.6569,0.0,long
7,11.0,0.0,8.4853,0.0,long
8,11.0,0.0,7.8102,0.0,long
9,11.0,0.0,8.4853,0.0,long
