group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.202,0.002420000000000001,0.25,0.0,short
1,0.404,0.0022299999999999998,0.48,0.0,short
2,0.332,0.002519999999999999,0.39,0.0,short
3,0.266,0.00548,0.34,0.0,short
4,0.188,0.0031700000000000014,0.16,0.0,short
5,0.16599999999999998,0.0003299999999999999,0.16,0.0,short
6,0.10800000000000001,6.999999999999998e-05,0.12,0.0,short
7,0.378,0.005220000000000001,0.45,0.0,short
8,0.29000000000000004,0.00295,0.34,0.0,short
9,0.22999999999999998,0.0025000000000000014,0.38,0.0,short
0,0.458,0.001670000000000001,0.49000000000000005,0.0,medium
1,0.806,0.003130000000000004,0.78,0.0,medium
2,0.49000000000000005,0.01055,0.67,0.0,medium
3,0.502,0.004370000000000002,0.6,0.0,medium
4,0.27599999999999997,0.006979999999999998,0.38,0.0,medium
5,0.268,0.0006199999999999998,0.38,0.0,medium
6,0.278,0.003269999999999999,0.33,0.0,medium
7,0.654,0.08363,0.73,0.0,medium
8,0.55,0.013250000000000001,0.6,0.0,medium
9,0.5519999999999999,0.00832,0.65,0.0,medium
0,0.64,0.011749999999999995,0.65,0.0,long
1,0.922,0.000919999999999997,0.8800000000000001,0.0,long
2,0.784,0.008030000000000008,0.79,0.0,long
3,0.6900000000000001,0.026749999999999982,0.74,0.0,long
4,0.48,0.00825,0.56,0.0,long
5,0.45999999999999996,0.0029999999999999983,0.56,0.0,long
6,0.4800000000000001,0.0045000000000000005,0.52,0.0,long
7,0.8699999999999999,0.004499999999999996,0.85,0.0,long
8,0.772,0.0034200000000000038,0.74,0.0,long
9,0.77,0.002000000000000003,0.78,0.0,long
