llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse,sqrt_bias_squared,sqrt_variance,n_sqrt_bias_squared,n_sqrt_variance
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.1953018270825259,0.021616219805789278,0.3961656413710229,0.010640541246576268,0.19501174975819469
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.00529065878099436,0.0009542502083386732,0.010694804106501482,0.00047019420616418864,0.005269723687766024
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.0664049577381939,0.015234764800000042,0.13446158858705265,0.00747598065019985,0.06598278658505681
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,image,0.19030153441147732,0.040705374953333394,0.38547915578559644,0.01998412829983207,0.1892493292338404
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text,0.015160705512489792,0.003316501203333404,0.030586471963459257,0.001634301003584753,0.01507236052734011
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text_image,0.023034203179564543,0.008417190226666614,0.0459901796288816,0.004146872181823783,0.02265784559981547
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,image,0.18676125312755584,0.03446333333333341,0.37745902778388474,0.0169813234930928,0.1859876348637132
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text,0.0238412184999256,0.005621620263965638,0.04813812174978138,0.00276540925137411,0.02368029162053561
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text_image,0.015386482782005308,0.0010597071333332956,0.031266969162653355,0.0005211828752621206,0.015377653293382552
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.20947064513082628,0.09562220200000009,0.41479590478035716,0.04705477651271555,0.20411712122911924
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.0513076057363121,0.0095589737633334,0.10409888596106963,0.004691628634914283,0.0510926514006163
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.16461120348418715,0.04760433586666674,0.3307493605298518,0.023450631212644017,0.16293224422514116
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.00019616120474636004,2.4910883952743803e-05,0.0003990379675699951,1.2222032183047498e-05,0.0001957800811544932
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.017362292002541756,0.0008901944249505271,0.03520032467399536,0.0004389412783131006,0.01735674261305151
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.223183289017721,0.08424818268188919,0.4458281631241086,0.04144152184913043,0.21930203091534659
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.045422675037876184,0.014523906179456265,0.09135360365952123,0.007131977662579353,0.04485927219892193
