sample_id,animal_name,average_weight_kg,normalized_weight
sample_001,Seal,150.0,0.4284334725698184
sample_002,Large Dog,35.0,0.30399939863374537
sample_003,Sloth,6.0,0.15320407220930807
sample_004,Human,70.0,0.3632668240476797
sample_005,Leopard,60.0,0.3500861978034975
sample_006,Kangaroo,85.0,0.3798680992562874
sample_007,Small Dog,8.0,0.1778022762418027
sample_008,Small Dog,8.0,0.1778022762418027
sample_009,Jaguar,95.0,0.389378427247072
sample_010,Jaguar,95.0,0.389378427247072
sample_011,Rabbit,2.0,0.05926742541393424
sample_012,Cheetah,72.0,0.36567556983255034
sample_013,Penguin (Little Blue),1.2,0.015589372029052882
sample_014,Jaguar,95.0,0.389378427247072
sample_015,Gorilla,160.0,0.43395182724992637
sample_016,Penguin (Little Blue),1.2,0.015589372029052882
sample_017,Human,70.0,0.3632668240476797
sample_018,Tiger,220.0,0.4611811564403155
sample_019,Koala,12.0,0.2124714976232423
sample_020,Cheetah,72.0,0.36567556983255034
sample_021,Panda,100.0,0.3937642511883789
sample_022,Ostrich,120.0,0.4093536232174317
sample_023,Pig,150.0,0.4284334725698184
sample_024,Wolf,45.0,0.3254879937710028
sample_025,Large Dog,35.0,0.30399939863374537
sample_026,Rabbit,2.0,0.05926742541393424
sample_027,Goose,5.0,0.13761470018025518
sample_028,Human,70.0,0.3632668240476797
sample_029,Eagle,6.5,0.16004810957975277
sample_030,Goat,60.0,0.3500861978034975
sample_031,Chicken,2.5,0.07834727476632093
sample_032,Panda,100.0,0.3937642511883789
sample_033,Penguin (Emperor),30.0,0.2908187723895632
sample_034,Eagle,6.5,0.16004810957975277
sample_035,Deer,120.0,0.4093536232174317
sample_036,Penguin (Little Blue),1.2,0.015589372029052882
sample_037,Sheep,70.0,0.3632668240476797
sample_038,Pig,150.0,0.4284334725698184
sample_039,Goose,5.0,0.13761470018025518
sample_040,Sloth,6.0,0.15320407220930807
sample_041,Sea Lion,300.0,0.48770089798375266
sample_042,Penguin (Emperor),30.0,0.2908187723895632
sample_043,Chimpanzee,50.0,0.33449682577444456
sample_044,Chicken,2.5,0.07834727476632093
sample_045,Penguin (Little Blue),1.2,0.015589372029052882
sample_046,Cat,4.5,0.1286058681768134
sample_047,Chicken,2.5,0.07834727476632093
sample_048,Seal,150.0,0.4284334725698184
sample_049,Goat,60.0,0.3500861978034975
sample_050,Deer,120.0,0.4093536232174317
sample_051,Donkey,250.0,0.47211152595469974
sample_052,Turkey,7.0,0.16638469845349022
sample_053,Penguin (Emperor),30.0,0.2908187723895632
sample_054,Lion,190.0,0.44864585266100626
sample_055,Large Dog,35.0,0.30399939863374537
sample_056,Sloth,6.0,0.15320407220930807
sample_057,Penguin (Emperor),30.0,0.2908187723895632
sample_058,Kangaroo,85.0,0.3798680992562874
sample_059,Human,70.0,0.3632668240476797
sample_060,Wolf,45.0,0.3254879937710028
sample_061,Goat,60.0,0.3500861978034975
sample_062,Jaguar,95.0,0.389378427247072
sample_063,Deer,120.0,0.4093536232174317
sample_064,Panda,100.0,0.3937642511883789
sample_065,Seal,150.0,0.4284334725698184
sample_066,Large Dog,35.0,0.30399939863374537
sample_067,Falcon,1.2,0.015589372029052882
sample_068,Panda,100.0,0.3937642511883789
sample_069,Goose,5.0,0.13761470018025518
sample_070,Eagle,6.5,0.16004810957975277
sample_071,Jaguar,95.0,0.389378427247072
sample_072,Falcon,1.2,0.015589372029052882
sample_073,Sloth,6.0,0.15320407220930807
sample_074,Jaguar,95.0,0.389378427247072
sample_075,Small Dog,8.0,0.1778022762418027
sample_076,Chimpanzee,50.0,0.33449682577444456
sample_077,Sloth,6.0,0.15320407220930807
sample_078,Sea Lion,300.0,0.48770089798375266
sample_079,Sea Lion,300.0,0.48770089798375266
sample_080,Tiger,220.0,0.4611811564403155
sample_081,Duck,3.0,0.09393664679537382
sample_082,Pig,150.0,0.4284334725698184
sample_083,Goose,5.0,0.13761470018025518
sample_084,Eagle,6.5,0.16004810957975277
sample_085,Sloth,6.0,0.15320407220930807
sample_086,Koala,12.0,0.2124714976232423
sample_087,Donkey,250.0,0.47211152595469974
sample_088,Tiger,220.0,0.4611811564403155
sample_089,Kangaroo,85.0,0.3798680992562874
sample_090,Jaguar,95.0,0.389378427247072
sample_091,Sea Lion,300.0,0.48770089798375266
sample_092,Cheetah,72.0,0.36567556983255034
sample_093,Ostrich,120.0,0.4093536232174317
sample_094,Sea Lion,300.0,0.48770089798375266
sample_095,Falcon,1.2,0.015589372029052882
sample_096,Sea Lion,300.0,0.48770089798375266
sample_097,Penguin (Emperor),30.0,0.2908187723895632
sample_098,Rabbit,2.0,0.05926742541393424
sample_099,Falcon,1.2,0.015589372029052882
sample_100,Duck,3.0,0.09393664679537382
