sample_id,animal_name,average_weight_kg,normalized_weight
sample_001,Giraffe,1200.0,0.6062357488116211
sample_002,Seal,150.0,0.4284334725698184
sample_003,Cheetah,72.0,0.36567556983255034
sample_004,Sea Lion,300.0,0.48770089798375266
sample_005,Tiger,220.0,0.4611811564403155
sample_006,Moose,400.0,0.5122991020162473
sample_007,Panda,100.0,0.3937642511883789
sample_008,Panda,100.0,0.3937642511883789
sample_009,Polar Bear,450.0,0.5223701193651923
sample_010,Polar Bear,450.0,0.5223701193651923
sample_011,Chimpanzee,50.0,0.33449682577444456
sample_012,Grizzly Bear,360.0,0.5032902700128056
sample_013,Wolf,45.0,0.3254879937710028
sample_014,Polar Bear,450.0,0.5223701193651923
sample_015,Whale (Beluga),1400.0,0.6194163750558033
sample_016,Wolf,45.0,0.3254879937710028
sample_017,Sea Lion,300.0,0.48770089798375266
sample_018,Elephant (Asian),4000.0,0.7091812276104367
sample_019,Deer,120.0,0.4093536232174317
sample_020,Grizzly Bear,360.0,0.5032902700128056
sample_021,Horse,500.0,0.531378951368634
sample_022,Cow,700.0,0.560148949641869
sample_023,Bison,900.0,0.5816375447791264
sample_024,Gorilla,160.0,0.43395182724992637
sample_025,Seal,150.0,0.4284334725698184
sample_026,Chimpanzee,50.0,0.33449682577444456
sample_027,Human,70.0,0.3632668240476797
sample_028,Sea Lion,300.0,0.48770089798375266
sample_029,Kangaroo,85.0,0.3798680992562874
sample_030,Dolphin,200.0,0.453031676602313
sample_031,Goat,60.0,0.3500861978034975
sample_032,Horse,500.0,0.531378951368634
sample_033,Pig,150.0,0.4284334725698184
sample_034,Kangaroo,85.0,0.3798680992562874
sample_035,Camel,600.0,0.5469683233976869
sample_036,Wolf,45.0,0.3254879937710028
sample_037,Donkey,250.0,0.47211152595469974
sample_038,Bison,900.0,0.5816375447791264
sample_039,Human,70.0,0.3632668240476797
sample_040,Cheetah,72.0,0.36567556983255034
sample_041,Elephant (African),6000.0,0.7438504489918762
sample_042,Pig,150.0,0.4284334725698184
sample_043,Lion,190.0,0.44864585266100626
sample_044,Goat,60.0,0.3500861978034975
sample_045,Wolf,45.0,0.3254879937710028
sample_046,Sheep,70.0,0.3632668240476797
sample_047,Goat,60.0,0.3500861978034975
sample_048,Giraffe,1200.0,0.6062357488116211
sample_049,Dolphin,200.0,0.453031676602313
sample_050,Camel,600.0,0.5469683233976869
sample_051,Whale (Orca),5600.0,0.7379512258836719
sample_052,Jaguar,95.0,0.389378427247072
sample_053,Pig,150.0,0.4284334725698184
sample_054,Hippopotamus,1500.0,0.6253155981640078
sample_055,Seal,150.0,0.4284334725698184
sample_056,Cheetah,72.0,0.36567556983255034
sample_057,Pig,150.0,0.4284334725698184
sample_058,Moose,400.0,0.5122991020162473
sample_059,Sea Lion,300.0,0.48770089798375266
sample_060,Gorilla,160.0,0.43395182724992637
sample_061,Dolphin,200.0,0.453031676602313
sample_062,Polar Bear,450.0,0.5223701193651923
sample_063,Camel,600.0,0.5469683233976869
sample_064,Horse,500.0,0.531378951368634
sample_065,Giraffe,1200.0,0.6062357488116211
sample_066,Seal,150.0,0.4284334725698184
sample_067,Large Dog,35.0,0.30399939863374537
sample_068,Horse,500.0,0.531378951368634
sample_069,Human,70.0,0.3632668240476797
sample_070,Kangaroo,85.0,0.3798680992562874
sample_071,Polar Bear,450.0,0.5223701193651923
sample_072,Large Dog,35.0,0.30399939863374537
sample_073,Cheetah,72.0,0.36567556983255034
sample_074,Polar Bear,450.0,0.5223701193651923
sample_075,Panda,100.0,0.3937642511883789
sample_076,Lion,190.0,0.44864585266100626
sample_077,Cheetah,72.0,0.36567556983255034
sample_078,Elephant (African),6000.0,0.7438504489918762
sample_079,Elephant (African),6000.0,0.7438504489918762
sample_080,Elephant (Asian),4000.0,0.7091812276104367
sample_081,Leopard,60.0,0.3500861978034975
sample_082,Bison,900.0,0.5816375447791264
sample_083,Human,70.0,0.3632668240476797
sample_084,Kangaroo,85.0,0.3798680992562874
sample_085,Cheetah,72.0,0.36567556983255034
sample_086,Deer,120.0,0.4093536232174317
sample_087,Whale (Orca),5600.0,0.7379512258836719
sample_088,Elephant (Asian),4000.0,0.7091812276104367
sample_089,Moose,400.0,0.5122991020162473
sample_090,Polar Bear,450.0,0.5223701193651923
sample_091,Elephant (African),6000.0,0.7438504489918762
sample_092,Grizzly Bear,360.0,0.5032902700128056
sample_093,Cow,700.0,0.560148949641869
sample_094,Elephant (African),6000.0,0.7438504489918762
sample_095,Large Dog,35.0,0.30399939863374537
sample_096,Elephant (African),6000.0,0.7438504489918762
sample_097,Pig,150.0,0.4284334725698184
sample_098,Chimpanzee,50.0,0.33449682577444456
sample_099,Large Dog,35.0,0.30399939863374537
sample_100,Leopard,60.0,0.3500861978034975
