range_category,stimulus_id,exp_id,llm_model,mean_input_value,mean_correct,mean_response,var_response,var_correct,squared_bias
long,0,base_1_image,GPT-5 Mini,0.6498,0.6498,0.694,0.00338,0.0,0.0019536399999999917
long,0,base_1_image,anthropic_claude-3.7-sonnet,0.6498,0.6498,0.77,0.002000000000000003,0.0,0.014448039999999994
long,0,base_1_image,gemma-3-4b-it,0.6498,0.6498,0.314,0.0012800000000000012,0.0,0.11276164000000002
long,0,base_1_image,google_gemini-2.5-flash-lite,0.6498,0.6498,0.562,0.0038200000000000035,0.0,0.007708839999999998
long,0,base_1_image,meta-llama_llama-4-maverick,0.6498,0.6498,0.5,0.0,0.0,0.022440040000000012
long,0,base_1_image,microsoft_phi-4-multimodal-instruct,0.6498,0.6498,0.24,0.0004999999999999999,0.0,0.16793604000000004
long,0,base_1_image,mistralai_mistral-small-3.2-24b-instruct,0.6498,0.6498,0.71,0.0005000000000000009,0.0,0.0036240399999999903
long,0,base_1_image,openai_gpt-4o-2024-08-06,0.6498,0.6498,0.54,0.002999999999999998,0.0,0.012056040000000002
long,0,base_1_image,qwen_qwen2.5-vl-32b-instruct,0.6498,0.6498,0.5549999999999999,0.005750000000000001,0.0,0.00898704000000002
long,0,base_1_text,GPT-5 Mini,0.6498,0.6498,0.575,0.0,0.0,0.005595040000000013
long,0,base_1_text,anthropic_claude-3.7-sonnet,0.6498,0.6498,0.584,0.0014299999999999988,0.0,0.0043296400000000105
long,0,base_1_text,gemma-3-4b-it,0.6498,0.6498,0.35,0.0019999999999999983,0.0,0.08988004000000004
long,0,base_1_text,google_gemini-2.5-flash-lite,0.6498,0.6498,0.5940000000000001,0.0038799999999999998,0.0,0.0031136399999999956
long,0,base_1_text,meta-llama_llama-4-maverick,0.6498,0.6498,,,0.0,
long,0,base_1_text,microsoft_phi-4-multimodal-instruct,0.6498,0.6498,0.35014285714285714,0.0014143877551020421,0.0,0.08979440326530615
long,0,base_1_text,mistralai_mistral-small-3.2-24b-instruct,0.6498,0.6498,0.55132,0.0038107120000000026,0.0,0.009698310400000002
long,0,base_1_text,openai_gpt-4o-2024-08-06,0.6498,0.6498,0.7,0.03374999999999999,0.0,0.002520039999999991
long,0,base_1_text,qwen_qwen2.5-vl-32b-instruct,0.6498,0.6498,0.6027621052631579,0.008812056653739613,0.0,0.002212563541274244
long,0,base_1_text_image,GPT-5 Mini,0.6498,0.6498,0.648,0.007057500000000011,0.0,3.240000000000086e-06
long,0,base_1_text_image,anthropic_claude-3.7-sonnet,0.6498,0.6498,0.702,0.00046999999999999896,0.0,0.002724839999999991
long,0,base_1_text_image,gemma-3-4b-it,0.6498,0.6498,0.354,0.0028799999999999993,0.0,0.08749764000000004
long,0,base_1_text_image,google_gemini-2.5-flash-lite,0.6498,0.6498,0.49800000000000005,0.00032000000000000057,0.0,0.023043239999999996
long,0,base_1_text_image,meta-llama_llama-4-maverick,0.6498,0.6498,0.6,0.0005333333333333343,0.0,0.0024800400000000067
long,0,base_1_text_image,microsoft_phi-4-multimodal-instruct,0.6498,0.6498,0.25,0.0,0.0,0.15984004000000004
