llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse,sqrt_bias_squared,sqrt_variance,n_sqrt_bias_squared,n_sqrt_variance
GPT-5 Mini,GPT 5 Mini,base,Base,image,0.4662360274087664,0.07007666666666666,0.06874518011387336,0.3328254058125035,0.32650158115949507
GPT-5 Mini,GPT 5 Mini,base,Base,text,0.14828875612364972,0.01327034471468167,0.028294498815206882,0.06296716220923577,0.13425606755754113
GPT-5 Mini,GPT 5 Mini,base,Base,text_image,0.20231189250648385,0.0007740000000000035,0.04264832224914208,0.0036710382810646418,0.20227858346224903
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,image,0.46327533393965686,0.06801,0.06988733003914228,0.3230954563335055,0.3320140977933684
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text,0.11780312284336213,0.016048967700666668,0.018972601858552384,0.07608082839046319,0.08994044308913068
GPT-5 Mini,GPT 5 Mini,base_1,Verbal Cue,text_image,0.3039384936226506,0.022560406666666668,0.05989316741667024,0.10713811260913575,0.28442931060662185
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,image,0.3306165103749363,0.03961,0.057243516954615326,0.18812559088950098,0.27187504296087295
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text,0.1412291108587867,0.016395266666666672,0.024781176719348017,0.07792631249209224,0.11778434350688659
GPT-5 Mini,GPT 5 Mini,base_2,Numerical Cue,text_image,0.30666175371063864,0.019695333333333332,0.06154887958543374,0.09346173257210073,0.2920724836979778
GPT-5 Mini,GPT 5 Mini,base_3,Noise,image,0.33687002194443944,0.012143333333333336,0.07006610061617212,0.05752622439401615,0.3319218962223137
GPT-5 Mini,GPT 5 Mini,base_3,Noise,text_image,0.17099006898701283,0.014651200000000007,0.032972807886095086,0.06943226324904163,0.15625864620013574
GPT-5 Mini,GPT 5 Mini,base_4,Short context,image,0.34417334690363416,0.04347666666666667,0.05797498128982497,0.20649011882283613,0.2753490939650615
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text,0.13384398428324798,0.014010103688749309,0.02443391424061117,0.06657661430237478,0.11611100962805876
GPT-5 Mini,GPT 5 Mini,base_4,Short context,text_image,0.13510919300628246,0.01405867571918939,0.024782470277716382,0.06666535410867823,0.11751691195897478
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,image,0.39313637511100485,0.0029433333333333334,0.08272284522562205,0.01397920531477147,0.3928877591045414
GPT-5 Mini,GPT 5 Mini,base_5,Gradual noise,text_image,0.3314544602869313,0.002886477462666675,0.06982085882348889,0.013691027528908066,0.3311715794105882
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,image,0.49174245624993146,0.02732333333333333,0.0998664163882044,0.1297707202323689,0.47431023966291086
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text,0.1466758373111959,0.014968463868200003,0.027055298685655822,0.07100629414205632,0.12834292907344833
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text_image,0.2856492840965659,0.010108881538461536,0.05930423378099956,0.047998874920551056,0.28158767997063
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.48084799429706754,0.068795,0.07411016894911701,0.32713842363413626,0.3524134580314507
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.1239533303463017,0.014643536221389702,0.02158036132293996,0.06959905829734991,0.10256899720705805
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.32659809005478696,0.019000479292666666,0.06605346771088569,0.0902858372735405,0.3138706421684744
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.2615198730349455,0.022809999999999993,0.05011649329312656,0.10833488331707944,0.23802562267304087
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.11665337071096844,0.015303686037260162,0.019292771783091283,0.0724951218262433,0.09139182791491132
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.21774780240250174,0.015553866666666671,0.043224764256718506,0.0737258422721815,0.20488681175804446
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.3539596464064327,0.037143333333333334,0.0646109262345688,0.176410288587201,0.3068661619741534
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.3165875537384005,0.010676666666666664,0.06586112501991512,0.0506602817265299,0.31250794395895487
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.35959141671271677,0.04767666666666667,0.05894925322305241,0.22612773701148725,0.27959297832299435
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,image,0.4900784452284683,0.07894333333333334,0.0664059419195468,0.37503649915926146,0.3154750493714488
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text,0.27036779762989116,0.011343333333333332,0.05589365905200896,0.053773564306775004,0.26496631819343175
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text_image,0.3178435519584126,0.03654333333333333,0.05607242746860726,0.17354225123807684,0.26628482975333073
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,image,0.3294125989678276,0.02501,0.06469192814151288,0.11878366645156324,0.3072508762283072
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text,0.23781980880374431,0.007323333333333335,0.049497149300630316,0.03480762914197322,0.23525877329647957
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text_image,0.2730653726546242,0.01447666666666666,0.05569271456443432,0.0686972048472791,0.26428278753861323
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.7693640061722073,0.11507666666666666,0.11460058081101605,0.5451490103636066,0.5428936640751377
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.3579923604655683,0.03354333333333333,0.06768577242588643,0.15896237511264275,0.3207639216780105
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.6073698752191682,0.10247666666666667,0.07650097029159535,0.4867074847021737,0.36333729461566616
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.5284146178846106,0.06907666666666666,0.08713935078686066,0.328255286051414,0.41408993657591264
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.329260710870508,0.05067666666666667,0.04746810636861577,0.24030555906268375,0.22509076837250183
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.5555408680437086,0.02477666666666667,0.11431536403981554,0.11767546217972406,0.5429347489961805
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.35654058127741556,0.04300999999999999,0.061648835349907456,0.20400335759917043,0.2924103558116613
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,image,0.4107360635651481,0.04512333333333333,0.07377545067447723,0.2143108746841012,0.3503925839756441
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text,0.6207148172822909,0.10072333333333333,0.08352506084337137,0.4778039147242901,0.39622001901460135
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text_image,0.5918119791582354,0.08552333333333333,0.09066847185702916,0.40608090656090545,0.4305109940545778
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,image,0.3724705703730674,0.034028333333333334,0.07055037229211165,0.16181372665983865,0.33548568323923034
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text,0.28194146860296193,0.001971666666666668,0.05928728107463035,0.009371106896695474,0.28178568819854155
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,0.3186394736145743,0.03492833333333333,0.05724212345137295,0.16597127740806183,0.2720011934181708
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,image,0.5962617165947444,0.09317666666666667,0.08413830551868486,0.44253762872458313,0.3996104125762169
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text,0.3992343554716403,0.040409999999999995,0.07395839528635903,0.19142629206231213,0.3503484626712817
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text_image,0.3578692211906266,0.04474333333333333,0.060812661419221634,0.21208487939108214,0.28825402583356186
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,1.2797044112830402,0.16045666666666672,0.21645576250638887,0.7620804147646144,1.0280451457448094
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,1.21320254784791,0.007971037037037049,0.2555584506064245,0.037822196248726306,1.2126128415844781
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,1.0871014660441864,0.005323333333333344,0.2291421399966017,0.02524826931464349,1.0868082270446957
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,image,1.3739671259116062,0.1288144444448889,0.2589424139731976,0.6119594428799937,1.2301590561207143
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text,1.1216306213047944,0.066322,0.227118369263124,0.3144023213594416,1.076664493225431
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text_image,1.068859229179874,0.02494333333333334,0.22368660171965796,0.11845449840504693,1.0622751920338735
