correct,response,input_value,range_category,trial,stimulus_id
3.8243,,3.8243,short,0,0
3.4004,3.0,3.4004,short,1,1
4.3732,4.5,4.3732,short,2,2
1.25,0.75,1.25,short,3,3
1.6771,1.5,1.6771,short,4,4
1.5,1.5,1.5,short,5,5
3.4004,3.5,3.4004,short,6,6
4.0078,4.0,4.0078,short,7,7
4.8023,4.0,4.8023,short,8,8
2.4622,3.0,2.4622,short,9,9
3.8243,,3.8243,short,10,0
3.4004,2.236,3.4004,short,11,1
4.3732,3.354,4.3732,short,12,2
1.25,1.118,1.25,short,13,3
1.6771,1.414,1.6771,short,14,4
1.5,1.118,1.5,short,15,5
3.4004,2.739,3.4004,short,16,6
4.0078,3.606,4.0078,short,17,7
4.8023,3.873,4.8023,short,18,8
2.4622,3.536,2.4622,short,19,9
3.8243,,3.8243,short,20,0
3.4004,3.06,3.4004,short,21,1
4.3732,3.61,4.3732,short,22,2
1.25,0.79,1.25,short,23,3
1.6771,1.37,1.6771,short,24,4
1.5,1.25,1.5,short,25,5
3.4004,2.83,3.4004,short,26,6
4.0078,3.81,4.0078,short,27,7
4.8023,3.81,4.8023,short,28,8
2.4622,2.12,2.4622,short,29,9
3.8243,,3.8243,short,30,0
3.4004,2.5,3.4004,short,31,1
4.3732,3.16,4.3732,short,32,2
1.25,0.79,1.25,short,33,3
1.6771,1.56,1.6771,short,34,4
1.5,1.25,1.5,short,35,5
3.4004,3.16,3.4004,short,36,6
4.0078,3.61,4.0078,short,37,7
4.8023,4.5,4.8023,short,38,8
2.4622,1.41,2.4622,short,39,9
3.8243,,3.8243,short,40,0
3.4004,2.236,3.4004,short,41,1
4.3732,3.162,4.3732,short,42,2
1.25,0.866,1.25,short,43,3
1.6771,1.581,1.6771,short,44,4
1.5,1.25,1.5,short,45,5
3.4004,2.121,3.4004,short,46,6
4.0078,3.742,4.0078,short,47,7
4.8023,3.162,4.8023,short,48,8
2.4622,1.581,2.4622,short,49,9
5.8149,,5.8149,medium,0,0
5.3502,4.0625,5.3502,medium,1,1
6.5192,6.4375,6.5192,medium,2,2
3.1623,3.0625,3.1623,medium,3,3
3.5089,3.5,3.5089,medium,4,4
3.5532,2.5,3.5532,medium,5,5
5.3502,3.75,5.3502,medium,6,6
5.8363,6.0625,5.8363,medium,7,7
6.8648,6.0,6.8648,medium,8,8
4.423,3.5,4.423,medium,9,9
5.8149,,5.8149,medium,10,0
5.3502,4.242640687119285,5.3502,medium,11,1
6.5192,6.4031242374328485,6.5192,medium,12,2
3.1623,3.3166247903554,3.1623,medium,13,3
3.5089,4.062019202317981,3.5089,medium,14,4
3.5532,3.1622776601683795,3.5532,medium,15,5
5.3502,4.5276925690687095,5.3502,medium,16,6
5.8363,6.244997998398398,5.8363,medium,17,7
6.8648,6.020797289377316,6.8648,medium,18,8
4.423,3.771236166328253,4.423,medium,19,9
5.8149,,5.8149,medium,20,0
5.3502,5.66,5.3502,medium,21,1
6.5192,6.56,6.5192,medium,22,2
3.1623,3.54,3.1623,medium,23,3
3.5089,3.16,3.5089,medium,24,4
3.5532,3.16,3.5532,medium,25,5
5.3502,4.12,5.3502,medium,26,6
5.8363,6.0,5.8363,medium,27,7
6.8648,6.06,6.8648,medium,28,8
4.423,3.16,4.423,medium,29,9
5.8149,,5.8149,medium,30,0
5.3502,4.0,5.3502,medium,31,1
6.5192,6.41,6.5192,medium,32,2
3.1623,3.61,3.1623,medium,33,3
3.5089,3.91,3.5089,medium,34,4
3.5532,3.5,3.5532,medium,35,5
5.3502,4.47,5.3502,medium,36,6
5.8363,6.02,5.8363,medium,37,7
6.8648,6.06,6.8648,medium,38,8
4.423,3.2,4.423,medium,39,9
5.8149,,5.8149,medium,40,0
5.3502,5.66,5.3502,medium,41,1
6.5192,6.5,6.5192,medium,42,2
3.1623,3.5,3.1623,medium,43,3
3.5089,3.12,3.5089,medium,44,4
3.5532,3.5,3.5532,medium,45,5
5.3502,4.25,5.3502,medium,46,6
5.8363,5.66,5.8363,medium,47,7
6.8648,6.06,6.8648,medium,48,8
4.423,3.12,4.423,medium,49,9
7.8302,,7.8302,long,0,0
