group,response_mean,response_var,correct_mean,correct_var,range_category
0,2.4628,0.6686832,2.8284,0.0,short
1,3.4,4.8,5.0,0.0,short
2,2.9452000000000003,3.153170700000001,4.2426,0.0,short
3,1.9532,1.7284711999999998,3.6056,0.0,short
4,1.4952,0.4597952000000002,2.2361,0.0,short
5,1.9896,0.3060368000000003,2.2361,0.0,short
6,1.3303999999999998,0.03411679999999996,1.4142,0.0,short
7,1.8,3.2000000000000006,5.0,0.0,short
8,2.4744,1.8446988,3.6056,0.0,short
9,3.4664,1.9768223000000003,4.2426,0.0,short
0,1.8,3.2,5.0,0.0,medium
1,3.286,9.86138,7.0710999999999995,0.0,medium
2,2.08,5.832000000000002,6.4031,0.0,medium
3,1.0,0.0,5.6569,0.0,medium
4,1.0,0.0,4.2426,0.0,medium
5,2.2960000000000003,3.1492800000000005,4.2426,0.0,medium
6,1.5219999999999998,1.36242,3.6056,0.0,medium
7,3.286,9.861380000000002,7.0710999999999995,0.0,medium
8,2.864,6.51468,5.6569,0.0,medium
9,1.0,0.0,6.4031,0.0,medium
0,4.3582,9.4821762,7.0710999999999995,0.0,long
1,2.644,13.513680000000003,9.2195,0.0,long
2,3.995,16.8188,8.4853,0.0,long
3,2.3560000000000003,9.19368,7.8102,0.0,long
4,1.0,0.0,5.6569,0.0,long
5,3.7960000000000003,6.51468,5.6569,0.0,long
6,4.7274,4.3417238000000005,5.6569,0.0,long
7,3.7120000000000006,13.790519999999999,8.4853,0.0,long
8,6.720000000000001,10.340100000000001,7.8102,0.0,long
9,8.405,26.512225000000008,8.4853,0.0,long
