sample_id,actual_length,audio_path,text
sample_001,5.544,3.0_6.0/common_voice_en_42805882.mp3,The village is about seven miles north of Barnstaple.
sample_002,5.22,3.0_6.0/common_voice_en_42808952.mp3,It draws attention to them and may influence the results of the poll.
sample_003,5.076,3.0_6.0/common_voice_en_42809713.mp3,Both tours were canceled due to the Coronavirus pandemic.
sample_004,5.04,3.0_6.0/common_voice_en_42814003.mp3,"As I stepped onto the plane, I was amazed at how big it was."
sample_005,4.86,3.0_6.0/common_voice_en_42812009.mp3,They had five children and four grandchildren.
sample_006,4.788,3.0_6.0/common_voice_en_42812198.mp3,Sato is an external director on the board of Hitachi.
sample_007,4.176,3.0_6.0/common_voice_en_43208180.mp3,A Halloween special was also released on the same day.
sample_008,5.148,3.0_6.0/common_voice_en_43208189.mp3,"White now must retreat the knight, or sacrifice it."
sample_009,4.788,3.0_6.0/common_voice_en_42699890.mp3,The Caliph had Yahya brought to him and confronted the two men.
sample_010,4.5,3.0_6.0/common_voice_en_42699891.mp3,Mandaic is written in the Mandaic alphabet.
sample_011,3.996,3.0_6.0/common_voice_en_42788519.mp3,Wrote several Book's as well.
sample_012,5.22,3.0_6.0/common_voice_en_42788567.mp3,But the tour fell apart when we hit Port Hedland.
sample_013,4.716,3.0_6.0/common_voice_en_42833542.mp3,He worked for the Inland Revenue as an inspector of taxes.
sample_014,3.528,3.0_6.0/common_voice_en_42833981.mp3,The town has no rail service.
sample_015,5.436,3.0_6.0/common_voice_en_42833994.mp3,Glass bricks are produced for both wall and floor applications.
sample_016,5.22,3.0_6.0/common_voice_en_42844892.mp3,Its control surfaces are all hydraulically actuated.
