group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.33799999999999997,0.013069999999999998,0.25,0.0,short
1,0.538,0.0008699999999999965,0.48,0.0,short
2,0.426,0.004429999999999997,0.39,0.0,short
3,0.332,0.005669999999999999,0.34,0.0,short
4,0.11400000000000002,0.0006299999999999999,0.16,0.0,short
5,0.122,0.0009200000000000001,0.16,0.0,short
6,0.13399999999999998,0.00253,0.12,0.0,short
7,0.516,0.0007300000000000017,0.45,0.0,short
8,0.42400000000000004,0.0006799999999999995,0.34,0.0,short
9,0.562,0.0002699999999999992,0.38,0.0,short
0,0.518,0.00047000000000000085,0.49000000000000005,0.0,medium
1,0.826,0.001130000000000001,0.78,0.0,medium
2,0.708,0.005269999999999996,0.67,0.0,medium
3,0.576,0.0020299999999999975,0.6,0.0,medium
4,0.324,0.00708,0.38,0.0,medium
5,0.406,0.006680000000000001,0.38,0.0,medium
6,0.3,0.0038499999999999997,0.33,0.0,medium
7,0.728,0.0016699999999999985,0.73,0.0,medium
8,0.66,0.00025000000000000044,0.6,0.0,medium
9,0.6900000000000001,0.0029499999999999978,0.65,0.0,medium
0,0.694,0.00433,0.65,0.0,long
1,0.9359999999999999,0.00012999999999999896,0.8800000000000001,0.0,long
2,0.844,0.001829999999999997,0.79,0.0,long
3,0.7939999999999999,0.0020799999999999976,0.74,0.0,long
4,0.584,0.002230000000000001,0.56,0.0,long
5,0.536,0.00018000000000000055,0.56,0.0,long
6,0.49800000000000005,0.0002200000000000005,0.52,0.0,long
7,0.8640000000000001,0.0015300000000000016,0.85,0.0,long
8,0.8380000000000001,0.0018699999999999964,0.74,0.0,long
9,0.8620000000000001,0.0031700000000000053,0.78,0.0,long
