range_category,stimulus_id,exp_id,llm_model,mean_input_value,mean_correct,mean_response,var_response,var_correct,squared_bias
long,0,base_1_image,GPT-5 Mini,0.64982,0.64982,0.572,6.999999999999934e-05,0.0,0.0060559524
long,0,base_1_image,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.546,0.0001300000000000001,0.0,0.010778592399999981
long,0,base_1_image,gemma-3-4b-it,0.64982,0.64982,0.55,0.0,0.0,0.009964032399999982
long,0,base_1_image,google_gemini-2.5-flash-lite,0.64982,0.64982,0.722,0.0002700000000000005,0.0,0.005209952400000003
long,0,base_1_image,meta-llama_llama-4-maverick,0.64982,0.64982,0.5,0.0,0.0,0.022446032399999986
long,0,base_1_image,microsoft_phi-4-multimodal-instruct,0.64982,0.64982,0.85,0.0,0.0,0.04007203240000001
long,0,base_1_image,mistralai_mistral-small-3.2-24b-instruct,0.64982,0.64982,0.316,0.025679999999999998,0.0,0.11143579239999997
long,0,base_1_image,openai_gpt-4o-2024-08-06,0.64982,0.64982,0.502,2.000000000000003e-05,0.0,0.021850752399999986
long,0,base_1_image,qwen_qwen2.5-vl-32b-instruct,0.64982,0.64982,0.8300000000000001,0.004450000000000002,0.0,0.03246483240000004
long,0,base_1_text,GPT-5 Mini,0.64982,0.64982,0.639005128,3.400771481920055e-06,0.0,0.00011696145637638347
long,0,base_1_text,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.678,0.00031999999999999835,0.0,0.0007941124000000053
long,0,base_1_text,gemma-3-4b-it,0.64982,0.64982,0.35,0.0,0.0,0.08989203239999999
long,0,base_1_text,google_gemini-2.5-flash-lite,0.64982,0.64982,0.4894,0.0020312999999999954,0.0,0.025734576399999983
long,0,base_1_text,meta-llama_llama-4-maverick,0.64982,0.64982,0.425,5.000000000000009e-05,0.0,0.05054403239999999
long,0,base_1_text,microsoft_phi-4-multimodal-instruct,0.64982,0.64982,0.616,0.0006800000000000007,0.0,0.0011437923999999973
long,0,base_1_text,mistralai_mistral-small-3.2-24b-instruct,0.64982,0.64982,0.674,0.004479999999999999,0.0,0.0005846724000000044
long,0,base_1_text,openai_gpt-4o-2024-08-06,0.64982,0.64982,0.5900000000000001,0.00305,0.0,0.003578432399999985
long,0,base_1_text,qwen_qwen2.5-vl-32b-instruct,0.64982,0.64982,0.655,0.0007499999999999989,0.0,2.683240000000076e-05
long,0,base_1_text_image,GPT-5 Mini,0.64982,0.64982,0.5980000000000001,0.00192,0.0,0.0026853123999999863
long,0,base_1_text_image,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.521,8.000000000000002e-05,0.0,0.016594592399999983
long,0,base_1_text_image,gemma-3-4b-it,0.64982,0.64982,0.55,0.0,0.0,0.009964032399999982
long,0,base_1_text_image,google_gemini-2.5-flash-lite,0.64982,0.64982,0.692,0.00046999999999999885,0.0,0.0017791523999999997
long,0,base_1_text_image,meta-llama_llama-4-maverick,0.64982,0.64982,0.45599999999999996,0.002229999999999999,0.0,0.0375661924
long,0,base_1_text_image,microsoft_phi-4-multimodal-instruct,0.64982,0.64982,0.45999999999999996,0.007999999999999997,0.0,0.03603163239999999
long,0,base_1_text_image,mistralai_mistral-small-3.2-24b-instruct,0.64982,0.64982,0.734,0.0066799999999999984,0.0,0.007086272400000006
long,0,base_1_text_image,openai_gpt-4o-2024-08-06,0.64982,0.64982,0.542,0.0005700000000000014,0.0,0.011625152399999982
long,0,base_1_text_image,qwen_qwen2.5-vl-32b-instruct,0.64982,0.64982,0.7,0.005000000000000003,0.0,0.0025180324
long,0,base_2_image,GPT-5 Mini,0.64982,0.64982,0.622,1.9999999999999924e-05,0.0,0.0007739523999999976
long,0,base_2_image,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.62,0.0027000000000000053,0.0,0.0008892323999999974
long,0,base_2_image,gemma-3-4b-it,0.64982,0.64982,0.75,0.0,0.0,0.010036032400000009
long,0,base_2_image,google_gemini-2.5-flash-lite,0.64982,0.64982,0.776,0.00023000000000000055,0.0,0.01592139240000002
long,0,base_2_image,meta-llama_llama-4-maverick,0.64982,0.64982,0.638,0.009869999999999993,0.0,0.00013971239999999863
long,0,base_2_image,microsoft_phi-4-multimodal-instruct,0.64982,0.64982,0.8560000000000001,0.0001800000000000003,0.0,0.042510192400000056
long,0,base_2_image,mistralai_mistral-small-3.2-24b-instruct,0.64982,0.64982,0.646,0.001229999999999998,0.0,1.45923999999995e-05
long,0,base_2_image,openai_gpt-4o-2024-08-06,0.64982,0.64982,0.65,0.004999999999999994,0.0,3.240000000002484e-08
long,0,base_2_image,qwen_qwen2.5-vl-32b-instruct,0.64982,0.64982,0.8099999999999999,0.002999999999999999,0.0,0.025657632399999998
long,0,base_2_text,GPT-5 Mini,0.64982,0.64982,0.6432395247051282,4.5974148808325184e-05,0.0,4.3302655106416955e-05
long,0,base_2_text,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.6900000000000001,0.0003999999999999986,0.0,0.0016144324000000084
long,0,base_2_text,gemma-3-4b-it,0.64982,0.64982,0.65,0.0,0.0,3.240000000002484e-08
long,0,base_2_text,google_gemini-2.5-flash-lite,0.64982,0.64982,0.6806,0.0012867999999999996,0.0,0.0009474084000000018
long,0,base_2_text,meta-llama_llama-4-maverick,0.64982,0.64982,0.7,,0.0,0.0025180324
long,0,base_2_text,microsoft_phi-4-multimodal-instruct,0.64982,0.64982,0.662,0.0002700000000000005,0.0,0.00014835240000000193
long,0,base_2_text,mistralai_mistral-small-3.2-24b-instruct,0.64982,0.64982,0.654,0.004579999999999999,0.0,1.7472400000000605e-05
long,0,base_2_text,openai_gpt-4o-2024-08-06,0.64982,0.64982,0.726,0.001129999999999999,0.0,0.005803392400000004
long,0,base_2_text,qwen_qwen2.5-vl-32b-instruct,0.64982,0.64982,0.702,0.0025199999999999997,0.0,0.0027227524000000003
long,0,base_2_text_image,GPT-5 Mini,0.64982,0.64982,0.57,4.999999999999939e-05,0.0,0.0063712324
long,0,base_2_text_image,anthropic_claude-3.7-sonnet,0.64982,0.64982,0.558,0.0008699999999999983,0.0,0.008430912399999982
long,0,base_2_text_image,gemma-3-4b-it,0.64982,0.64982,0.75,0.0,0.0,0.010036032400000009
long,0,base_2_text_image,google_gemini-2.5-flash-lite,0.64982,0.64982,0.772,0.0003200000000000002,0.0,0.014927952400000017
long,0,base_2_text_image,meta-llama_llama-4-maverick,0.64982,0.64982,0.706,0.00018000000000000055,0.0,0.003156192400000001
