correct,response,range_category,trial,stimulus_id
2.5,2.5,short,0,0
4.8023,5.0,short,1,1
3.9051,3.5,short,2,2
3.4004,2.25,short,3,3
1.6008,1.25,short,4,4
1.25,1.25,short,5,5
4.4721,6.0,short,6,6
1.118,1.12,short,7,7
4.8541,5.25,short,8,8
4.3661,5.5,short,9,9
2.5,2.5,short,10,0
4.8023,5.0,short,11,1
3.9051,5.5,short,12,2
3.4004,3.75,short,13,3
1.6008,1.25,short,14,4
1.25,1.25,short,15,5
4.4721,6.0,short,16,6
1.118,1.12,short,17,7
4.8541,5.75,short,18,8
4.3661,6.0,short,19,9
2.5,2.5,short,20,0
4.8023,5.0,short,21,1
3.9051,3.5,short,22,2
3.4004,2.75,short,23,3
1.6008,1.25,short,24,4
1.25,1.25,short,25,5
4.4721,6.0,short,26,6
1.118,1.12,short,27,7
4.8541,5.25,short,28,8
4.3661,5.5,short,29,9
2.5,2.5,short,30,0
4.8023,5.0,short,31,1
3.9051,4.5,short,32,2
3.4004,3.25,short,33,3
1.6008,1.25,short,34,4
1.25,1.25,short,35,5
4.4721,6.0,short,36,6
1.118,1.12,short,37,7
4.8541,5.25,short,38,8
4.3661,6.25,short,39,9
2.5,2.5,short,40,0
4.8023,5.0,short,41,1
3.9051,4.5,short,42,2
3.4004,3.5,short,43,3
1.6008,1.25,short,44,4
1.25,1.25,short,45,5
4.4721,5.0,short,46,6
1.118,1.12,short,47,7
4.8541,4.75,short,48,8
4.3661,5.5,short,49,9
4.4721,5.0,medium,0,0
6.8237,7.5,medium,1,1
5.9634,5.0,medium,2,2
5.3852,5.0,medium,3,3
3.6056,4.0,medium,4,4
3.25,3.25,medium,5,5
6.5,7.0,medium,6,6
5.831,5.0,medium,7,7
3.0923,3.0,medium,8,8
6.8966,11.0,medium,9,9
4.4721,5.83,medium,10,0
6.8237,8.25,medium,11,1
5.9634,5.39,medium,12,2
5.3852,5.83,medium,13,3
3.6056,3.61,medium,14,4
3.25,3.75,medium,15,5
6.5,8.54,medium,16,6
5.831,5.39,medium,17,7
3.0923,3.27,medium,18,8
6.8966,12.21,medium,19,9
4.4721,5.0,medium,20,0
6.8237,7.0,medium,21,1
5.9634,5.0,medium,22,2
5.3852,5.0,medium,23,3
3.6056,3.0,medium,24,4
3.25,2.5,medium,25,5
6.5,7.0,medium,26,6
5.831,5.0,medium,27,7
3.0923,3.0,medium,28,8
6.8966,12.5,medium,29,9
4.4721,5.0,medium,30,0
6.8237,7.0,medium,31,1
5.9634,5.0,medium,32,2
5.3852,5.0,medium,33,3
3.6056,3.0,medium,34,4
3.25,3.0,medium,35,5
6.5,7.0,medium,36,6
5.831,5.0,medium,37,7
3.0923,3.0,medium,38,8
6.8966,12.0,medium,39,9
4.4721,5.0,medium,40,0
6.8237,7.0,medium,41,1
5.9634,5.0,medium,42,2
5.3852,5.0,medium,43,3
3.6056,3.0,medium,44,4
3.25,3.0,medium,45,5
6.5,7.0,medium,46,6
5.831,5.0,medium,47,7
3.0923,3.0,medium,48,8
6.8966,12.0,medium,49,9
6.5,8.5,long,0,0
8.8459,6.5,long,1,1
7.9412,7.5,long,2,2
7.433,5.5,long,3,3
5.6569,4.7,long,4,4
5.2202,6.5,long,5,5
8.4595,7.5,long,6,6
7.8262,6.5,long,7,7
5.099,7.5,long,8,8
8.9022,7.0,long,9,9
6.5,6.5,long,10,0
8.8459,6.5,long,11,1
7.9412,7.75,long,12,2
7.433,5.0,long,13,3
5.6569,6.0,long,14,4
5.2202,5.5,long,15,5
8.4595,7.0,long,16,6
7.8262,6.5,long,17,7
5.099,7.5,long,18,8
8.9022,7.0,long,19,9
6.5,7.5,long,20,0
8.8459,6.5,long,21,1
7.9412,8.75,long,22,2
7.433,5.5,long,23,3
5.6569,5.0,long,24,4
5.2202,6.5,long,25,5
8.4595,7.5,long,26,6
7.8262,7.5,long,27,7
5.099,6.0,long,28,8
8.9022,7.0,long,29,9
6.5,7.5,long,30,0
8.8459,6.5,long,31,1
7.9412,8.5,long,32,2
7.433,5.5,long,33,3
5.6569,5.0,long,34,4
5.2202,6.5,long,35,5
8.4595,7.0,long,36,6
7.8262,7.5,long,37,7
5.099,5.0,long,38,8
8.9022,7.0,long,39,9
6.5,7.5,long,40,0
8.8459,6.5,long,41,1
7.9412,7.0,long,42,2
7.433,5.0,long,43,3
5.6569,5.0,long,44,4
5.2202,6.0,long,45,5
8.4595,7.0,long,46,6
7.8262,7.0,long,47,7
5.099,6.0,long,48,8
8.9022,7.0,long,49,9
