group,response_mean,response_var,correct_mean,correct_var,range_category
0,5.1240000000000006,26.16448,2.8284,0.0,short
1,5.968,17.244970000000006,5.0,0.0,short
2,7.578,35.945220000000006,4.2426,0.0,short
3,3.2439999999999998,0.11162999999999988,3.6056,0.0,short
4,1.812,0.6442699999999999,2.2361,0.0,short
5,1.764,0.6044299999999999,2.2361,0.0,short
6,1.082,0.03361999999999999,1.4142,0.0,short
7,3.522,0.7524199999999999,5.0,0.0,short
8,3.21,0.13814999999999986,3.6056,0.0,short
9,5.4719999999999995,23.572470000000003,4.2426,0.0,short
0,6.0,5.0,5.0,0.0,medium
1,11.4,5.8,7.0710999999999995,0.0,medium
2,10.6,1.7999999999999998,6.4031,0.0,medium
3,9.6,12.8,5.6569,0.0,medium
4,11.028,23.213919999999998,4.2426,0.0,medium
5,11.028,23.213919999999998,4.2426,0.0,medium
6,3.9219999999999997,1.0304200000000001,3.6056,0.0,medium
7,10.628,14.041920000000001,7.0710999999999995,0.0,medium
8,10.428,17.05592,5.6569,0.0,medium
9,9.6,0.7999999999999998,6.4031,0.0,medium
0,13.166,0.8077799999999998,7.0710999999999995,0.0,long
1,12.966,0.5907799999999999,9.2195,0.0,long
2,12.966,0.5907799999999999,8.4853,0.0,long
3,12.532,0.41066999999999976,7.8102,0.0,long
4,11.4,3.8000000000000003,5.6569,0.0,long
5,10.4,16.8,5.6569,0.0,long
6,11.228,19.39992,5.6569,0.0,long
7,13.028,3.0739200000000007,8.4853,0.0,long
8,12.166,1.7227799999999998,7.8102,0.0,long
9,12.366,2.3397799999999993,8.4853,0.0,long
