group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.24,0.004550000000000001,0.25,0.0,short
1,0.46799999999999997,0.024969999999999996,0.48,0.0,short
2,0.332,0.005670000000000001,0.39,0.0,short
3,0.355,0.009424999999999998,0.34,0.0,short
4,0.094,0.00037999999999999986,0.16,0.0,short
5,0.143,0.0007199999999999998,0.16,0.0,short
6,0.1306,0.0021268000000000003,0.12,0.0,short
7,0.47119999999999995,0.003477200000000004,0.45,0.0,short
8,0.3186,0.0010897999999999993,0.34,0.0,short
9,0.33399999999999996,0.001430000000000001,0.38,0.0,short
0,0.45,0.03500000000000001,0.49000000000000005,0.0,medium
1,0.674,0.0051299999999999965,0.78,0.0,medium
2,0.53,0.005749999999999996,0.67,0.0,medium
3,0.5,0.01125,0.6,0.0,medium
4,0.266,0.0060300000000000015,0.38,0.0,medium
5,0.32999999999999996,0.001999999999999999,0.38,0.0,medium
6,0.21000000000000002,0.00175,0.33,0.0,medium
7,0.55,0.0025,0.73,0.0,medium
8,0.55,0.0037500000000000072,0.6,0.0,medium
9,0.55,0.007499999999999991,0.65,0.0,medium
0,0.502,0.011919999999999998,0.65,0.0,long
1,0.746,0.003079999999999999,0.8800000000000001,0.0,long
2,0.642,0.005669999999999996,0.79,0.0,long
3,0.638,0.006720000000000005,0.74,0.0,long
4,0.45999999999999996,0.010549999999999999,0.56,0.0,long
5,0.462,0.005120000000000005,0.56,0.0,long
6,0.382,0.0036700000000000005,0.52,0.0,long
7,0.6799999999999999,0.0011999999999999986,0.85,0.0,long
8,0.514,0.0019299999999999994,0.74,0.0,long
9,0.616,0.0021800000000000014,0.78,0.0,long
