sample_id,target_percentage,actual_percentage,line_a_length,line_b_length,line_a,line_b
sample_001,44.98,44.0,22,50,----------------------,--------------------------------------------------
sample_002,68.03,68.0,34,50,----------------------------------,--------------------------------------------------
sample_003,59.28,60.0,30,50,------------------------------,--------------------------------------------------
sample_004,53.95,54.0,27,50,---------------------------,--------------------------------------------------
sample_005,36.24,36.0,18,50,------------------,--------------------------------------------------
sample_006,36.24,36.0,18,50,------------------,--------------------------------------------------
sample_007,32.32,32.0,16,50,----------------,--------------------------------------------------
sample_008,64.65,64.0,32,50,--------------------------------,--------------------------------------------------
sample_009,54.04,54.0,27,50,---------------------------,--------------------------------------------------
sample_010,58.32,58.0,29,50,-----------------------------,--------------------------------------------------
sample_011,30.82,30.0,15,50,---------------,--------------------------------------------------
sample_012,68.8,68.0,34,50,----------------------------------,--------------------------------------------------
sample_013,63.3,64.0,32,50,--------------------------------,--------------------------------------------------
sample_014,38.49,38.0,19,50,-------------------,--------------------------------------------------
sample_015,37.27,38.0,19,50,-------------------,--------------------------------------------------
sample_016,37.34,38.0,19,50,-------------------,--------------------------------------------------
sample_017,42.17,42.0,21,50,---------------------,--------------------------------------------------
sample_018,50.99,50.0,25,50,-------------------------,--------------------------------------------------
sample_019,47.28,48.0,24,50,------------------------,--------------------------------------------------
sample_020,41.65,42.0,21,50,---------------------,--------------------------------------------------
sample_021,54.47,54.0,27,50,---------------------------,--------------------------------------------------
sample_022,35.58,36.0,18,50,------------------,--------------------------------------------------
sample_023,41.69,42.0,21,50,---------------------,--------------------------------------------------
sample_024,44.65,44.0,22,50,----------------------,--------------------------------------------------
sample_025,48.24,48.0,24,50,------------------------,--------------------------------------------------
sample_026,61.41,62.0,31,50,-------------------------------,--------------------------------------------------
sample_027,37.99,38.0,19,50,-------------------,--------------------------------------------------
sample_028,50.57,50.0,25,50,-------------------------,--------------------------------------------------
sample_029,53.7,54.0,27,50,---------------------------,--------------------------------------------------
sample_030,31.86,32.0,16,50,----------------,--------------------------------------------------
sample_031,54.3,54.0,27,50,---------------------------,--------------------------------------------------
sample_032,36.82,36.0,18,50,------------------,--------------------------------------------------
sample_033,32.6,32.0,16,50,----------------,--------------------------------------------------
sample_034,67.96,68.0,34,50,----------------------------------,--------------------------------------------------
sample_035,68.63,68.0,34,50,----------------------------------,--------------------------------------------------
sample_036,62.34,62.0,31,50,-------------------------------,--------------------------------------------------
sample_037,42.18,42.0,21,50,---------------------,--------------------------------------------------
sample_038,33.91,34.0,17,50,-----------------,--------------------------------------------------
sample_039,57.37,58.0,29,50,-----------------------------,--------------------------------------------------
sample_040,47.61,48.0,24,50,------------------------,--------------------------------------------------
sample_041,34.88,34.0,17,50,-----------------,--------------------------------------------------
sample_042,49.81,50.0,25,50,-------------------------,--------------------------------------------------
sample_043,31.38,32.0,16,50,----------------,--------------------------------------------------
sample_044,66.37,66.0,33,50,---------------------------------,--------------------------------------------------
sample_045,40.35,40.0,20,50,--------------------,--------------------------------------------------
sample_046,56.5,56.0,28,50,----------------------------,--------------------------------------------------
sample_047,42.47,42.0,21,50,---------------------,--------------------------------------------------
sample_048,50.8,50.0,25,50,-------------------------,--------------------------------------------------
sample_049,51.87,52.0,26,50,--------------------------,--------------------------------------------------
sample_050,37.39,38.0,19,50,-------------------,--------------------------------------------------
sample_051,68.78,68.0,34,50,----------------------------------,--------------------------------------------------
sample_052,61.01,62.0,31,50,-------------------------------,--------------------------------------------------
sample_053,67.58,68.0,34,50,----------------------------------,--------------------------------------------------
sample_054,65.79,66.0,33,50,---------------------------------,--------------------------------------------------
sample_055,53.92,54.0,27,50,---------------------------,--------------------------------------------------
sample_056,66.87,66.0,33,50,---------------------------------,--------------------------------------------------
sample_057,33.54,34.0,17,50,-----------------,--------------------------------------------------
sample_058,37.84,38.0,19,50,-------------------,--------------------------------------------------
sample_059,31.81,32.0,16,50,----------------,--------------------------------------------------
sample_060,43.01,44.0,22,50,----------------------,--------------------------------------------------
sample_061,45.55,46.0,23,50,-----------------------,--------------------------------------------------
sample_062,40.85,40.0,20,50,--------------------,--------------------------------------------------
sample_063,63.15,64.0,32,50,--------------------------------,--------------------------------------------------
sample_064,44.27,44.0,22,50,----------------------,--------------------------------------------------
sample_065,41.24,42.0,21,50,---------------------,--------------------------------------------------
sample_066,51.71,52.0,26,50,--------------------------,--------------------------------------------------
sample_067,35.64,36.0,18,50,------------------,--------------------------------------------------
sample_068,62.09,62.0,31,50,-------------------------------,--------------------------------------------------
sample_069,32.98,32.0,16,50,----------------,--------------------------------------------------
sample_070,69.48,70.0,35,50,-----------------------------------,--------------------------------------------------
sample_071,60.89,60.0,30,50,------------------------------,--------------------------------------------------
sample_072,37.95,38.0,19,50,-------------------,--------------------------------------------------
sample_073,30.22,30.0,15,50,---------------,--------------------------------------------------
sample_074,62.62,62.0,31,50,-------------------------------,--------------------------------------------------
sample_075,58.27,58.0,29,50,-----------------------------,--------------------------------------------------
sample_076,59.16,60.0,30,50,------------------------------,--------------------------------------------------
sample_077,60.85,60.0,30,50,------------------------------,--------------------------------------------------
sample_078,32.96,32.0,16,50,----------------,--------------------------------------------------
sample_079,44.34,44.0,22,50,----------------------,--------------------------------------------------
sample_080,34.63,34.0,17,50,-----------------,--------------------------------------------------
sample_081,64.52,64.0,32,50,--------------------------------,--------------------------------------------------
sample_082,54.93,54.0,27,50,---------------------------,--------------------------------------------------
sample_083,43.24,44.0,22,50,----------------------,--------------------------------------------------
sample_084,32.54,32.0,16,50,----------------,--------------------------------------------------
sample_085,42.44,42.0,21,50,---------------------,--------------------------------------------------
sample_086,43.01,44.0,22,50,----------------------,--------------------------------------------------
sample_087,59.18,60.0,30,50,------------------------------,--------------------------------------------------
sample_088,55.5,56.0,28,50,----------------------------,--------------------------------------------------
sample_089,65.49,66.0,33,50,---------------------------------,--------------------------------------------------
sample_090,48.89,48.0,24,50,------------------------,--------------------------------------------------
sample_091,34.78,34.0,17,50,-----------------,--------------------------------------------------
sample_092,58.53,58.0,29,50,-----------------------------,--------------------------------------------------
sample_093,60.43,60.0,30,50,------------------------------,--------------------------------------------------
sample_094,52.45,52.0,26,50,--------------------------,--------------------------------------------------
sample_095,60.84,60.0,30,50,------------------------------,--------------------------------------------------
sample_096,49.75,50.0,25,50,-------------------------,--------------------------------------------------
sample_097,50.91,50.0,25,50,-------------------------,--------------------------------------------------
sample_098,47.1,48.0,24,50,------------------------,--------------------------------------------------
sample_099,31.02,32.0,16,50,----------------,--------------------------------------------------
sample_100,34.32,34.0,17,50,-----------------,--------------------------------------------------
