sample_id,target_percentage,actual_percentage,line_a_length,line_b_length,line_a,line_b
sample_001,24.36,24.0,12,50,------------,--------------------------------------------------
sample_002,38.77,38.0,19,50,-------------------,--------------------------------------------------
sample_003,33.3,34.0,17,50,-----------------,--------------------------------------------------
sample_004,29.97,30.0,15,50,---------------,--------------------------------------------------
sample_005,18.9,18.0,9,50,---------,--------------------------------------------------
sample_006,18.9,18.0,9,50,---------,--------------------------------------------------
sample_007,16.45,16.0,8,50,--------,--------------------------------------------------
sample_008,36.65,36.0,18,50,------------------,--------------------------------------------------
sample_009,30.03,30.0,15,50,---------------,--------------------------------------------------
sample_010,32.7,32.0,16,50,----------------,--------------------------------------------------
sample_011,15.51,16.0,8,50,--------,--------------------------------------------------
sample_012,39.25,40.0,20,50,--------------------,--------------------------------------------------
sample_013,35.81,36.0,18,50,------------------,--------------------------------------------------
sample_014,20.31,20.0,10,50,----------,--------------------------------------------------
sample_015,19.55,20.0,10,50,----------,--------------------------------------------------
sample_016,19.59,20.0,10,50,----------,--------------------------------------------------
sample_017,22.61,22.0,11,50,-----------,--------------------------------------------------
sample_018,28.12,28.0,14,50,--------------,--------------------------------------------------
sample_019,25.8,26.0,13,50,-------------,--------------------------------------------------
sample_020,22.28,22.0,11,50,-----------,--------------------------------------------------
sample_021,30.3,30.0,15,50,---------------,--------------------------------------------------
sample_022,18.49,18.0,9,50,---------,--------------------------------------------------
sample_023,22.3,22.0,11,50,-----------,--------------------------------------------------
sample_024,24.16,24.0,12,50,------------,--------------------------------------------------
sample_025,26.4,26.0,13,50,-------------,--------------------------------------------------
sample_026,34.63,34.0,17,50,-----------------,--------------------------------------------------
sample_027,19.99,20.0,10,50,----------,--------------------------------------------------
sample_028,27.86,28.0,14,50,--------------,--------------------------------------------------
sample_029,29.81,30.0,15,50,---------------,--------------------------------------------------
sample_030,16.16,16.0,8,50,--------,--------------------------------------------------
sample_031,30.19,30.0,15,50,---------------,--------------------------------------------------
sample_032,19.26,20.0,10,50,----------,--------------------------------------------------
sample_033,16.63,16.0,8,50,--------,--------------------------------------------------
sample_034,38.72,38.0,19,50,-------------------,--------------------------------------------------
sample_035,39.14,40.0,20,50,--------------------,--------------------------------------------------
sample_036,35.21,36.0,18,50,------------------,--------------------------------------------------
sample_037,22.62,22.0,11,50,-----------,--------------------------------------------------
sample_038,17.44,18.0,9,50,---------,--------------------------------------------------
sample_039,32.11,32.0,16,50,----------------,--------------------------------------------------
sample_040,26.0,26.0,13,50,-------------,--------------------------------------------------
sample_041,18.05,18.0,9,50,---------,--------------------------------------------------
sample_042,27.38,28.0,14,50,--------------,--------------------------------------------------
sample_043,15.86,16.0,8,50,--------,--------------------------------------------------
sample_044,37.73,38.0,19,50,-------------------,--------------------------------------------------
sample_045,21.47,22.0,11,50,-----------,--------------------------------------------------
sample_046,31.56,32.0,16,50,----------------,--------------------------------------------------
sample_047,22.79,22.0,11,50,-----------,--------------------------------------------------
sample_048,28.0,28.0,14,50,--------------,--------------------------------------------------
sample_049,28.67,28.0,14,50,--------------,--------------------------------------------------
sample_050,19.62,20.0,10,50,----------,--------------------------------------------------
sample_051,39.24,40.0,20,50,--------------------,--------------------------------------------------
sample_052,34.38,34.0,17,50,-----------------,--------------------------------------------------
sample_053,38.49,38.0,19,50,-------------------,--------------------------------------------------
sample_054,37.37,38.0,19,50,-------------------,--------------------------------------------------
sample_055,29.95,30.0,15,50,---------------,--------------------------------------------------
