group,response_mean,response_var,correct_mean,correct_var,range_category
0,0.276,0.00022999999999999938,0.25,0.0,short
1,0.496,0.002380000000000005,0.48,0.0,short
2,0.484,0.0024800000000000013,0.39,0.0,short
3,0.278,0.0008699999999999997,0.34,0.0,short
4,0.21600000000000003,0.0036300000000000004,0.16,0.0,short
5,0.176,0.0017300000000000002,0.16,0.0,short
6,0.162,0.0002699999999999997,0.12,0.0,short
7,0.524,0.0008300000000000012,0.45,0.0,short
8,0.43200000000000005,0.0005200000000000004,0.34,0.0,short
9,0.32199999999999995,0.0015699999999999978,0.38,0.0,short
0,0.536,0.003830000000000001,0.49000000000000005,0.0,medium
1,0.748,0.003969999999999998,0.78,0.0,medium
2,0.72,0.001199999999999998,0.67,0.0,medium
3,0.624,0.0010300000000000014,0.6,0.0,medium
4,0.33999999999999997,0.004349999999999998,0.38,0.0,medium
5,0.36,0.0022500000000000016,0.38,0.0,medium
6,0.35,0.002299999999999999,0.33,0.0,medium
7,0.778,0.0005700000000000012,0.73,0.0,medium
8,0.6859999999999999,0.0003299999999999982,0.6,0.0,medium
9,0.762,0.0009200000000000011,0.65,0.0,medium
0,0.664,0.0010299999999999984,0.65,0.0,long
1,0.9199999999999999,0.00024999999999999957,0.8800000000000001,0.0,long
2,0.8099999999999999,0.0006499999999999989,0.79,0.0,long
3,0.742,0.000470000000000002,0.74,0.0,long
4,0.5740000000000001,0.0037800000000000034,0.56,0.0,long
5,0.5740000000000001,0.0017299999999999956,0.56,0.0,long
6,0.446,0.004930000000000002,0.52,0.0,long
7,0.9019999999999999,0.00027000000000000055,0.85,0.0,long
8,0.82,9.99999999999992e-05,0.74,0.0,long
9,0.778,0.00197,0.78,0.0,long
