correct,response,input_value,range_category,trial,stimulus_id
2.4622,2.5,2.4622,short,0,0
4.8023,5.25,4.8023,short,1,1
4.0078,4.75,4.0078,short,2,2
3.4004,3.25,3.4004,short,3,3
1.5,1.75,1.5,short,4,4
1.6771,1.75,1.6771,short,5,5
1.25,1.5,1.25,short,6,6
4.3732,5.0,4.3732,short,7,7
3.4004,2.5,3.4004,short,8,8
3.8243,4.75,3.8243,short,9,9
2.4622,2.06,2.4622,short,10,0
4.8023,4.92,4.8023,short,11,1
4.0078,4.75,4.0078,short,12,2
3.4004,3.18,3.4004,short,13,3
1.5,1.75,1.5,short,14,4
1.6771,1.77,1.6771,short,15,5
1.25,1.5,1.25,short,16,6
4.3732,4.79,4.3732,short,17,7
3.4004,2.52,3.4004,short,18,8
3.8243,4.27,3.8243,short,19,9
2.4622,2.0625,2.4622,short,20,0
4.8023,5.25,4.8023,short,21,1
4.0078,4.75,4.0078,short,22,2
3.4004,3.75,3.4004,short,23,3
1.5,1.75,1.5,short,24,4
1.6771,1.75,1.6771,short,25,5
1.25,1.5,1.25,short,26,6
4.3732,4.75,4.3732,short,27,7
3.4004,2.5,3.4004,short,28,8
3.8243,4.5,3.8243,short,29,9
2.4622,2.5,2.4622,short,30,0
4.8023,4.5,4.8023,short,31,1
4.0078,4.75,4.0078,short,32,2
3.4004,3.5,3.4004,short,33,3
1.5,1.75,1.5,short,34,4
1.6771,1.75,1.6771,short,35,5
1.25,1.5,1.25,short,36,6
4.3732,5.0,4.3732,short,37,7
3.4004,2.75,3.4004,short,38,8
3.8243,4.5,3.8243,short,39,9
2.4622,2.25,2.4622,short,40,0
4.8023,5.25,4.8023,short,41,1
4.0078,4.75,4.0078,short,42,2
3.4004,3.75,3.4004,short,43,3
1.5,1.75,1.5,short,44,4
1.6771,1.75,1.6771,short,45,5
1.25,1.5,1.25,short,46,6
4.3732,5.25,4.3732,short,47,7
3.4004,2.75,3.4004,short,48,8
3.8243,4.5,3.8243,short,49,9
4.423,3.5,4.423,medium,0,0
6.8648,6.5,6.8648,medium,1,1
5.8363,7.0,5.8363,medium,2,2
5.3502,4.5,5.3502,medium,3,3
3.5532,3.5,3.5532,medium,4,4
3.5089,4.0,3.5089,medium,5,5
3.1623,4.0,3.1623,medium,6,6
6.5192,7.5,6.5192,medium,7,7
5.3502,6.0,5.3502,medium,8,8
